inflation,output,target_inflation,target_output,persuasion,network_type
0.543,0.326,0.51,0.42,0.0,albert-barabasi
0.551,0.33,0.43,0.34,0.0,albert-barabasi
0.553,0.314,0.54,0.45,0.0,albert-barabasi
0.554,0.308,0.52,0.41,0.0,albert-barabasi
0.556,0.302,0.51,0.42,0.0,albert-barabasi
0.556,0.3,0.52,0.4,0.0,albert-barabasi
0.555,0.29,0.54,0.46,0.0,albert-barabasi
0.555,0.28,0.52,0.48,0.0,albert-barabasi
0.553,0.271,0.57,0.5,0.0,albert-barabasi
0.555,0.276,0.46,0.42,0.0,albert-barabasi
0.544,0.324,0.5,0.42,0.1,albert-barabasi
0.551,0.329,0.42,0.34,0.1,albert-barabasi
0.553,0.313,0.53,0.45,0.1,albert-barabasi
0.554,0.306,0.53,0.42,0.1,albert-barabasi
0.556,0.302,0.5,0.41,0.1,albert-barabasi
0.556,0.3,0.52,0.4,0.1,albert-barabasi
0.555,0.29,0.55,0.46,0.1,albert-barabasi
0.555,0.279,0.51,0.49,0.1,albert-barabasi
0.553,0.268,0.58,0.51,0.1,albert-barabasi
0.554,0.271,0.46,0.44,0.1,albert-barabasi
0.544,0.324,0.47,0.41,0.2,albert-barabasi
0.551,0.33,0.41,0.33,0.2,albert-barabasi
0.554,0.316,0.51,0.44,0.2,albert-barabasi
0.555,0.308,0.52,0.42,0.2,albert-barabasi
0.557,0.303,0.5,0.41,0.2,albert-barabasi
0.558,0.304,0.5,0.38,0.2,albert-barabasi
0.557,0.294,0.55,0.45,0.2,albert-barabasi
0.556,0.281,0.51,0.49,0.2,albert-barabasi
0.553,0.27,0.58,0.51,0.2,albert-barabasi
0.555,0.272,0.46,0.44,0.2,albert-barabasi
0.544,0.325,0.49,0.4,0.30000000000000004,albert-barabasi
0.551,0.334,0.43,0.31,0.30000000000000004,albert-barabasi
0.554,0.318,0.51,0.44,0.30000000000000004,albert-barabasi
0.555,0.311,0.52,0.41,0.30000000000000004,albert-barabasi
0.557,0.307,0.5,0.4,0.30000000000000004,albert-barabasi
0.558,0.308,0.5,0.37,0.30000000000000004,albert-barabasi
0.557,0.3,0.55,0.43,0.30000000000000004,albert-barabasi
0.557,0.285,0.5,0.49,0.30000000000000004,albert-barabasi
0.554,0.272,0.57,0.51,0.30000000000000004,albert-barabasi
0.556,0.274,0.46,0.44,0.30000000000000004,albert-barabasi
0.543,0.323,0.5,0.41,0.4,albert-barabasi
0.55,0.332,0.44,0.31,0.4,albert-barabasi
0.553,0.321,0.51,0.42,0.4,albert-barabasi
0.555,0.313,0.52,0.41,0.4,albert-barabasi
0.557,0.305,0.5,0.42,0.4,albert-barabasi
0.558,0.308,0.49,0.36,0.4,albert-barabasi
0.558,0.301,0.54,0.42,0.4,albert-barabasi
0.557,0.286,0.51,0.49,0.4,albert-barabasi
0.554,0.27,0.58,0.53,0.4,albert-barabasi
0.554,0.271,0.5,0.45,0.4,albert-barabasi
0.542,0.319,0.51,0.41,0.5,albert-barabasi
0.549,0.331,0.45,0.3,0.5,albert-barabasi
0.553,0.321,0.49,0.41,0.5,albert-barabasi
0.555,0.313,0.52,0.41,0.5,albert-barabasi
0.557,0.306,0.49,0.42,0.5,albert-barabasi
0.558,0.31,0.49,0.35,0.5,albert-barabasi
0.558,0.303,0.54,0.42,0.5,albert-barabasi
0.557,0.291,0.52,0.46,0.5,albert-barabasi
0.554,0.274,0.58,0.53,0.5,albert-barabasi
0.555,0.272,0.48,0.46,0.5,albert-barabasi
0.543,0.323,0.48,0.4,0.6000000000000001,albert-barabasi
0.55,0.334,0.45,0.3,0.6000000000000001,albert-barabasi
0.554,0.325,0.48,0.4,0.6000000000000001,albert-barabasi
0.556,0.316,0.51,0.41,0.6000000000000001,albert-barabasi
0.558,0.309,0.49,0.41,0.6000000000000001,albert-barabasi
0.559,0.312,0.49,0.35,0.6000000000000001,albert-barabasi
0.559,0.307,0.54,0.4,0.6000000000000001,albert-barabasi
0.558,0.296,0.52,0.45,0.6000000000000001,albert-barabasi
0.555,0.278,0.58,0.52,0.6000000000000001,albert-barabasi
0.555,0.27,0.5,0.49,0.6000000000000001,albert-barabasi
0.542,0.319,0.49,0.4,0.7000000000000001,albert-barabasi
0.549,0.331,0.45,0.3,0.7000000000000001,albert-barabasi
0.555,0.324,0.45,0.4,0.7000000000000001,albert-barabasi
0.557,0.315,0.5,0.41,0.7000000000000001,albert-barabasi
0.559,0.31,0.48,0.4,0.7000000000000001,albert-barabasi
0.56,0.315,0.49,0.34,0.7000000000000001,albert-barabasi
0.559,0.31,0.54,0.39,0.7000000000000001,albert-barabasi
0.559,0.298,0.52,0.45,0.7000000000000001,albert-barabasi
0.555,0.279,0.6,0.52,0.7000000000000001,albert-barabasi
0.553,0.268,0.56,0.51,0.7000000000000001,albert-barabasi
0.544,0.313,0.46,0.42,0.8,albert-barabasi
0.551,0.325,0.42,0.31,0.8,albert-barabasi
0.556,0.321,0.44,0.39,0.8,albert-barabasi
0.557,0.314,0.5,0.4,0.8,albert-barabasi
0.56,0.31,0.46,0.4,0.8,albert-barabasi
0.561,0.314,0.47,0.34,0.8,albert-barabasi
0.561,0.31,0.5,0.39,0.8,albert-barabasi
0.562,0.299,0.48,0.44,0.8,albert-barabasi
0.558,0.28,0.58,0.52,0.8,albert-barabasi
0.556,0.268,0.53,0.51,0.8,albert-barabasi
0.542,0.309,0.53,0.42,0.9,albert-barabasi
0.548,0.32,0.46,0.32,0.9,albert-barabasi
0.554,0.322,0.43,0.36,0.9,albert-barabasi
0.557,0.319,0.5,0.38,0.9,albert-barabasi
0.559,0.314,0.46,0.39,0.9,albert-barabasi
0.561,0.318,0.47,0.34,0.9,albert-barabasi
0.562,0.314,0.5,0.38,0.9,albert-barabasi
0.562,0.304,0.49,0.43,0.9,albert-barabasi
0.558,0.282,0.59,0.52,0.9,albert-barabasi
0.555,0.266,0.56,0.54,0.9,albert-barabasi
0.543,0.326,0.51,0.42,0.0,random-graph
0.551,0.33,0.43,0.34,0.0,random-graph
0.553,0.314,0.54,0.45,0.0,random-graph
0.554,0.308,0.52,0.41,0.0,random-graph
0.556,0.302,0.51,0.42,0.0,random-graph
0.556,0.3,0.52,0.4,0.0,random-graph
0.555,0.29,0.54,0.46,0.0,random-graph
0.555,0.28,0.52,0.48,0.0,random-graph
0.553,0.271,0.57,0.5,0.0,random-graph
0.555,0.276,0.46,0.42,0.0,random-graph
0.543,0.328,0.5,0.41,0.1,random-graph
0.55,0.331,0.44,0.34,0.1,random-graph
0.553,0.317,0.54,0.44,0.1,random-graph
0.554,0.308,0.54,0.42,0.1,random-graph
0.555,0.303,0.51,0.41,0.1,random-graph
0.556,0.301,0.52,0.4,0.1,random-graph
0.555,0.291,0.55,0.46,0.1,random-graph
0.555,0.281,0.52,0.48,0.1,random-graph
0.553,0.271,0.57,0.5,0.1,random-graph
0.554,0.275,0.47,0.43,0.1,random-graph
0.544,0.328,0.51,0.41,0.2,random-graph
0.55,0.331,0.46,0.34,0.2,random-graph
0.553,0.318,0.54,0.43,0.2,random-graph
0.554,0.309,0.54,0.42,0.2,random-graph
0.555,0.303,0.51,0.42,0.2,random-graph
0.556,0.299,0.52,0.41,0.2,random-graph
0.555,0.288,0.55,0.47,0.2,random-graph
0.554,0.277,0.53,0.49,0.2,random-graph
0.552,0.264,0.58,0.54,0.2,random-graph
0.553,0.267,0.47,0.45,0.2,random-graph
0.544,0.325,0.51,0.41,0.30000000000000004,random-graph
0.55,0.329,0.46,0.34,0.30000000000000004,random-graph
0.553,0.318,0.52,0.42,0.30000000000000004,random-graph
0.554,0.306,0.55,0.44,0.30000000000000004,random-graph
