value,Persuasion,Benchmark,0,4,9,24
0,Persuasion 0,0.6857016446563333,0.6830574556248759,0.6830112405222939,0.6838120330556664,0.6817179689303794
0,Persuasion 0.3,0.6118109541992205,0.6057406382717432,0.6032282501997734,0.6050943662919251,0.6048695010500136
0,Persuasion 0.5,0.5494510052997985,0.5388701187912615,0.5436778723654624,0.5440732588554982,0.5392844008727034
0,Persuasion 0.7,0.45464746262454364,0.43498509496386484,0.4297482518106603,0.4321587618020706,0.43302199248653805
0,Persuasion 1,0.7002231312214254,0.6646332272503296,0.6595931073953702,0.655321869047985,0.6543782669497489
1,Persuasion 0,0.7755314211698152,,,,
1,Persuasion 0.3,0.715585811896234,,,,
1,Persuasion 0.5,0.7045937561800749,,,,
1,Persuasion 0.7,0.6422537902063972,,,,
1,Persuasion 1,0.950966156359874,,,,
2,Persuasion 0,0.8011838859136035,,,,
2,Persuasion 0.3,0.795141436954398,,,,
2,Persuasion 0.5,0.7887367714144431,,,,
2,Persuasion 0.7,0.7827287203044812,,,,
2,Persuasion 1,0.9623061108104431,,,,
3,Persuasion 0,0.7438721750461449,,,,
3,Persuasion 0.3,0.69961706626473,,,,
3,Persuasion 0.5,0.6592604305363216,,,,
3,Persuasion 0.7,0.5780878280554027,,,,
3,Persuasion 1,0.9828473497812785,,,,
4,Persuasion 0,0.6630541267808014,,,,
4,Persuasion 0.3,0.6440063437356476,,,,
4,Persuasion 0.5,0.6237040264770453,,,,
4,Persuasion 0.7,0.5790821796358078,,,,
4,Persuasion 1,0.29850191914074203,,,,
5,Persuasion 0,0.5640551743732827,,,,
5,Persuasion 0.3,0.5281870843357622,,,,
5,Persuasion 0.5,0.47586251826446513,,,,
5,Persuasion 0.7,0.3901002186925481,,,,
5,Persuasion 1,0.6358076358095226,,,,
6,Persuasion 0,0.6275108801940449,,,,
6,Persuasion 0.3,0.5727403662163126,,,,
6,Persuasion 0.5,0.5529856268008022,,,,
6,Persuasion 0.7,0.5031754664946431,,,,
6,Persuasion 1,0.935010578340798,,,,
7,Persuasion 0,0.5949579499705587,,,,
7,Persuasion 0.3,0.5918538851325296,,,,
7,Persuasion 0.5,0.5867163809358457,,,,
7,Persuasion 0.7,0.47658023720659554,,,,
7,Persuasion 1,0.9078003440714388,,,,
8,Persuasion 0,0.6602436331933944,,,,
8,Persuasion 0.3,0.6207197051656669,,,,
8,Persuasion 0.5,0.5808628427056811,,,,
8,Persuasion 0.7,0.5132853580464706,,,,
8,Persuasion 1,0.9707522111748302,,,,
9,Persuasion 0,0.7463058358721402,,,,
9,Persuasion 0.3,0.6583612436144732,,,,
9,Persuasion 0.5,0.5963308280527204,,,,
9,Persuasion 0.7,0.554587377495651,,,,
9,Persuasion 1,0.5617631871966396,,,,
10,Persuasion 0,0.6444127837003137,,,,
10,Persuasion 0.3,0.6032810562587908,,,,
10,Persuasion 0.5,0.5263279740703493,,,,
10,Persuasion 0.7,0.43308393479934215,,,,
10,Persuasion 1,0.5352480081359151,,,,
11,Persuasion 0,0.7558866823267121,,,,
11,Persuasion 0.3,0.7262554386943822,,,,
11,Persuasion 0.5,0.6745877534539274,,,,
11,Persuasion 0.7,0.6342958445321901,,,,
11,Persuasion 1,0.741849780535205,,,,
12,Persuasion 0,0.7182303192301283,,,,
12,Persuasion 0.3,0.681497664943528,,,,
12,Persuasion 0.5,0.6458144537735214,,,,
12,Persuasion 0.7,0.5766923407062278,,,,
12,Persuasion 1,0.7112398111505837,,,,
13,Persuasion 0,0.539542054801882,,,,
13,Persuasion 0.3,0.5308536360644276,,,,
13,Persuasion 0.5,0.518990886461299,,,,
13,Persuasion 0.7,0.48676534978069863,,,,
13,Persuasion 1,0.7293028274465342,,,,
14,Persuasion 0,0.6614171380769267,,,,
14,Persuasion 0.3,0.6442594914181942,,,,
14,Persuasion 0.5,0.5818790692502407,,,,
14,Persuasion 0.7,0.5246544753978641,,,,
14,Persuasion 1,0.9026532974345455,,,,
15,Persuasion 0,0.6986155673914246,,,,
15,Persuasion 0.3,0.6405302196096367,,,,
15,Persuasion 0.5,0.5553055165841306,,,,
15,Persuasion 0.7,0.45892762843884144,,,,
15,Persuasion 1,0.8482020702948952,,,,
16,Persuasion 0,0.6060502182122144,,,,
16,Persuasion 0.3,0.5356359080048405,,,,
16,Persuasion 0.5,0.5091737213263525,,,,
16,Persuasion 0.7,0.4988900652533965,,,,
16,Persuasion 1,0.6704292573885474,,,,
17,Persuasion 0,0.7249885203779459,,,,
17,Persuasion 0.3,0.643002971235796,,,,
17,Persuasion 0.5,0.5259842599429357,,,,
17,Persuasion 0.7,0.4211045605346966,,,,
17,Persuasion 1,0.8603802267875308,,,,
18,Persuasion 0,0.8060402838845361,,,,
18,Persuasion 0.3,0.6685220421600615,,,,
18,Persuasion 0.5,0.566744119115253,,,,
18,Persuasion 0.7,0.4262932376502566,,,,
18,Persuasion 1,0.49353050690706785,,,,
19,Persuasion 0,0.6001685149234496,,,,
19,Persuasion 0.3,0.5324446948160596,,,,
19,Persuasion 0.5,0.4869728078644055,,,,
19,Persuasion 0.7,0.42893634819702275,,,,
19,Persuasion 1,0.9468243768813798,,,,
