value,Persuasion,Benchmark,0,4,9,24
0,Persuasion 0,0.3401032104527429,0.33752711257636464,0.33728608741231053,0.3374805230650738,0.33681228540441205
0,Persuasion 0.3,0.3056187027349802,0.3016370223756557,0.3000173722392092,0.30128160838883966,0.3014872494424178
0,Persuasion 0.5,0.27558446623414135,0.2654992879862058,0.2699632037202292,0.2696652671773637,0.2689827336496566
0,Persuasion 0.7,0.22632462843982226,0.2174335600540239,0.2154490022673503,0.21662825982697873,0.21699217181100747
0,Persuasion 1,0.3299559307788806,0.18349862081869878,0.18472207855429423,0.18676931847903536,0.18791288202655845
1,Persuasion 0,0.36715700904915977,,,,
1,Persuasion 0.3,0.34078782481701686,,,,
1,Persuasion 0.5,0.32218720908991616,,,,
1,Persuasion 0.7,0.2913778152136609,,,,
1,Persuasion 1,0.003450803671177399,,,,
2,Persuasion 0,0.30289324071516693,,,,
2,Persuasion 0.3,0.2958816165875854,,,,
2,Persuasion 0.5,0.2886751345948131,,,,
2,Persuasion 0.7,0.2690740065819482,,,,
2,Persuasion 1,0.05304365089090092,,,,
3,Persuasion 0,0.3446844776930948,,,,
3,Persuasion 0.3,0.3278449611554343,,,,
3,Persuasion 0.5,0.31286894280106814,,,,
3,Persuasion 0.7,0.2781446505576296,,,,
3,Persuasion 1,0.03601468410613052,,,,
4,Persuasion 0,0.3399441951691903,,,,
4,Persuasion 0.3,0.33256763945273726,,,,
4,Persuasion 0.5,0.3220300142056032,,,,
4,Persuasion 0.7,0.304031207887378,,,,
4,Persuasion 1,0.154860772259773,,,,
5,Persuasion 0,0.2838177680335745,,,,
5,Persuasion 0.3,0.26290611559217014,,,,
5,Persuasion 0.5,0.23752843404243945,,,,
5,Persuasion 0.7,0.19461624062905078,,,,
5,Persuasion 1,0.26002315167858997,,,,
6,Persuasion 0,0.32956958545723924,,,,
6,Persuasion 0.3,0.3139224591277718,,,,
6,Persuasion 0.5,0.2984087189523758,,,,
6,Persuasion 0.7,0.26660848708523616,,,,
6,Persuasion 1,0.0481581957994701,,,,
7,Persuasion 0,0.3449207138612798,,,,
7,Persuasion 0.3,0.33817631258088504,,,,
7,Persuasion 0.5,0.3323022443637647,,,,
7,Persuasion 0.7,0.2608911719711487,,,,
7,Persuasion 1,0.08689529021421176,,,,
8,Persuasion 0,0.3262554833165089,,,,
8,Persuasion 0.3,0.3119842213179951,,,,
8,Persuasion 0.5,0.29608144710013984,,,,
8,Persuasion 0.7,0.26583811758644527,,,,
8,Persuasion 1,0.048366281731580356,,,,
9,Persuasion 0,0.3062260345503841,,,,
9,Persuasion 0.3,0.2878213047157485,,,,
9,Persuasion 0.5,0.28371107438276394,,,,
9,Persuasion 0.7,0.27816398985942764,,,,
9,Persuasion 1,0.2424351960878099,,,,
10,Persuasion 0,0.3178157390793729,,,,
10,Persuasion 0.3,0.3039549054791851,,,,
10,Persuasion 0.5,0.26249420042072474,,,,
10,Persuasion 0.7,0.21821236699604457,,,,
10,Persuasion 1,0.25832416849043105,,,,
11,Persuasion 0,0.3157750441205367,,,,
11,Persuasion 0.3,0.30706451668270457,,,,
11,Persuasion 0.5,0.29645691003481306,,,,
11,Persuasion 0.7,0.28687318333527273,,,,
11,Persuasion 1,0.036573968507858025,,,,
12,Persuasion 0,0.34496069122340106,,,,
12,Persuasion 0.3,0.32769636312284717,,,,
12,Persuasion 0.5,0.3143588883318471,,,,
12,Persuasion 0.7,0.27913815284619237,,,,
12,Persuasion 1,0.309741382669367,,,,
13,Persuasion 0,0.31872385111198087,,,,
13,Persuasion 0.3,0.3085955579570201,,,,
13,Persuasion 0.5,0.2950507234230187,,,,
13,Persuasion 0.7,0.2741475158138944,,,,
13,Persuasion 1,0.07035065818265204,,,,
14,Persuasion 0,0.3078226730271122,,,,
14,Persuasion 0.3,0.32124733295807467,,,,
14,Persuasion 0.5,0.31590947758741955,,,,
14,Persuasion 0.7,0.31116531860221985,,,,
14,Persuasion 1,0.12681198992278836,,,,
15,Persuasion 0,0.3474249348936811,,,,
15,Persuasion 0.3,0.3181550571562373,,,,
15,Persuasion 0.5,0.2853879564983179,,,,
15,Persuasion 0.7,0.23327176762263063,,,,
15,Persuasion 1,0.1493049028765922,,,,
16,Persuasion 0,0.2620286776568825,,,,
16,Persuasion 0.3,0.2599926359952466,,,,
16,Persuasion 0.5,0.25321658791257906,,,,
16,Persuasion 0.7,0.2545720772762314,,,,
16,Persuasion 1,0.10664235149791505,,,,
17,Persuasion 0,0.31556603820173423,,,,
17,Persuasion 0.3,0.3112309582281395,,,,
17,Persuasion 0.5,0.27318696870209075,,,,
17,Persuasion 0.7,0.22156255070567601,,,,
17,Persuasion 1,0.1558369953821004,,,,
18,Persuasion 0,0.3413701937712229,,,,
18,Persuasion 0.3,0.3071704650211032,,,,
18,Persuasion 0.5,0.281775685512098,,,,
18,Persuasion 0.7,0.22506057568081517,,,,
18,Persuasion 1,0.2441239422485675,,,,
19,Persuasion 0,0.3318612684207552,,,,
19,Persuasion 0.3,0.27649746938211334,,,,
19,Persuasion 0.5,0.23968393254560366,,,,
19,Persuasion 0.7,0.18198319993194767,,,,
19,Persuasion 1,0.06336264121810792,,,,
