value,Persuasion,Benchmark,0,4,9,24
0,Persuasion 0,1.2854697153690473,1.2898750832894,1.2891002697184708,1.290701027735262,1.2894991059459069
0,Persuasion 0.3,1.2131797882022581,1.221265603604972,1.2160128645099344,1.2170229331124598,1.218659701701761
0,Persuasion 0.5,1.1175336324563907,1.139039978402534,1.1416412168508183,1.1319587430254785,1.1265390184999964
0,Persuasion 0.7,0.8727943013740317,0.9111824058137076,0.8842286669145611,0.8984967271133067,0.8834916804205092
0,Persuasion 1,1.346834257626368,1.4101612640626173,1.3934886669398814,1.3984327592059513,1.3976482853034573
1,Persuasion 0,1.351462090708724,,,,
1,Persuasion 0.3,1.3053938845316801,,,,
1,Persuasion 0.5,1.2954718939907777,,,,
1,Persuasion 0.7,1.1962269079460697,,,,
1,Persuasion 1,1.717815865527623,,,,
2,Persuasion 0,2.9375997819991455,,,,
2,Persuasion 0.3,2.9335103084947605,,,,
2,Persuasion 0.5,2.9117205113050453,,,,
2,Persuasion 0.7,2.8016643826677297,,,,
2,Persuasion 1,0.5975405928113505,,,,
3,Persuasion 0,1.6123476801268437,,,,
3,Persuasion 0.3,1.5006574996425368,,,,
3,Persuasion 0.5,1.3840022992790093,,,,
3,Persuasion 0.7,1.126478534335412,,,,
3,Persuasion 1,0.6032654242436408,,,,
4,Persuasion 0,1.5417777090888767,,,,
4,Persuasion 0.3,1.4958968808096895,,,,
4,Persuasion 0.5,1.4543625695526337,,,,
4,Persuasion 0.7,1.396283139927676,,,,
4,Persuasion 1,0.7384983658117084,,,,
5,Persuasion 0,0.9169364309539413,,,,
5,Persuasion 0.3,0.8551684871868052,,,,
5,Persuasion 0.5,0.7684774673410775,,,,
5,Persuasion 0.7,0.6880930263956184,,,,
5,Persuasion 1,0.8702665010315064,,,,
6,Persuasion 0,1.1262445196392783,,,,
6,Persuasion 0.3,1.1432339410403167,,,,
6,Persuasion 0.5,1.0660691730504244,,,,
6,Persuasion 0.7,0.9385592110531594,,,,
6,Persuasion 1,1.3084370453232264,,,,
7,Persuasion 0,1.5029506595107107,,,,
7,Persuasion 0.3,1.5365300531127741,,,,
7,Persuasion 0.5,1.5123658023345006,,,,
7,Persuasion 0.7,0.8371874799182668,,,,
7,Persuasion 1,0.5549406006747265,,,,
8,Persuasion 0,1.685976422715336,,,,
8,Persuasion 0.3,1.6509528938216964,,,,
8,Persuasion 0.5,1.5773360071340723,,,,
8,Persuasion 0.7,1.3339421189207656,,,,
8,Persuasion 1,0.5913556163072857,,,,
9,Persuasion 0,1.6884498529657876,,,,
9,Persuasion 0.3,1.6982406821966634,,,,
9,Persuasion 0.5,1.7187295460742305,,,,
9,Persuasion 0.7,1.6580102280904316,,,,
9,Persuasion 1,1.7420106024340707,,,,
10,Persuasion 0,1.320153153974312,,,,
10,Persuasion 0.3,1.275572492454221,,,,
10,Persuasion 0.5,1.1901282368338566,,,,
10,Persuasion 0.7,1.0124459452657035,,,,
10,Persuasion 1,0.6949564247798902,,,,
11,Persuasion 0,2.1898682789391146,,,,
11,Persuasion 0.3,2.1115870481249974,,,,
11,Persuasion 0.5,2.0135897738667596,,,,
11,Persuasion 0.7,1.8856010822215983,,,,
11,Persuasion 1,2.164606063060174,,,,
12,Persuasion 0,1.4768358043049634,,,,
12,Persuasion 0.3,1.388790561349477,,,,
12,Persuasion 0.5,1.2185223401845424,,,,
12,Persuasion 0.7,1.0048063823605802,,,,
12,Persuasion 1,1.6677493986995533,,,,
13,Persuasion 0,1.3887944738790243,,,,
13,Persuasion 0.3,1.361901418183429,,,,
13,Persuasion 0.5,1.3375094776381875,,,,
13,Persuasion 0.7,1.227649739377927,,,,
13,Persuasion 1,2.4477151922196247,,,,
14,Persuasion 0,1.803271001273074,,,,
14,Persuasion 0.3,1.7710884173814045,,,,
14,Persuasion 0.5,1.6619786411918718,,,,
14,Persuasion 0.7,1.6533603213998098,,,,
14,Persuasion 1,0.5640728350456923,,,,
15,Persuasion 0,1.0446557813291302,,,,
15,Persuasion 0.3,0.9836754797875809,,,,
15,Persuasion 0.5,0.9378822016618547,,,,
15,Persuasion 0.7,0.9016697648853558,,,,
15,Persuasion 1,1.3447676412932006,,,,
16,Persuasion 0,1.614949289008071,,,,
16,Persuasion 0.3,1.5017466338891718,,,,
16,Persuasion 0.5,1.411682536856267,,,,
16,Persuasion 0.7,1.0432834757635736,,,,
16,Persuasion 1,1.6992771783083291,,,,
17,Persuasion 0,1.3023908819628502,,,,
17,Persuasion 0.3,1.1114380848214394,,,,
17,Persuasion 0.5,0.8872251746112723,,,,
17,Persuasion 0.7,0.7483946511020982,,,,
17,Persuasion 1,0.5503706622566594,,,,
18,Persuasion 0,1.3571366473437885,,,,
18,Persuasion 0.3,1.0544402520657554,,,,
18,Persuasion 0.5,0.9568046946889146,,,,
18,Persuasion 0.7,0.7810007886594537,,,,
18,Persuasion 1,0.7713701400060984,,,,
19,Persuasion 0,0.7662802737118504,,,,
19,Persuasion 0.3,0.7336584448417612,,,,
19,Persuasion 0.5,0.7032903105900756,,,,
19,Persuasion 0.7,0.6669349505834447,,,,
19,Persuasion 1,0.5890693060309092,,,,
