value,Persuasion,Benchmark,0,4,9,24
0,Persuasion 0,-0.6128537494513014,-0.6170128522818,-0.6168655151958207,-0.6182426410226786,-0.6195054345301892
0,Persuasion 0.3,-0.5336656611036502,-0.5528834845466553,-0.5461007604255671,-0.5420949282095663,-0.5449352119703925
0,Persuasion 0.5,-0.4737243803570378,-0.4832969052249385,-0.49316182294629074,-0.47795406105026617,-0.481873936545333
0,Persuasion 0.7,-0.37619995703898795,-0.3752523459290342,-0.389002447302401,-0.3945038546415409,-0.38073516701719395
0,Persuasion 1,-1.3970181520153173,-1.5741302088885765,-1.5442833393034412,-1.6109778648266684,-1.6023271193390634
1,Persuasion 0,0.8746629305676803,,,,
1,Persuasion 0.3,0.914271687088682,,,,
1,Persuasion 0.5,0.6966604258640505,,,,
1,Persuasion 0.7,0.6531091364836735,,,,
1,Persuasion 1,1.3137542625054306,,,,
2,Persuasion 0,-1.0452067725010856,,,,
2,Persuasion 0.3,-0.9817722278885384,,,,
2,Persuasion 0.5,-0.9029112632514888,,,,
2,Persuasion 0.7,-0.7865817248809661,,,,
2,Persuasion 1,-0.10055130670133325,,,,
3,Persuasion 0,0.4049472813676011,,,,
3,Persuasion 0.3,0.3563516872731873,,,,
3,Persuasion 0.5,0.29924838010185123,,,,
3,Persuasion 0.7,0.15142013622283437,,,,
3,Persuasion 1,0.16315872128775225,,,,
4,Persuasion 0,1.160053788370288,,,,
4,Persuasion 0.3,1.1303696104854752,,,,
4,Persuasion 0.5,1.0852153059224705,,,,
4,Persuasion 0.7,1.1096132351782897,,,,
4,Persuasion 1,0.3468546145585571,,,,
5,Persuasion 0,0.13557216202862615,,,,
5,Persuasion 0.3,0.056082070551965645,,,,
5,Persuasion 0.5,-0.02138132141322503,,,,
5,Persuasion 0.7,-0.05391786690599706,,,,
5,Persuasion 1,0.006971804754450679,,,,
6,Persuasion 0,-0.41792095358287057,,,,
6,Persuasion 0.3,-0.49073412901025304,,,,
6,Persuasion 0.5,-0.4748854491634223,,,,
6,Persuasion 0.7,-0.4234732872297798,,,,
6,Persuasion 1,-0.10212493872734268,,,,
7,Persuasion 0,-1.8486987213125556,,,,
7,Persuasion 0.3,-1.9459046601489922,,,,
7,Persuasion 0.5,-1.8837500488744992,,,,
7,Persuasion 0.7,-0.7511185948789156,,,,
7,Persuasion 1,-0.20318999284846626,,,,
8,Persuasion 0,0.7999381020155408,,,,
8,Persuasion 0.3,0.8052694003790433,,,,
8,Persuasion 0.5,0.7536632879897304,,,,
8,Persuasion 0.7,0.6225374592314198,,,,
8,Persuasion 1,0.05007378760171376,,,,
9,Persuasion 0,0.8995216708469348,,,,
9,Persuasion 0.3,1.1450557535785333,,,,
9,Persuasion 0.5,1.331636238710918,,,,
9,Persuasion 0.7,1.421185995931299,,,,
9,Persuasion 1,2.209845198712519,,,,
10,Persuasion 0,-0.5984741556959661,,,,
10,Persuasion 0.3,-0.575212804675762,,,,
10,Persuasion 0.5,-0.44993246280109095,,,,
10,Persuasion 0.7,-0.38420112491828107,,,,
10,Persuasion 1,-0.0139954931877841,,,,
11,Persuasion 0,-0.8682140950975226,,,,
11,Persuasion 0.3,-0.8106427392867313,,,,
11,Persuasion 0.5,-0.7939747162561629,,,,
11,Persuasion 0.7,-0.8083359678783989,,,,
11,Persuasion 1,-3.307447748619452,,,,
12,Persuasion 0,-1.1343905881261331,,,,
12,Persuasion 0.3,-1.065179444234237,,,,
12,Persuasion 0.5,-0.9074065620955865,,,,
12,Persuasion 0.7,-0.6491256115926387,,,,
12,Persuasion 1,0.7065273416215377,,,,
13,Persuasion 0,-1.5231263539754303,,,,
13,Persuasion 0.3,-1.477377608356083,,,,
13,Persuasion 0.5,-1.419513105869867,,,,
13,Persuasion 0.7,-1.1447203780904915,,,,
13,Persuasion 1,-2.8493144137162187,,,,
14,Persuasion 0,-1.7590292141273887,,,,
14,Persuasion 0.3,-1.7564537088049772,,,,
14,Persuasion 0.5,-1.7514637094073506,,,,
14,Persuasion 0.7,-1.7975541239246324,,,,
14,Persuasion 1,-0.2358126596557807,,,,
15,Persuasion 0,-0.533114830766758,,,,
15,Persuasion 0.3,-0.49821711756603543,,,,
15,Persuasion 0.5,-0.4651040244376617,,,,
15,Persuasion 0.7,-0.4232304300486133,,,,
15,Persuasion 1,0.12739489185906996,,,,
16,Persuasion 0,-1.890306060983197,,,,
16,Persuasion 0.3,-1.833182745571472,,,,
16,Persuasion 0.5,-1.7355418077732228,,,,
16,Persuasion 0.7,-1.2362514208407338,,,,
16,Persuasion 1,-1.811482187864278,,,,
17,Persuasion 0,0.5184630202944991,,,,
17,Persuasion 0.3,0.5708047568023351,,,,
17,Persuasion 0.5,0.28910650459216836,,,,
17,Persuasion 0.7,0.1868731001183983,,,,
17,Persuasion 1,0.13810460641667355,,,,
18,Persuasion 0,-0.48708917203332225,,,,
18,Persuasion 0.3,-0.4253324356293214,,,,
18,Persuasion 0.5,-0.5181236487629797,,,,
18,Persuasion 0.7,-0.35447416558978334,,,,
18,Persuasion 1,-0.3074079491048188,,,,
19,Persuasion 0,-0.48502544041625795,,,,
19,Persuasion 0.3,-0.37858312359102686,,,,
19,Persuasion 0.5,-0.32199471262726354,,,,
19,Persuasion 0.7,-0.20304610821861316,,,,
19,Persuasion 1,-0.045561713096710005,,,,
