value,Persuasion,Benchmark,0,4,9,24
0,Persuasion 0,0.04525714285714284,0.04502857142857142,0.04514285714285714,0.045371428571428556,0.04754285714285714
0,Persuasion 0.3,0.08022857142857143,0.07771428571428571,0.07508571428571428,0.07554285714285713,0.07485714285714286
0,Persuasion 0.5,0.08022857142857144,0.07725714285714287,0.08891428571428571,0.07268571428571428,0.07965714285714286
0,Persuasion 0.7,0.1321142857142857,0.12205714285714288,0.12571428571428572,0.12880000000000003,0.1272
0,Persuasion 1,-0.14251428571428573,-0.15394285714285713,-0.1425142857142857,-0.16537142857142856,-0.16537142857142856
1,Persuasion 0,-0.05337142857142856,,,,
1,Persuasion 0.3,-0.06342857142857143,,,,
1,Persuasion 0.5,-0.023314285714285704,,,,
1,Persuasion 0.7,-0.08674285714285714,,,,
1,Persuasion 1,-0.21565714285714288,,,,
2,Persuasion 0,0.16800000000000004,,,,
2,Persuasion 0.3,0.1731428571428571,,,,
2,Persuasion 0.5,0.1556571428571429,,,,
2,Persuasion 0.7,0.13794285714285712,,,,
2,Persuasion 1,0.17817142857142856,,,,
3,Persuasion 0,0.08605714285714283,,,,
3,Persuasion 0.3,0.15405714285714286,,,,
3,Persuasion 0.5,0.18205714285714283,,,,
3,Persuasion 0.7,0.12982857142857143,,,,
3,Persuasion 1,0.07028571428571428,,,,
4,Persuasion 0,-0.15268571428571429,,,,
4,Persuasion 0.3,-0.16674285714285714,,,,
4,Persuasion 0.5,-0.1656,,,,
4,Persuasion 0.7,-0.09371428571428572,,,,
4,Persuasion 1,0.03897142857142857,,,,
5,Persuasion 0,0.01634285714285716,,,,
5,Persuasion 0.3,-0.008228571428571457,,,,
5,Persuasion 0.5,0.008228571428571457,,,,
5,Persuasion 0.7,0.013371428571428591,,,,
5,Persuasion 1,-0.07428571428571429,,,,
6,Persuasion 0,0.4013714285714286,,,,
6,Persuasion 0.3,0.3481142857142857,,,,
6,Persuasion 0.5,0.2827428571428572,,,,
6,Persuasion 0.7,0.1928,,,,
6,Persuasion 1,0.6125714285714285,,,,
7,Persuasion 0,0.5332571428571429,,,,
7,Persuasion 0.3,0.46880000000000005,,,,
7,Persuasion 0.5,0.3299428571428571,,,,
7,Persuasion 0.7,0.08777142857142857,,,,
7,Persuasion 1,-0.01005714285714287,,,,
8,Persuasion 0,-0.21942857142857142,,,,
8,Persuasion 0.3,-0.16217142857142858,,,,
8,Persuasion 0.5,-0.1470857142857143,,,,
8,Persuasion 0.7,-0.0990857142857143,,,,
8,Persuasion 1,-0.2521142857142857,,,,
9,Persuasion 0,-0.2950857142857143,,,,
9,Persuasion 0.3,-0.3008,,,,
9,Persuasion 0.5,-0.2993142857142857,,,,
9,Persuasion 0.7,-0.2552,,,,
9,Persuasion 1,0.2896,,,,
10,Persuasion 0,0.2888,,,,
10,Persuasion 0.3,0.26091428571428565,,,,
10,Persuasion 0.5,0.18925714285714285,,,,
10,Persuasion 0.7,0.1065142857142857,,,,
10,Persuasion 1,-0.14091428571428571,,,,
11,Persuasion 0,0.1134857142857143,,,,
11,Persuasion 0.3,0.1225142857142857,,,,
11,Persuasion 0.5,0.10205714285714283,,,,
11,Persuasion 0.7,0.10845714285714288,,,,
11,Persuasion 1,-0.09965714285714285,,,,
12,Persuasion 0,0.09268571428571427,,,,
12,Persuasion 0.3,0.048685714285714284,,,,
12,Persuasion 0.5,0.03520000000000001,,,,
12,Persuasion 0.7,-0.04000000000000001,,,,
12,Persuasion 1,0.16274285714285713,,,,
13,Persuasion 0,0.39782857142857136,,,,
13,Persuasion 0.3,0.37954285714285724,,,,
13,Persuasion 0.5,0.3518857142857143,,,,
13,Persuasion 0.7,0.38217142857142855,,,,
13,Persuasion 1,-0.1925714285714286,,,,
14,Persuasion 0,0.3894857142857143,,,,
14,Persuasion 0.3,0.3563428571428572,,,,
14,Persuasion 0.5,0.3427428571428572,,,,
14,Persuasion 0.7,0.36308571428571423,,,,
14,Persuasion 1,-0.0696,,,,
15,Persuasion 0,0.22217142857142855,,,,
15,Persuasion 0.3,0.17325714285714286,,,,
15,Persuasion 0.5,0.14925714285714287,,,,
15,Persuasion 0.7,0.12422857142857144,,,,
15,Persuasion 1,-0.05097142857142857,,,,
16,Persuasion 0,0.38114285714285706,,,,
16,Persuasion 0.3,0.36697142857142856,,,,
16,Persuasion 0.5,0.2824,,,,
16,Persuasion 0.7,0.09794285714285715,,,,
16,Persuasion 1,0.3144,,,,
17,Persuasion 0,-0.24228571428571427,,,,
17,Persuasion 0.3,-0.28171428571428575,,,,
17,Persuasion 0.5,-0.2446857142857142,,,,
17,Persuasion 0.7,-0.1572571428571429,,,,
17,Persuasion 1,0.16434285714285712,,,,
18,Persuasion 0,-0.027199999999999988,,,,
18,Persuasion 0.3,0.04434285714285714,,,,
18,Persuasion 0.5,0.054742857142857135,,,,
18,Persuasion 0.7,0.01051428571428571,,,,
18,Persuasion 1,-0.1651428571428571,,,,
19,Persuasion 0,0.21691428571428573,,,,
19,Persuasion 0.3,0.15314285714285714,,,,
19,Persuasion 0.5,0.10788571428571431,,,,
19,Persuasion 0.7,0.03245714285714286,,,,
19,Persuasion 1,0.15428571428571428,,,,
