value,Persuasion,Benchmark,0,4,9,24
0,Persuasion 0,0.2935902218923589,0.29379016896859306,0.29365878348277713,0.2936202097714101,0.29405870530811984
0,Persuasion 0.3,0.2699738112945277,0.2703768336672135,0.26971817682478866,0.26983270375018725,0.2703412427294907
0,Persuasion 0.5,0.2535406160885631,0.25472272184599176,0.25409616373910376,0.2554451345177053,0.25490940468664774
0,Persuasion 0.7,0.20612681224377372,0.2076936135513474,0.2065694458543932,0.20722877104011905,0.2065865833503261
0,Persuasion 1,0.067676279579584,0.067676279579584,0.067676279579584,0.067676279579584,0.067676279579584
1,Persuasion 0,0.36088629269640843,,,,
1,Persuasion 0.3,0.3485290883865505,,,,
1,Persuasion 0.5,0.32191944856266447,,,,
1,Persuasion 0.7,0.2746447175058328,,,,
1,Persuasion 1,0.23523876002910926,,,,
2,Persuasion 0,0.2609408894428984,,,,
2,Persuasion 0.3,0.2498285126127238,,,,
2,Persuasion 0.5,0.23756928641061476,,,,
2,Persuasion 0.7,0.23089867978922524,,,,
2,Persuasion 1,0.2812321353567322,,,,
3,Persuasion 0,0.35120998448502355,,,,
3,Persuasion 0.3,0.31006109891031386,,,,
3,Persuasion 0.5,0.2788292201153741,,,,
3,Persuasion 0.7,0.21762224543395722,,,,
3,Persuasion 1,0.2879836133816557,,,,
4,Persuasion 0,0.352400745904837,,,,
4,Persuasion 0.3,0.3427642868238158,,,,
4,Persuasion 0.5,0.3311313839427719,,,,
4,Persuasion 0.7,0.3014514096516259,,,,
4,Persuasion 1,0.06460378165610173,,,,
5,Persuasion 0,0.32724246696281334,,,,
5,Persuasion 0.3,0.29367246033175654,,,,
5,Persuasion 0.5,0.2662807141330589,,,,
5,Persuasion 0.7,0.2245503735894157,,,,
5,Persuasion 1,0.0,,,,
6,Persuasion 0,0.36755350581752316,,,,
6,Persuasion 0.3,0.35168067505698813,,,,
6,Persuasion 0.5,0.3242779727525128,,,,
6,Persuasion 0.7,0.27189141075926504,,,,
6,Persuasion 1,0.07775283985225416,,,,
7,Persuasion 0,0.3349729004062391,,,,
7,Persuasion 0.3,0.3180527473267631,,,,
7,Persuasion 0.5,0.3046310643809632,,,,
7,Persuasion 0.7,0.2385556841702118,,,,
7,Persuasion 1,0.2478069723928335,,,,
8,Persuasion 0,0.3201821115628736,,,,
8,Persuasion 0.3,0.29711168997843057,,,,
8,Persuasion 0.5,0.2839323562449766,,,,
8,Persuasion 0.7,0.2517647793180974,,,,
8,Persuasion 1,0.21984544503908543,,,,
9,Persuasion 0,0.3614752658427572,,,,
9,Persuasion 0.3,0.34296157276594225,,,,
9,Persuasion 0.5,0.31654796496188486,,,,
9,Persuasion 0.7,0.2689078684377192,,,,
9,Persuasion 1,0.13445341518109055,,,,
10,Persuasion 0,0.3077152630062864,,,,
10,Persuasion 0.3,0.28670227372705415,,,,
10,Persuasion 0.5,0.26690481566276336,,,,
10,Persuasion 0.7,0.22213530100824352,,,,
10,Persuasion 1,0.0190484646774522,,,,
11,Persuasion 0,0.333054254272481,,,,
11,Persuasion 0.3,0.311533449748156,,,,
11,Persuasion 0.5,0.28971372541344886,,,,
11,Persuasion 0.7,0.256474045393664,,,,
11,Persuasion 1,0.14446954099692458,,,,
12,Persuasion 0,0.32659988929074824,,,,
12,Persuasion 0.3,0.2898583879370602,,,,
12,Persuasion 0.5,0.2470688595239587,,,,
12,Persuasion 0.7,0.1789913905700321,,,,
12,Persuasion 1,0.020482681218167202,,,,
13,Persuasion 0,0.29582783569904997,,,,
13,Persuasion 0.3,0.2886691619440348,,,,
13,Persuasion 0.5,0.2890764411607325,,,,
13,Persuasion 0.7,0.28528064136035436,,,,
13,Persuasion 1,0.23189825638333053,,,,
14,Persuasion 0,0.3394767247306151,,,,
14,Persuasion 0.3,0.3201225340109774,,,,
14,Persuasion 0.5,0.30127918850343316,,,,
14,Persuasion 0.7,0.26540223214507086,,,,
14,Persuasion 1,0.1836025728629762,,,,
15,Persuasion 0,0.33975492954638237,,,,
15,Persuasion 0.3,0.311688162549101,,,,
15,Persuasion 0.5,0.29455568944970684,,,,
15,Persuasion 0.7,0.2796252829244429,,,,
15,Persuasion 1,0.12307958630439234,,,,
16,Persuasion 0,0.3175429376342345,,,,
16,Persuasion 0.3,0.3007289993241134,,,,
16,Persuasion 0.5,0.2747460149705548,,,,
16,Persuasion 0.7,0.20056442523526133,,,,
16,Persuasion 1,0.12395303416941006,,,,
17,Persuasion 0,0.36210125682886585,,,,
17,Persuasion 0.3,0.3355874881952082,,,,
17,Persuasion 0.5,0.31546465846258626,,,,
17,Persuasion 0.7,0.2713522907245211,,,,
17,Persuasion 1,0.1579548479475951,,,,
18,Persuasion 0,0.321069313552526,,,,
18,Persuasion 0.3,0.2635795901211004,,,,
18,Persuasion 0.5,0.22705862469331356,,,,
18,Persuasion 0.7,0.2022501824201856,,,,
18,Persuasion 1,0.17017190188299658,,,,
19,Persuasion 0,0.32686802547134153,,,,
19,Persuasion 0.3,0.2850803821769129,,,,
19,Persuasion 0.5,0.255521977756483,,,,
19,Persuasion 0.7,0.1898459664275259,,,,
19,Persuasion 1,0.0,,,,
