value,Persuasion,Benchmark,0,4,9,24
0,Persuasion 0,0.29359022189235884,0.29379016896859306,0.2936587834827771,0.29362020977141023,0.29405870530811984
0,Persuasion 0.3,0.2699738112945277,0.2703768336672135,0.2697181768247887,0.26983270375018725,0.27034124272949084
0,Persuasion 0.5,0.2535406160885631,0.2547227218459917,0.2540961637391037,0.25544513451770534,0.2549094046866477
0,Persuasion 0.7,0.2061268122437737,0.2076936135513474,0.2065694458543932,0.20722877104011905,0.20658658335032615
0,Persuasion 1,0.06767627957958396,0.06767627957958396,0.06767627957958396,0.06767627957958396,0.06767627957958396
1,Persuasion 0,0.36088629269640804,,,,
1,Persuasion 0.3,0.34852908838655056,,,,
1,Persuasion 0.5,0.32191944856266447,,,,
1,Persuasion 0.7,0.2746447175058328,,,,
1,Persuasion 1,0.23523876002910932,,,,
2,Persuasion 0,0.2609408894428984,,,,
2,Persuasion 0.3,0.2498285126127238,,,,
2,Persuasion 0.5,0.2375692864106148,,,,
2,Persuasion 0.7,0.2308986797892253,,,,
2,Persuasion 1,0.28123213535673214,,,,
3,Persuasion 0,0.3512099844850235,,,,
3,Persuasion 0.3,0.31006109891031386,,,,
3,Persuasion 0.5,0.27882922011537414,,,,
3,Persuasion 0.7,0.21762224543395728,,,,
3,Persuasion 1,0.2879836133816557,,,,
4,Persuasion 0,0.352400745904837,,,,
4,Persuasion 0.3,0.34276428682381616,,,,
4,Persuasion 0.5,0.331131383942772,,,,
4,Persuasion 0.7,0.301451409651626,,,,
4,Persuasion 1,0.06460378165610171,,,,
5,Persuasion 0,0.3272424669628133,,,,
5,Persuasion 0.3,0.29367246033175654,,,,
5,Persuasion 0.5,0.2662807141330589,,,,
5,Persuasion 0.7,0.2245503735894157,,,,
5,Persuasion 1,0.0,,,,
6,Persuasion 0,0.36755350581752316,,,,
6,Persuasion 0.3,0.35168067505698813,,,,
6,Persuasion 0.5,0.3242779727525128,,,,
6,Persuasion 0.7,0.27189141075926504,,,,
6,Persuasion 1,0.07775283985225417,,,,
7,Persuasion 0,0.3349729004062391,,,,
7,Persuasion 0.3,0.3180527473267631,,,,
7,Persuasion 0.5,0.30463106438096327,,,,
7,Persuasion 0.7,0.23855568417021178,,,,
7,Persuasion 1,0.2478069723928335,,,,
8,Persuasion 0,0.3201821115628736,,,,
8,Persuasion 0.3,0.29711168997843057,,,,
8,Persuasion 0.5,0.28393235624497665,,,,
8,Persuasion 0.7,0.2517647793180974,,,,
8,Persuasion 1,0.21984544503908543,,,,
9,Persuasion 0,0.3614752658427572,,,,
9,Persuasion 0.3,0.3429615727659423,,,,
9,Persuasion 0.5,0.3165479649618849,,,,
9,Persuasion 0.7,0.2689078684377192,,,,
9,Persuasion 1,0.1344534151810906,,,,
10,Persuasion 0,0.30771526300628643,,,,
10,Persuasion 0.3,0.2867022737270544,,,,
10,Persuasion 0.5,0.2669048156627634,,,,
10,Persuasion 0.7,0.22213530100824355,,,,
10,Persuasion 1,0.019048464677452186,,,,
11,Persuasion 0,0.3330542542724809,,,,
11,Persuasion 0.3,0.31153344974815594,,,,
11,Persuasion 0.5,0.2897137254134488,,,,
11,Persuasion 0.7,0.2564740453936639,,,,
11,Persuasion 1,0.14446954099692458,,,,
12,Persuasion 0,0.3265998892907484,,,,
12,Persuasion 0.3,0.2898583879370602,,,,
12,Persuasion 0.5,0.24706885952395874,,,,
12,Persuasion 0.7,0.17899139057003205,,,,
12,Persuasion 1,0.020482681218167226,,,,
13,Persuasion 0,0.29582783569904997,,,,
13,Persuasion 0.3,0.28866916194403486,,,,
13,Persuasion 0.5,0.2890764411607325,,,,
13,Persuasion 0.7,0.28528064136035447,,,,
13,Persuasion 1,0.23189825638333053,,,,
14,Persuasion 0,0.3394767247306149,,,,
14,Persuasion 0.3,0.3201225340109775,,,,
14,Persuasion 0.5,0.3012791885034332,,,,
14,Persuasion 0.7,0.26540223214507086,,,,
14,Persuasion 1,0.18360257286297624,,,,
15,Persuasion 0,0.3397549295463824,,,,
15,Persuasion 0.3,0.311688162549101,,,,
15,Persuasion 0.5,0.2945556894497067,,,,
15,Persuasion 0.7,0.27962528292444283,,,,
15,Persuasion 1,0.1230795863043923,,,,
16,Persuasion 0,0.31754293763423425,,,,
16,Persuasion 0.3,0.3007289993241134,,,,
16,Persuasion 0.5,0.2747460149705548,,,,
16,Persuasion 0.7,0.20056442523526138,,,,
16,Persuasion 1,0.12395303416941003,,,,
17,Persuasion 0,0.36210125682886585,,,,
17,Persuasion 0.3,0.33558748819520823,,,,
17,Persuasion 0.5,0.3154646584625862,,,,
17,Persuasion 0.7,0.27135229072452094,,,,
17,Persuasion 1,0.1579548479475951,,,,
18,Persuasion 0,0.32106931355252616,,,,
18,Persuasion 0.3,0.2635795901211004,,,,
18,Persuasion 0.5,0.2270586246933136,,,,
18,Persuasion 0.7,0.20225018242018558,,,,
18,Persuasion 1,0.17017190188299658,,,,
19,Persuasion 0,0.32686802547134153,,,,
19,Persuasion 0.3,0.2850803821769129,,,,
19,Persuasion 0.5,0.255521977756483,,,,
19,Persuasion 0.7,0.18984596642752594,,,,
19,Persuasion 1,0.0,,,,
