value,Persuasion,Benchmark,0,4,9,24
0,Persuasion 0,0.28802804484549976,0.2893373048760152,0.2893700407282112,0.29042391206636325,0.29119455618233
0,Persuasion 0.3,0.27450615497974384,0.28416437049010707,0.2729577628509968,0.27896690852419387,0.2790265162616465
0,Persuasion 0.5,0.22188450262352932,0.22734816586075923,0.23830947586659226,0.21864016024425992,0.22285012006592886
0,Persuasion 0.7,0.14738648172148597,0.152965742556812,0.1497069320841197,0.15999944868597166,0.14845202833017923
0,Persuasion 1,0.11003324736302644,0.13002859037539627,0.1267471300273573,0.13423097511216409,0.13313200793734892
1,Persuasion 0,-0.22578765063289827,,,,
1,Persuasion 0.3,-0.23685873289216142,,,,
1,Persuasion 0.5,-0.13998584750339693,,,,
1,Persuasion 0.7,-0.1650896276565519,,,,
1,Persuasion 1,-0.44914080800555645,,,,
2,Persuasion 0,0.6947995520114078,,,,
2,Persuasion 0.3,0.6825116436023138,,,,
2,Persuasion 0.5,0.6741506640187627,,,,
2,Persuasion 0.7,0.6889788690854232,,,,
2,Persuasion 1,0.32242255306587914,,,,
3,Persuasion 0,0.1664926713777351,,,,
3,Persuasion 0.3,0.21041160629081632,,,,
3,Persuasion 0.5,0.23216371263975116,,,,
3,Persuasion 0.7,0.16899054053323628,,,,
3,Persuasion 1,0.1815944088944415,,,,
4,Persuasion 0,-0.2215369532001868,,,,
4,Persuasion 0.3,-0.20241371265126232,,,,
4,Persuasion 0.5,-0.1780634390302251,,,,
4,Persuasion 0.7,-0.11493175531991048,,,,
4,Persuasion 1,0.05805769617593544,,,,
5,Persuasion 0,-0.017391573750654376,,,,
5,Persuasion 0.3,-0.020115675529608208,,,,
5,Persuasion 0.5,-0.010436236867484489,,,,
5,Persuasion 0.7,-0.04569489748571635,,,,
5,Persuasion 1,-0.0960857454990979,,,,
6,Persuasion 0,0.8821628014445037,,,,
6,Persuasion 0.3,0.8471603981249606,,,,
6,Persuasion 0.5,0.7194874143700897,,,,
6,Persuasion 0.7,0.541206760170624,,,,
6,Persuasion 1,1.0533125543169337,,,,
7,Persuasion 0,1.1481887335987682,,,,
7,Persuasion 0.3,1.0966024031193593,,,,
7,Persuasion 0.5,0.9343759543789494,,,,
7,Persuasion 0.7,0.3169313756161108,,,,
7,Persuasion 1,0.09160250429051599,,,,
8,Persuasion 0,-0.6151622806286564,,,,
8,Persuasion 0.3,-0.561805519555537,,,,
8,Persuasion 0.5,-0.5183941832826187,,,,
8,Persuasion 0.7,-0.39811012612868,,,,
8,Persuasion 1,-0.3419604476760862,,,,
9,Persuasion 0,-0.5552989137827624,,,,
9,Persuasion 0.3,-0.61035125991425,,,,
9,Persuasion 0.5,-0.6360202203397091,,,,
9,Persuasion 0.7,-0.5887464382622178,,,,
9,Persuasion 1,-0.2063996306369072,,,,
10,Persuasion 0,0.5915606251638212,,,,
10,Persuasion 0.3,0.5440326409187041,,,,
10,Persuasion 0.5,0.4276453200499335,,,,
10,Persuasion 0.7,0.3030501747766752,,,,
10,Persuasion 1,0.05489731494295014,,,,
11,Persuasion 0,0.5993614146543063,,,,
11,Persuasion 0.3,0.591339326030038,,,,
11,Persuasion 0.5,0.5829057016013207,,,,
11,Persuasion 0.7,0.5330629567581705,,,,
11,Persuasion 1,0.45222873579718087,,,,
12,Persuasion 0,0.17488568072168703,,,,
12,Persuasion 0.3,0.11025210884657705,,,,
12,Persuasion 0.5,0.03506133743312445,,,,
12,Persuasion 0.7,-0.04389848217657782,,,,
12,Persuasion 1,-0.1449837245200972,,,,
13,Persuasion 0,1.0945836305631769,,,,
13,Persuasion 0.3,1.0433146478592918,,,,
13,Persuasion 0.5,0.9833953319659786,,,,
13,Persuasion 0.7,0.8597874001670089,,,,
13,Persuasion 1,0.4002789550089597,,,,
14,Persuasion 0,1.1417122524464793,,,,
14,Persuasion 0.3,1.1102766057902937,,,,
14,Persuasion 0.5,1.0688753773311686,,,,
14,Persuasion 0.7,1.0476629766174634,,,,
14,Persuasion 1,-0.07178110548459189,,,,
15,Persuasion 0,0.3805112371074866,,,,
15,Persuasion 0.3,0.3380315326088319,,,,
15,Persuasion 0.5,0.29619843378661875,,,,
15,Persuasion 0.7,0.2578488606503636,,,,
15,Persuasion 1,-0.003733236065426218,,,,
16,Persuasion 0,0.8680604778772844,,,,
16,Persuasion 0.3,0.796322466791724,,,,
16,Persuasion 0.5,0.6773374848679047,,,,
16,Persuasion 0.7,0.23861284483379877,,,,
16,Persuasion 1,0.8527446580260241,,,,
17,Persuasion 0,-0.6448521711217009,,,,
17,Persuasion 0.3,-0.6914635768336099,,,,
17,Persuasion 0.5,-0.569432512583557,,,,
17,Persuasion 0.7,-0.43071943230237936,,,,
17,Persuasion 1,-0.15175199683745913,,,,
18,Persuasion 0,-0.012874304023334976,,,,
18,Persuasion 0.3,0.03976964125024595,,,,
18,Persuasion 0.5,0.06365500647260859,,,,
18,Persuasion 0.7,-0.0032849677701115455,,,,
18,Persuasion 1,-0.07505126876040402,,,,
19,Persuasion 0,0.41752607826202554,,,,
19,Persuasion 0.3,0.29656946672539375,,,,
19,Persuasion 0.5,0.22575639293164962,,,,
19,Persuasion 0.7,0.1203738184160475,,,,
19,Persuasion 1,0.19636975642655657,,,,
