value,Persuasion,Benchmark,0,4,9,24
0,Persuasion 0,1.0355314089114773,1.0358111938101826,1.0361042292402973,1.0360217032027816,1.0358892461832891
0,Persuasion 0.3,1.0219494489154701,1.0213240906726933,1.0210266810386628,1.0217439241635635,1.0223026527206205
0,Persuasion 0.5,1.0058841577871382,1.0065673229494712,1.0074055831407331,1.0047162438132606,1.0065085061220451
0,Persuasion 0.7,0.9566551000755128,0.9543691740411078,0.9514491429311425,0.9565448881748106,0.9549556105034616
0,Persuasion 1,0.929510676274576,0.9186331655323123,0.9177318386374032,0.9152546943653411,0.915788685515078
1,Persuasion 0,1.0192142367588881,,,,
1,Persuasion 0.3,1.006478368035751,,,,
1,Persuasion 0.5,0.9799496707403765,,,,
1,Persuasion 0.7,0.9653043866304744,,,,
1,Persuasion 1,0.9823702626819193,,,,
2,Persuasion 0,1.169867766952373,,,,
2,Persuasion 0.3,1.1803502145559297,,,,
2,Persuasion 0.5,1.1891403438644974,,,,
2,Persuasion 0.7,1.2098696133552949,,,,
2,Persuasion 1,0.9788625232800583,,,,
3,Persuasion 0,1.1284778445018815,,,,
3,Persuasion 0.3,1.0864186235330646,,,,
3,Persuasion 0.5,1.0462579223974235,,,,
3,Persuasion 0.7,0.9437064012165317,,,,
3,Persuasion 1,1.0499508587757893,,,,
4,Persuasion 0,1.0338038673274619,,,,
4,Persuasion 0.3,1.0087748596036108,,,,
4,Persuasion 0.5,0.9785705308543154,,,,
4,Persuasion 0.7,0.9446558517780587,,,,
4,Persuasion 1,0.8456569205444057,,,,
5,Persuasion 0,0.7951737786448226,,,,
5,Persuasion 0.3,0.764708579797603,,,,
5,Persuasion 0.5,0.7461888493631349,,,,
5,Persuasion 0.7,0.7244941402018583,,,,
5,Persuasion 1,0.9342843797053035,,,,
6,Persuasion 0,0.8990156167668593,,,,
6,Persuasion 0.3,0.9018791754807742,,,,
6,Persuasion 0.5,0.8779512576877943,,,,
6,Persuasion 0.7,0.8445275862683813,,,,
6,Persuasion 1,0.9609103303520262,,,,
7,Persuasion 0,0.8315657339877754,,,,
7,Persuasion 0.3,0.8471498107640433,,,,
7,Persuasion 0.5,0.872697646054394,,,,
7,Persuasion 0.7,0.7326979997409184,,,,
7,Persuasion 1,0.7181023109210405,,,,
8,Persuasion 0,0.9071876526325873,,,,
8,Persuasion 0.3,0.9017471968175663,,,,
8,Persuasion 0.5,0.8964128962973523,,,,
8,Persuasion 0.7,0.8765933693631155,,,,
8,Persuasion 1,0.8784338477112442,,,,
9,Persuasion 0,0.908412649854137,,,,
9,Persuasion 0.3,0.9224383460472648,,,,
9,Persuasion 0.5,0.9305153827972926,,,,
9,Persuasion 0.7,0.9150333348350057,,,,
9,Persuasion 1,0.9088787912122634,,,,
10,Persuasion 0,0.9714003089442561,,,,
10,Persuasion 0.3,0.9477011111793209,,,,
10,Persuasion 0.5,0.9096828568576871,,,,
10,Persuasion 0.7,0.8657327356346841,,,,
10,Persuasion 1,0.8078359259357467,,,,
11,Persuasion 0,1.1451879975620318,,,,
11,Persuasion 0.3,1.1180130363553022,,,,
11,Persuasion 0.5,1.0967636800677731,,,,
11,Persuasion 0.7,1.0725553386677984,,,,
11,Persuasion 1,1.027366852647318,,,,
12,Persuasion 0,1.1038441655939033,,,,
12,Persuasion 0.3,1.0761477860547322,,,,
12,Persuasion 0.5,1.0244851504733532,,,,
12,Persuasion 0.7,0.9630052565131189,,,,
12,Persuasion 1,1.0979492812639717,,,,
13,Persuasion 0,0.9984385105993887,,,,
13,Persuasion 0.3,0.9740273464362454,,,,
13,Persuasion 0.5,0.9411933545516885,,,,
13,Persuasion 0.7,0.9018821452128148,,,,
13,Persuasion 1,1.115291823770951,,,,
14,Persuasion 0,1.0147633376549923,,,,
14,Persuasion 0.3,1.0029143230406568,,,,
14,Persuasion 0.5,0.9649562146115701,,,,
14,Persuasion 0.7,0.9458970499429161,,,,
14,Persuasion 1,0.8224162477350021,,,,
15,Persuasion 0,0.7812101950208139,,,,
15,Persuasion 0.3,0.7763697526070754,,,,
15,Persuasion 0.5,0.7803346327139364,,,,
15,Persuasion 0.7,0.7737945081163081,,,,
15,Persuasion 1,0.8217703260935973,,,,
16,Persuasion 0,0.8872955126930576,,,,
16,Persuasion 0.3,0.8635336026875006,,,,
16,Persuasion 0.5,0.8483415960183297,,,,
16,Persuasion 0.7,0.7810317480116591,,,,
16,Persuasion 1,0.8613577180615624,,,,
17,Persuasion 0,0.9835043285642114,,,,
17,Persuasion 0.3,0.9627332077928655,,,,
17,Persuasion 0.5,0.9120525001600096,,,,
17,Persuasion 0.7,0.8515040343434186,,,,
17,Persuasion 1,0.7679311441938853,,,,
18,Persuasion 0,1.035169463437098,,,,
18,Persuasion 0.3,0.9579864104316091,,,,
18,Persuasion 0.5,0.9400349029916666,,,,
18,Persuasion 0.7,0.9259287295567136,,,,
18,Persuasion 1,1.0264572202385853,,,,
19,Persuasion 0,0.8679259591534333,,,,
19,Persuasion 0.3,0.861505724735409,,,,
19,Persuasion 0.5,0.8487912467728239,,,,
19,Persuasion 0.7,0.837973076601936,,,,
19,Persuasion 1,0.9392312077566392,,,,
