value,Persuasion,Benchmark,0,4,9,24
0,Persuasion 0,1.2281043174222033,1.233306409664204,1.2322903583936886,1.2340750374273015,1.232770851947438
0,Persuasion 0.3,1.131663587378012,1.1420949463244658,1.135988869376975,1.136640857994475,1.1385002991421815
0,Persuasion 0.5,0.9993140394436951,1.0268799893152456,1.0316018607186992,1.0185547459378752,1.0102755826999776
0,Persuasion 0.7,0.6404616350420059,0.7010467617573651,0.6609822538755097,0.6803124411150001,0.656936501204625
0,Persuasion 1,1.2792762512551628,1.3484073782847426,1.3300845856346954,1.3368432654107867,1.335852222649067
1,Persuasion 0,1.3152835905612335,1.3200228237875482,1.3236171524194629,1.3198080212849865,1.3189050697112494
1,Persuasion 0.3,1.2506316528884323,1.2638952693322465,1.2626352268863998,1.2564949777315624,1.259299915605003
1,Persuasion 0.5,1.2228143824365545,1.203126299731369,1.2104728035038363,1.224189812892641,1.2129591359907272
1,Persuasion 0.7,1.085154903436304,1.12751291841643,1.1036618859983305,1.1281254760755501,1.054769049757058
1,Persuasion 1,1.7255914704863342,1.7828081640354434,1.7504833883524038,1.7361129293094926,1.7327562832790855
2,Persuasion 0,2.9551426623352963,2.9553742707919572,2.9550632505135703,2.9554874203270876,2.9554459573704897
2,Persuasion 0.3,2.9487809248539336,2.9503800937346467,2.9502120742413793,2.9499755460591826,2.949775436825782
2,Persuasion 0.5,2.923485960191371,2.9296766108556733,2.9326545539631397,2.9180522214325912,2.916120136672292
2,Persuasion 0.7,2.80483918828073,2.9061601953642775,2.8861159320583325,2.8597422180831624,2.839451284362977
2,Persuasion 1,0.0397175946684791,0.8857100482390924,1.3040360780081062,1.8494239970795756,1.1252588059969668
3,Persuasion 0,1.558108700000193,1.563016770696737,1.5647339171421124,1.5636210856933153,1.5650296259126601
3,Persuasion 0.3,1.4317314841044522,1.438194726212683,1.4355950685317183,1.4423405363700461,1.4357020491739878
3,Persuasion 0.5,1.2973270283218161,1.3428230241319243,1.3462690187348163,1.342620737058267,1.3520546163167002
3,Persuasion 0.7,0.9885276723033849,1.0754648753326181,1.085914280854111,1.0652649862639523,1.0950318320833439
3,Persuasion 1,0.03591819111049714,1.0808417036449842,1.1375834157698939,0.9407381954690548,0.9519177382152295
4,Persuasion 0,1.5034224095369542,1.5060990423553968,1.507603554057023,1.5075134996289106,1.5064245859005416
4,Persuasion 0.3,1.4488098270385277,1.459175368136972,1.458311069896325,1.4583800218415734,1.4537463927117633
4,Persuasion 0.5,1.3957684516161126,1.4145408528001897,1.4081663554532673,1.4213917383818255,1.403255804535344
4,Persuasion 0.7,1.3171991233671108,1.3875090392515368,1.3765635038423134,1.369315693958266,1.3416955019845829
4,Persuasion 1,0.41518829747641406,2.2471401167286915,2.0815713425040507,1.9430647822241012,1.9441077972823406
5,Persuasion 0,0.8206487229309652,0.8251088138709511,0.8243290645478842,0.8243729553300906,0.823761436019049
5,Persuasion 0.3,0.7356471741432383,0.7501343030209281,0.7391144828018694,0.7447101171839565,0.7465502171620897
5,Persuasion 0.5,0.6088834273783954,0.6480713491301318,0.6207431753846637,0.6228733554103374,0.6191357849313354
5,Persuasion 0.7,0.47472146980985475,0.5047232570083849,0.4869622195655832,0.504575358495273,0.4834819685417532
5,Persuasion 1,0.7437962891537684,1.1164646292813107,0.9390762305627761,0.9315313046603696,0.9135731623818342
6,Persuasion 0,1.0645103291376736,1.0649780646021982,1.0633165164626235,1.060275460533979,1.058665942848719
6,Persuasion 0.3,1.0717018968225234,1.0853573440996316,1.0673180765871886,1.0768229108065708,1.0753275115493088
6,Persuasion 0.5,0.97998715107494,1.005919565841726,1.0121698584622834,0.9946139609699927,0.9918547276598528
6,Persuasion 0.7,0.8117453955271766,0.8915823078934606,0.835096933520334,0.8480372078572662,0.8305453262895275
6,Persuasion 1,1.2560163274708716,1.459084357062087,1.3103520340547297,1.2877071732074703,1.2611791648697634
