value,Persuasion,Benchmark,0,4,9,24
0,Persuasion 0,0.5729142857142857,0.5796,0.5788571428571428,0.58,0.5798857142857142
0,Persuasion 0.3,0.5517142857142858,0.5631428571428572,0.5629142857142858,0.5597142857142858,0.5590857142857143
0,Persuasion 0.5,0.5365714285714285,0.5641142857142857,0.5574285714285715,0.5548,0.5501142857142857
0,Persuasion 0.7,0.47348571428571434,0.5163428571428572,0.5039428571428571,0.5026857142857143,0.4930285714285714
0,Persuasion 1,0.7123428571428572,0.8572571428571429,0.8486285714285714,0.8564571428571428,0.8538857142857144
1,Persuasion 0,0.6645714285714286,0.6686285714285713,0.6688571428571429,0.6690285714285715,0.6677714285714287
1,Persuasion 0.3,0.6644571428571429,0.6722857142857143,0.6713714285714286,0.6710285714285714,0.6689714285714287
1,Persuasion 0.5,0.6699999999999999,0.6845142857142856,0.6852571428571427,0.6837142857142857,0.6799428571428571
1,Persuasion 0.7,0.670342857142857,0.7068571428571427,0.7040571428571428,0.7062285714285714,0.6857142857142858
1,Persuasion 1,0.9996,0.9999428571428572,0.9999428571428572,0.9996,0.9996
2,Persuasion 0,0.8162285714285713,0.8182857142857142,0.8178285714285715,0.818342857142857,0.8180571428571428
2,Persuasion 0.3,0.8124000000000001,0.8166857142857143,0.8149142857142858,0.8168571428571428,0.8150285714285714
2,Persuasion 0.5,0.8119999999999999,0.8198285714285712,0.8174285714285713,0.8174857142857141,0.8168571428571428
2,Persuasion 0.7,0.8174285714285713,0.8345142857142859,0.8293142857142857,0.8277142857142858,0.8264
2,Persuasion 1,0.018857142857142857,0.8241142857142857,0.8220571428571428,0.8722857142857143,0.8033142857142858
3,Persuasion 0,0.6442857142857144,0.6502857142857141,0.6502285714285714,0.6487999999999999,0.6512571428571428
3,Persuasion 0.3,0.6244571428571428,0.6355428571428572,0.6345142857142857,0.6332571428571429,0.6315999999999999
3,Persuasion 0.5,0.6045142857142857,0.6257714285714286,0.6261142857142856,0.6235999999999999,0.6214857142857143
3,Persuasion 0.7,0.5785142857142856,0.6156571428571428,0.6155428571428572,0.6110857142857142,0.6063428571428572
3,Persuasion 1,0.0108,0.78,0.8457142857142858,0.7122285714285713,0.7437142857142858
4,Persuasion 0,0.6486857142857143,0.6529142857142857,0.6531428571428571,0.6528000000000002,0.6527999999999999
4,Persuasion 0.3,0.6381714285714286,0.6470285714285714,0.6464,0.6456571428571429,0.6448
4,Persuasion 0.5,0.6296571428571428,0.6437714285714287,0.6446285714285714,0.6474285714285715,0.6402285714285716
4,Persuasion 0.7,0.6237142857142858,0.6469714285714285,0.6464,0.6449714285714285,0.6432
4,Persuasion 1,0.5032571428571428,1.0,0.9681714285714286,0.9377714285714287,0.9408571428571428
5,Persuasion 0,0.5476571428571428,0.5544,0.5545714285714286,0.5537142857142857,0.5542857142857143
5,Persuasion 0.3,0.5389714285714285,0.5538285714285714,0.5497142857142857,0.548,0.5499428571428571
5,Persuasion 0.5,0.5173142857142858,0.5466857142857142,0.534,0.5397714285714286,0.5421714285714285
5,Persuasion 0.7,0.5130857142857143,0.5476571428571428,0.5424571428571429,0.5448571428571428,0.5346857142857142
5,Persuasion 1,0.6830285714285714,0.9968571428571428,0.9494285714285715,0.9323428571428571,0.9308571428571429
6,Persuasion 0,0.5864571428571428,0.5932571428571428,0.5922857142857142,0.5939428571428571,0.5925714285714285
6,Persuasion 0.3,0.5636,0.5776571428571429,0.573657142857143,0.5759428571428571,0.5722857142857143
6,Persuasion 0.5,0.5533714285714286,0.5749714285714285,0.5716,0.5716571428571429,0.5677714285714286
6,Persuasion 0.7,0.5238285714285713,0.5791428571428571,0.5669142857142858,0.5581142857142858,0.5486285714285714
6,Persuasion 1,0.9725714285714285,0.9995428571428573,0.9868,0.9881142857142856,0.9832571428571428
7,Persuasion 0,0.7236,0.7285714285714285,0.7279428571428571,0.7275428571428572,0.7271428571428571
7,Persuasion 0.3,0.732,0.7401142857142856,0.738742857142857,0.7365714285714287,0.7366857142857144
7,Persuasion 0.5,0.7344,0.7489714285714285,0.7484571428571429,0.7462857142857144,0.7451428571428572
7,Persuasion 0.7,0.5651428571428572,0.6342857142857142,0.6133142857142857,0.6084571428571429,0.5998285714285714
7,Persuasion 1,0.04731428571428572,0.9234857142857142,0.8106857142857143,0.7104571428571429,0.6666857142857143
8,Persuasion 0,0.6140571428571429,0.6184571428571429,0.6189142857142858,0.6189142857142858,0.6175428571428571
8,Persuasion 0.3,0.5974285714285715,0.6094857142857143,0.6086285714285714,0.6072000000000001,0.6053714285714286
8,Persuasion 0.5,0.5678285714285713,0.5882285714285714,0.5886285714285714,0.5833142857142857,0.58
8,Persuasion 0.7,0.5095428571428572,0.5569142857142858,0.5464571428571429,0.5459999999999999,0.5285714285714286
