value,Persuasion,Benchmark,0,4,9,24
0,Persuasion 0,0.42708571428571424,0.42040000000000005,0.42114285714285715,0.42,0.4201142857142858
0,Persuasion 0.3,0.44828571428571423,0.4368571428571429,0.43708571428571436,0.44028571428571417,0.4409142857142857
0,Persuasion 0.5,0.46342857142857147,0.43588571428571427,0.44257142857142856,0.44520000000000004,0.44988571428571433
0,Persuasion 0.7,0.5265142857142856,0.48365714285714284,0.49605714285714286,0.4973142857142857,0.5069714285714285
0,Persuasion 1,0.28765714285714283,0.14274285714285712,0.15137142857142857,0.14354285714285714,0.14611428571428572
1,Persuasion 0,0.33542857142857146,0.3313714285714286,0.33114285714285707,0.3309714285714286,0.33222857142857143
1,Persuasion 0.3,0.3355428571428572,0.3277142857142857,0.32862857142857144,0.32897142857142864,0.3310285714285714
1,Persuasion 0.5,0.33,0.31548571428571426,0.31474285714285716,0.3162857142857143,0.3200571428571429
1,Persuasion 0.7,0.32965714285714287,0.29314285714285715,0.2959428571428571,0.29377142857142857,0.3142857142857143
1,Persuasion 1,0.00039999999999999996,5.714285714285714e-05,5.714285714285714e-05,0.00039999999999999996,0.00039999999999999996
2,Persuasion 0,0.18377142857142856,0.18171428571428572,0.1821714285714286,0.18165714285714285,0.18194285714285716
2,Persuasion 0.3,0.1876,0.1833142857142857,0.1850857142857143,0.18314285714285716,0.1849714285714286
2,Persuasion 0.5,0.188,0.18017142857142857,0.18257142857142855,0.1825142857142857,0.18314285714285714
2,Persuasion 0.7,0.18257142857142858,0.16548571428571426,0.1706857142857143,0.1722857142857143,0.17359999999999998
2,Persuasion 1,0.9811428571428571,0.17588571428571428,0.17794285714285715,0.1277142857142857,0.1966857142857143
3,Persuasion 0,0.35571428571428565,0.3497142857142857,0.34977142857142857,0.3512,0.3487428571428572
3,Persuasion 0.3,0.37554285714285723,0.36445714285714287,0.36548571428571436,0.3667428571428572,0.3684
3,Persuasion 0.5,0.3954857142857143,0.3742285714285714,0.3738857142857143,0.3764,0.3785142857142857
3,Persuasion 0.7,0.4214857142857143,0.38434285714285715,0.3844571428571429,0.3889142857142857,0.39365714285714287
3,Persuasion 1,0.9892000000000001,0.22,0.15428571428571428,0.2877714285714286,0.2562857142857143
4,Persuasion 0,0.3513142857142857,0.34708571428571433,0.34685714285714286,0.3472,0.3472
4,Persuasion 0.3,0.36182857142857144,0.3529714285714286,0.3536,0.3543428571428572,0.35520000000000007
4,Persuasion 0.5,0.37034285714285714,0.3562285714285714,0.35537142857142856,0.3525714285714286,0.3597714285714286
4,Persuasion 0.7,0.3762857142857143,0.35302857142857147,0.35359999999999997,0.3550285714285714,0.3568
4,Persuasion 1,0.4967428571428571,0.0,0.03182857142857143,0.06222857142857143,0.05914285714285715
5,Persuasion 0,0.4523428571428571,0.44559999999999994,0.44542857142857134,0.44628571428571423,0.44571428571428573
5,Persuasion 0.3,0.46102857142857145,0.44617142857142866,0.4502857142857143,0.45199999999999996,0.4500571428571429
5,Persuasion 0.5,0.4826857142857143,0.4533142857142857,0.46599999999999997,0.4602285714285714,0.4578285714285715
5,Persuasion 0.7,0.48691428571428574,0.4523428571428571,0.4575428571428571,0.4551428571428572,0.46531428571428574
5,Persuasion 1,0.3169714285714286,0.003142857142857143,0.05057142857142857,0.06765714285714286,0.06914285714285714
6,Persuasion 0,0.41354285714285716,0.40674285714285713,0.40771428571428575,0.4060571428571429,0.4074285714285714
6,Persuasion 0.3,0.43639999999999995,0.42234285714285713,0.42634285714285713,0.42405714285714274,0.42771428571428566
6,Persuasion 0.5,0.44662857142857143,0.4250285714285715,0.4284,0.4283428571428571,0.4322285714285715
6,Persuasion 0.7,0.47617142857142863,0.4208571428571429,0.4330857142857143,0.44188571428571427,0.45137142857142865
6,Persuasion 1,0.027428571428571427,0.00045714285714285713,0.013200000000000003,0.011885714285714286,0.016742857142857143
7,Persuasion 0,0.27640000000000003,0.2714285714285714,0.27205714285714283,0.27245714285714284,0.27285714285714285
7,Persuasion 0.3,0.26799999999999996,0.2598857142857143,0.26125714285714285,0.26342857142857146,0.2633142857142857
7,Persuasion 0.5,0.2656,0.25102857142857143,0.25154285714285707,0.2537142857142857,0.25485714285714284
7,Persuasion 0.7,0.43485714285714283,0.3657142857142857,0.3866857142857143,0.39154285714285714,0.40017142857142857
7,Persuasion 1,0.9526857142857142,0.07651428571428572,0.18931428571428568,0.2895428571428571,0.33331428571428573
8,Persuasion 0,0.3859428571428572,0.38154285714285713,0.38108571428571425,0.38108571428571425,0.3824571428571429
8,Persuasion 0.3,0.4025714285714286,0.39051428571428576,0.39137142857142854,0.39280000000000004,0.39462857142857144
8,Persuasion 0.5,0.43217142857142865,0.41177142857142857,0.4113714285714286,0.41668571428571427,0.42
8,Persuasion 0.7,0.49045714285714276,0.44308571428571425,0.4535428571428572,0.454,0.4714285714285714
8,Persuasion 1,0.9841142857142857,0.08285714285714285,0.3194857142857143,0.2996571428571428,0.3741714285714285
9,Persuasion 0,0.26257142857142857,0.2586285714285715,0.25908571428571425,0.25874285714285716,0.25880000000000003
9,Persuasion 0.3,0.2784,0.2736,0.2757142857142857,0.2718857142857143,0.2748571428571428
9,Persuasion 0.5,0.28645714285714285,0.2737714285714286,0.27691428571428567,0.27725714285714287,0.27959999999999996
9,Persuasion 0.7,0.29028571428571426,0.2669714285714286,0.2682857142857143,0.27205714285714283,0.2770285714285714
9,Persuasion 1,0.2016571428571428,0.11211428571428572,0.12331428571428571,0.11228571428571428,0.1544
10,Persuasion 0,0.34262857142857145,0.33788571428571423,0.3384571428571428,0.33737142857142854,0.33771428571428574
10,Persuasion 0.3,0.36708571428571424,0.35148571428571423,0.3582285714285714,0.35719999999999985,0.3582285714285714
10,Persuasion 0.5,0.41388571428571413,0.36628571428571427,0.3907428571428571,0.39291428571428566,0.37531428571428577
10,Persuasion 0.7,0.4498285714285714,0.40148571428571433,0.42274285714285714,0.42462857142857147,0.42331428571428564
10,Persuasion 1,0.602057142857143,0.0989142857142857,0.13440000000000002,0.4465142857142858,0.45377142857142866
11,Persuasion 0,0.27817142857142857,0.2693714285714286,0.272,0.26925714285714286,0.2702285714285714
