value,Persuasion,Benchmark,0,4,9,24
0,Persuasion 0,1.9404089595983331,1.9460875356183596,1.9454127973314181,1.947079884787425,1.9456403737176255
0,Persuasion 0.3,1.841954959967286,1.8517627660676823,1.846498883876892,1.8465739649202435,1.848846541175365
0,Persuasion 0.5,1.718167399046742,1.7490364077624156,1.7504631539839395,1.7382627919023483,1.7314514968070993
0,Persuasion 0.7,1.387853922212247,1.4411675714141448,1.4043865610046542,1.4257595386210844,1.4030543844520245
0,Persuasion 1,1.9666925164843767,2.054572839938272,2.0324682182643823,2.037856770249888,2.036244608326659
1,Persuasion 0,1.7925541416246795,1.79762658756895,1.8018159021390534,1.7971949130362792,1.7966255097906232
1,Persuasion 0.3,1.739639528710004,1.7509973612403456,1.750939390306355,1.7414915337332506,1.7460368461960383
1,Persuasion 0.5,1.720819231526222,1.692852811117626,1.705350474690975,1.7166120200557122,1.7071333738730754
1,Persuasion 0.7,1.6432396595252792,1.6554827428071834,1.6375390679302915,1.6538431619314657,1.611636472202342
1,Persuasion 1,2.266157034510161,2.334753912309946,2.295379247803033,2.2787047539513634,2.2746966020774266
2,Persuasion 0,3.5449099808557647,3.544754780254045,3.544397579410811,3.544614732252174,3.5446392710608894
2,Persuasion 0.3,3.564429422118865,3.5638736780390983,3.565759482281794,3.5636586638415126,3.5646336503613814
2,Persuasion 0.5,3.56840357461456,3.568149691146453,3.5795546063214605,3.549918432676655,3.549054364491131
2,Persuasion 0.7,3.5175095911038694,3.610873106547427,3.5990912469466427,3.5738374339413745,3.5536757082127286
2,Persuasion 1,0.9851712648041091,1.565536980880886,1.8749226678587196,2.550370562066625,1.6952090941011073
3,Persuasion 0,2.410546013386069,2.4167011953732804,2.419480203513008,2.417614787181137,2.420134537920989
3,Persuasion 0.3,2.246032807674883,2.2522390743945784,2.2502482671758517,2.2590271631939647,2.2509924312081555
3,Persuasion 0.5,2.071056386635254,2.1189513582894315,2.128665677826533,2.1222309830364963,2.1372560729260424
3,Persuasion 0.7,1.6737208575433364,1.7818000529721052,1.7966848339127517,1.7705756576804372,1.8088460546234693
3,Persuasion 1,1.0603403140878143,1.9163982252947167,1.9635609423657265,1.7415849577654863,1.7696521817122766
4,Persuasion 0,2.126142389858116,2.1296857485535887,2.131382962492799,2.131539407579773,2.130003526495095
4,Persuasion 0.3,2.0576846913745808,2.0704506487653473,2.0711458651591594,2.071180449789545,2.0641550244130604
4,Persuasion 0.5,1.9897708565476915,2.0139585549340704,2.0077144327035668,2.0196772051727354,2.000349187539006
4,Persuasion 0.7,1.9083083824595415,1.9938503989736662,1.9825633537473561,1.9723163746124612,1.9388351966749622
4,Persuasion 1,1.1446104869421014,3.278166902144393,3.0920080247553154,2.9124373075559937,2.916243514322234
5,Persuasion 0,1.2253406173077177,1.228264264484011,1.2272521383697381,1.2285643423587047,1.226986224318416
5,Persuasion 0.3,1.1316336123855177,1.144698419165855,1.133970184747964,1.1402221748204326,1.1400293598578741
5,Persuasion 0.5,1.026713024186109,1.0435108235714246,1.0341277497230932,1.0294523439145415,1.0154573165531817
5,Persuasion 0.7,0.917303422380675,0.934846298864728,0.9203301504990217,0.9345906216923189,0.9204717598230548
5,Persuasion 1,1.3516572095928812,1.5146926752859053,1.4179454008843082,1.4158060824139946,1.398092592552608
6,Persuasion 0,1.5973511425688744,1.5974360619598635,1.5950586531421198,1.5933795395356227,1.5903394806710307
6,Persuasion 0.3,1.6236253996762458,1.6381650641071668,1.6191431507062504,1.6293489202883218,1.6270151843322367
6,Persuasion 0.5,1.5360822773094718,1.5624373249836239,1.5702563114641006,1.5543735653795314,1.548561190730368
6,Persuasion 0.7,1.3600010652191632,1.4490915452313002,1.3849054593551604,1.4040402146227287,1.3804275430574229
6,Persuasion 1,1.907184715021081,2.077637103290452,1.9384406368399143,1.9198366351509757,1.891992726039082
7,Persuasion 0,1.9718152952806354,1.9729361442932014,1.9731929017009835,1.972470563429121,1.971767118288754
7,Persuasion 0.3,2.0200153994622276,2.0239568144301656,2.0191168010210165,2.016943242720456,2.02035727271866
7,Persuasion 0.5,2.029576759283103,2.0806390170143123,2.104181762603669,2.1025896283639254,2.1028844164044265
7,Persuasion 0.7,1.1492757267229174,1.4075324229470694,1.288742746190505,1.3430922089405422,1.259573639645878
7,Persuasion 1,0.7385959863315801,2.632499952920818,1.5205674303708225,1.3339192662320942,1.2438548717167361
8,Persuasion 0,2.243929299546548,2.243503159762165,2.2436313581385265,2.243720338156076,2.2444766829681146
8,Persuasion 0.3,2.191576700309104,2.2190008523533695,2.198863322665047,2.1977847678965627,2.19655520852878
8,Persuasion 0.5,2.0956756092635445,2.1231751451595042,2.101936629496198,2.099052040621947,2.106962591167578
8,Persuasion 0.7,1.8048092086115228,1.8421676003548513,1.834543116934398,1.8597833826770482,1.853506443927514
8,Persuasion 1,0.8823884532622777,2.5019873108942083,1.584833946804601,1.7333302482056925,1.532434444245412
