value,Persuasion,Benchmark,0,4,9,24
0,Persuasion 0,0.6045420201997479,0.6055812011060163,0.6053467298851082,0.6051966093432704,0.6055625456680162
0,Persuasion 0.3,0.5424083738352202,0.5431405361746854,0.5446636297957957,0.5428242631128177,0.5437702112960393
0,Persuasion 0.5,0.5073754354640313,0.511155348029712,0.5072559359582309,0.5141147827598588,0.5113357503534159
0,Persuasion 0.7,0.3915891416130283,0.39707015672246876,0.3940993348310623,0.39443578210767904,0.39414193137620557
0,Persuasion 1,0.9477756588493861,0.9459762925894146,0.9477756588493861,0.9440343568933671,0.9440343568933671
1,Persuasion 0,0.7675289161393312,0.7685804114942538,0.7678413218670262,0.7679842978690374,0.7686742558837624
1,Persuasion 0.3,0.7373996828602725,0.7374253706917745,0.7375687571967608,0.736833289970356,0.7373285645837055
1,Persuasion 0.5,0.6888240759100733,0.6867495223179558,0.6896327667953189,0.6893760630612579,0.6882308391907009
1,Persuasion 0.7,0.5749504897653754,0.5957297411295986,0.5960920791546136,0.5946412697898406,0.5841268054067931
1,Persuasion 1,0.6014766285126648,0.6035864350404674,0.6035864350404674,0.6015590035991197,0.6015590035991197
2,Persuasion 0,0.8919486609626717,0.8916464282650213,0.8916641219674266,0.8915281322028096,0.8916641219674266
2,Persuasion 0.3,0.8679708514776162,0.867744833969139,0.8679708514776162,0.867744833969139,0.868153989654885
2,Persuasion 0.5,0.8532746233908658,0.8530105095439585,0.8534469854529068,0.8525371696388165,0.8528530000752026
2,Persuasion 0.7,0.8311467615557819,0.8452998340966399,0.8430433881784466,0.8397917014392551,0.8360747603690174
2,Persuasion 1,0.725940590240201,0.6707338725235292,0.5846796099620871,0.5674309460095792,0.6260712330351509
3,Persuasion 0,0.6981798150814674,0.6990545245136615,0.6999415035375343,0.6986643038854994,0.6992764357975607
3,Persuasion 0.3,0.600586970687515,0.6000105527260285,0.59883802097851,0.6004013545415298,0.5989687251115374
3,Persuasion 0.5,0.5277454728107571,0.5256490428566934,0.5266655775175287,0.5263699773332127,0.5280938116392063
3,Persuasion 0.7,0.4232108714432056,0.4327251106031051,0.42743925331084864,0.4295577440820048,0.43022453373243064
3,Persuasion 1,0.8342106383657324,0.8371595575484676,0.8339129675442305,0.8299971313777168,0.8338105694229635
