network_type,tgt_agt_centr,Persuasion,Value
albert-barabasi,0,0.0,[1.15608535]
albert-barabasi,0,0.1,[1.13005247]
albert-barabasi,0,0.2,[1.09852528]
albert-barabasi,0,0.30000000000000004,[1.06828276]
albert-barabasi,0,0.4,[1.01101687]
albert-barabasi,0,0.5,[0.94680315]
albert-barabasi,0,0.6000000000000001,[0.8243985]
albert-barabasi,0,0.7000000000000001,[0.62737095]
albert-barabasi,0,0.8,[0.4779408]
albert-barabasi,0,0.9,[0.33604339]
albert-barabasi,0,1.0,[0.33681435]
albert-barabasi,4,0.0,[1.15608535]
albert-barabasi,4,0.1,[1.1303511]
albert-barabasi,4,0.2,[1.09833557]
albert-barabasi,4,0.30000000000000004,[1.06651002]
albert-barabasi,4,0.4,[1.01193748]
albert-barabasi,4,0.5,[0.96354016]
albert-barabasi,4,0.6000000000000001,[0.81334094]
albert-barabasi,4,0.7000000000000001,[0.61131771]
albert-barabasi,4,0.8,[0.44163932]
albert-barabasi,4,0.9,[0.34769565]
albert-barabasi,4,1.0,[0.62690927]
albert-barabasi,9,0.0,[1.15608535]
albert-barabasi,9,0.1,[1.13065914]
albert-barabasi,9,0.2,[1.0995062]
albert-barabasi,9,0.30000000000000004,[1.06622999]
albert-barabasi,9,0.4,[1.00849138]
albert-barabasi,9,0.5,[0.94994883]
albert-barabasi,9,0.6000000000000001,[0.79255641]
albert-barabasi,9,0.7000000000000001,[0.62454984]
albert-barabasi,9,0.8,[0.47135452]
albert-barabasi,9,0.9,[0.34766125]
albert-barabasi,9,1.0,[0.53188581]
albert-barabasi,24,0.0,[1.15608535]
albert-barabasi,24,0.1,[1.13019483]
albert-barabasi,24,0.2,[1.10122977]
albert-barabasi,24,0.30000000000000004,[1.0698574]
albert-barabasi,24,0.4,[1.0118156]
albert-barabasi,24,0.5,[0.94323953]
albert-barabasi,24,0.6000000000000001,[0.80779103]
albert-barabasi,24,0.7000000000000001,[0.61481165]
albert-barabasi,24,0.8,[0.45434426]
albert-barabasi,24,0.9,[0.34179681]
albert-barabasi,24,1.0,[0.34502406]
random-graph,0,0.0,[1.15608535]
random-graph,0,0.1,[1.12892867]
random-graph,0,0.2,[1.09118658]
random-graph,0,0.30000000000000004,[1.06228854]
random-graph,0,0.4,[0.97607384]
random-graph,0,0.5,[0.91645014]
random-graph,0,0.6000000000000001,[0.76890078]
random-graph,0,0.7000000000000001,[0.63843857]
random-graph,0,0.8,[0.43121731]
random-graph,0,0.9,[0.30883394]
random-graph,0,1.0,[0.21746855]
random-graph,4,0.0,[1.15608535]
random-graph,4,0.1,[1.12837992]
random-graph,4,0.2,[1.0905633]
random-graph,4,0.30000000000000004,[1.0621184]
random-graph,4,0.4,[0.98717778]
random-graph,4,0.5,[0.9184709]
random-graph,4,0.6000000000000001,[0.78024473]
random-graph,4,0.7000000000000001,[0.6088781]
random-graph,4,0.8,[0.42676343]
random-graph,4,0.9,[0.31633123]
random-graph,4,1.0,[0.27570202]
random-graph,9,0.0,[1.15608535]
random-graph,9,0.1,[1.12829426]
random-graph,9,0.2,[1.09491653]
random-graph,9,0.30000000000000004,[1.06278682]
random-graph,9,0.4,[0.97622741]
random-graph,9,0.5,[0.9218653]
random-graph,9,0.6000000000000001,[0.75981721]
random-graph,9,0.7000000000000001,[0.58455748]
random-graph,9,0.8,[0.42809229]
random-graph,9,0.9,[0.3042498]
random-graph,9,1.0,[0.18934692]
random-graph,24,0.0,[1.15608535]
random-graph,24,0.1,[1.12849968]
random-graph,24,0.2,[1.09676148]
random-graph,24,0.30000000000000004,[1.06670824]
random-graph,24,0.4,[0.97987922]
random-graph,24,0.5,[0.9177864]
random-graph,24,0.6000000000000001,[0.78783229]
random-graph,24,0.7000000000000001,[0.6080258]
random-graph,24,0.8,[0.4320444]
random-graph,24,0.9,[0.30779453]
random-graph,24,1.0,[0.15112253]
watts-strogatz,0,0.0,[1.15608535]
watts-strogatz,0,0.1,[1.12638644]
watts-strogatz,0,0.2,[1.09744433]
watts-strogatz,0,0.30000000000000004,[1.05892854]
watts-strogatz,0,0.4,[1.0149159]
watts-strogatz,0,0.5,[0.95014506]
watts-strogatz,0,0.6000000000000001,[0.75788097]
watts-strogatz,0,0.7000000000000001,[0.59941797]
watts-strogatz,0,0.8,[0.39596942]
watts-strogatz,0,0.9,[0.31745073]
watts-strogatz,0,1.0,[0.29965578]
watts-strogatz,4,0.0,[1.15608535]
watts-strogatz,4,0.1,[1.12641802]
watts-strogatz,4,0.2,[1.0974688]
watts-strogatz,4,0.30000000000000004,[1.05895702]
watts-strogatz,4,0.4,[1.00802924]
watts-strogatz,4,0.5,[0.95137951]
watts-strogatz,4,0.6000000000000001,[0.7438574]
watts-strogatz,4,0.7000000000000001,[0.6057508]
watts-strogatz,4,0.8,[0.40718005]
watts-strogatz,4,0.9,[0.3217192]
watts-strogatz,4,1.0,[0.13872373]
watts-strogatz,9,0.0,[1.15608535]
watts-strogatz,9,0.1,[1.12554099]
watts-strogatz,9,0.2,[1.09972785]
watts-strogatz,9,0.30000000000000004,[1.06067165]
watts-strogatz,9,0.4,[1.01364247]
watts-strogatz,9,0.5,[0.95507919]
watts-strogatz,9,0.6000000000000001,[0.76865713]
watts-strogatz,9,0.7000000000000001,[0.61078014]
watts-strogatz,9,0.8,[0.4073237]
watts-strogatz,9,0.9,[0.31582348]
watts-strogatz,9,1.0,[0.17978188]
watts-strogatz,24,0.0,[1.15608535]
watts-strogatz,24,0.1,[1.12436626]
watts-strogatz,24,0.2,[1.09815083]
watts-strogatz,24,0.30000000000000004,[1.05958055]
watts-strogatz,24,0.4,[1.01261421]
watts-strogatz,24,0.5,[0.9495424]
watts-strogatz,24,0.6000000000000001,[0.7437229]
watts-strogatz,24,0.7000000000000001,[0.62851774]
watts-strogatz,24,0.8,[0.41541014]
watts-strogatz,24,0.9,[0.31868461]
watts-strogatz,24,1.0,[0.12212372]
regular-graph,0,0.0,[1.15608535]
regular-graph,0,0.1,[1.1247577]
regular-graph,0,0.2,[1.09606293]
regular-graph,0,0.30000000000000004,[1.05671047]
