network_type,tgt_agt_centr,Persuasion,Value
albert-barabasi,0,0.0,[-0.39874728]
albert-barabasi,0,0.1,[-0.37671406]
albert-barabasi,0,0.2,[-0.36123206]
albert-barabasi,0,0.30000000000000004,[-0.34049531]
albert-barabasi,0,0.4,[-0.31757209]
albert-barabasi,0,0.5,[-0.28483553]
albert-barabasi,0,0.6000000000000001,[-0.24230476]
albert-barabasi,0,0.7000000000000001,[-0.19742727]
albert-barabasi,0,0.8,[-0.16740363]
albert-barabasi,0,0.9,[-0.15847959]
albert-barabasi,0,1.0,[-0.15450513]
albert-barabasi,4,0.0,[-0.39874728]
albert-barabasi,4,0.1,[-0.37724875]
albert-barabasi,4,0.2,[-0.36171786]
albert-barabasi,4,0.30000000000000004,[-0.3455135]
albert-barabasi,4,0.4,[-0.31399743]
albert-barabasi,4,0.5,[-0.30080572]
albert-barabasi,4,0.6000000000000001,[-0.25166654]
albert-barabasi,4,0.7000000000000001,[-0.2025794]
albert-barabasi,4,0.8,[-0.16745363]
albert-barabasi,4,0.9,[-0.16497547]
albert-barabasi,4,1.0,[-0.24854028]
albert-barabasi,9,0.0,[-0.39874728]
albert-barabasi,9,0.1,[-0.37792771]
albert-barabasi,9,0.2,[-0.3602279]
albert-barabasi,9,0.30000000000000004,[-0.34417615]
albert-barabasi,9,0.4,[-0.314524]
albert-barabasi,9,0.5,[-0.28400696]
albert-barabasi,9,0.6000000000000001,[-0.24013285]
albert-barabasi,9,0.7000000000000001,[-0.20179684]
albert-barabasi,9,0.8,[-0.17015444]
albert-barabasi,9,0.9,[-0.16198819]
albert-barabasi,9,1.0,[-0.23940896]
albert-barabasi,24,0.0,[-0.39874728]
albert-barabasi,24,0.1,[-0.37586552]
albert-barabasi,24,0.2,[-0.35941848]
albert-barabasi,24,0.30000000000000004,[-0.34527972]
albert-barabasi,24,0.4,[-0.3124351]
albert-barabasi,24,0.5,[-0.28771962]
albert-barabasi,24,0.6000000000000001,[-0.24283983]
albert-barabasi,24,0.7000000000000001,[-0.20119585]
albert-barabasi,24,0.8,[-0.16977203]
albert-barabasi,24,0.9,[-0.16318114]
albert-barabasi,24,1.0,[-0.14954138]
random-graph,0,0.0,[-0.39874728]
random-graph,0,0.1,[-0.38149781]
random-graph,0,0.2,[-0.37168372]
random-graph,0,0.30000000000000004,[-0.33023178]
random-graph,0,0.4,[-0.29723343]
random-graph,0,0.5,[-0.28340786]
random-graph,0,0.6000000000000001,[-0.21716269]
random-graph,0,0.7000000000000001,[-0.18210839]
random-graph,0,0.8,[-0.15935411]
random-graph,0,0.9,[-0.13575529]
random-graph,0,1.0,[-0.13555863]
random-graph,4,0.0,[-0.39874728]
random-graph,4,0.1,[-0.38171444]
random-graph,4,0.2,[-0.37223627]
random-graph,4,0.30000000000000004,[-0.33020699]
random-graph,4,0.4,[-0.28765435]
random-graph,4,0.5,[-0.28197057]
random-graph,4,0.6000000000000001,[-0.21667184]
random-graph,4,0.7000000000000001,[-0.17386984]
random-graph,4,0.8,[-0.15630877]
random-graph,4,0.9,[-0.12910346]
random-graph,4,1.0,[-0.13538559]
random-graph,9,0.0,[-0.39874728]
random-graph,9,0.1,[-0.3814904]
random-graph,9,0.2,[-0.36903796]
random-graph,9,0.30000000000000004,[-0.33310645]
random-graph,9,0.4,[-0.295992]
random-graph,9,0.5,[-0.29342217]
random-graph,9,0.6000000000000001,[-0.22342392]
random-graph,9,0.7000000000000001,[-0.18704693]
random-graph,9,0.8,[-0.15760303]
random-graph,9,0.9,[-0.13615857]
