network_type,tgt_agt_centr,Persuasion,Value
albert-barabasi,0,0.0,[1.21227585]
albert-barabasi,0,0.1,[1.1930326]
albert-barabasi,0,0.2,[1.16955053]
albert-barabasi,0,0.30000000000000004,[1.14844076]
albert-barabasi,0,0.4,[1.10513911]
albert-barabasi,0,0.5,[1.06087851]
albert-barabasi,0,0.6000000000000001,[0.97721857]
albert-barabasi,0,0.7000000000000001,[0.84315332]
albert-barabasi,0,0.8,[0.76399899]
albert-barabasi,0,0.9,[0.70356721]
albert-barabasi,0,1.0,[0.71767487]
albert-barabasi,4,0.0,[1.21227585]
albert-barabasi,4,0.1,[1.19327336]
albert-barabasi,4,0.2,[1.16935633]
albert-barabasi,4,0.30000000000000004,[1.14575937]
albert-barabasi,4,0.4,[1.10521264]
albert-barabasi,4,0.5,[1.07311511]
albert-barabasi,4,0.6000000000000001,[0.96749099]
albert-barabasi,4,0.7000000000000001,[0.8350015]
albert-barabasi,4,0.8,[0.74416202]
albert-barabasi,4,0.9,[0.71435973]
albert-barabasi,4,1.0,[0.87143961]
albert-barabasi,9,0.0,[1.21227585]
albert-barabasi,9,0.1,[1.19341343]
albert-barabasi,9,0.2,[1.17047042]
albert-barabasi,9,0.30000000000000004,[1.14595635]
albert-barabasi,9,0.4,[1.10291499]
albert-barabasi,9,0.5,[1.06335073]
albert-barabasi,9,0.6000000000000001,[0.95290066]
albert-barabasi,9,0.7000000000000001,[0.84284161]
albert-barabasi,9,0.8,[0.7600734]
albert-barabasi,9,0.9,[0.71381606]
albert-barabasi,9,1.0,[0.80279182]
albert-barabasi,24,0.0,[1.21227585]
albert-barabasi,24,0.1,[1.19324252]
albert-barabasi,24,0.2,[1.17208233]
albert-barabasi,24,0.30000000000000004,[1.14878962]
albert-barabasi,24,0.4,[1.10594758]
albert-barabasi,24,0.5,[1.0585433]
albert-barabasi,24,0.6000000000000001,[0.96454586]
albert-barabasi,24,0.7000000000000001,[0.83750558]
albert-barabasi,24,0.8,[0.75093973]
albert-barabasi,24,0.9,[0.71175498]
albert-barabasi,24,1.0,[0.72484972]
random-graph,0,0.0,[1.21227585]
random-graph,0,0.1,[1.19202982]
random-graph,0,0.2,[1.16389675]
random-graph,0,0.30000000000000004,[1.14681298]
random-graph,0,0.4,[1.08124776]
random-graph,0,0.5,[1.03792503]
random-graph,0,0.6000000000000001,[0.93627977]
random-graph,0,0.7000000000000001,[0.84649994]
random-graph,0,0.8,[0.73827483]
random-graph,0,0.9,[0.68836379]
random-graph,0,1.0,[0.64695217]
random-graph,4,0.0,[1.21227585]
random-graph,4,0.1,[1.19148816]
random-graph,4,0.2,[1.16330156]
random-graph,4,0.30000000000000004,[1.1467226]
random-graph,4,0.4,[1.09075287]
random-graph,4,0.5,[1.03993484]
random-graph,4,0.6000000000000001,[0.9447837]
random-graph,4,0.7000000000000001,[0.8362636]
random-graph,4,0.8,[0.73986941]
random-graph,4,0.9,[0.6951235]
random-graph,4,1.0,[0.66847667]
random-graph,9,0.0,[1.21227585]
random-graph,9,0.1,[1.1913922]
random-graph,9,0.2,[1.16782693]
random-graph,9,0.30000000000000004,[1.14635282]
random-graph,9,0.4,[1.08154138]
random-graph,9,0.5,[1.0408408]
random-graph,9,0.6000000000000001,[0.92997896]
random-graph,9,0.7000000000000001,[0.8190104]
random-graph,9,0.8,[0.73860419]
random-graph,9,0.9,[0.68548943]
random-graph,9,1.0,[0.64944397]
random-graph,24,0.0,[1.21227585]
random-graph,24,0.1,[1.19159728]
random-graph,24,0.2,[1.16925838]
random-graph,24,0.30000000000000004,[1.15013506]
random-graph,24,0.4,[1.08446533]
random-graph,24,0.5,[1.03909378]
random-graph,24,0.6000000000000001,[0.95061172]
random-graph,24,0.7000000000000001,[0.83502653]
random-graph,24,0.8,[0.74167235]
random-graph,24,0.9,[0.68741583]
random-graph,24,1.0,[0.62679448]
watts-strogatz,0,0.0,[1.21227585]
watts-strogatz,0,0.1,[1.19105965]
watts-strogatz,0,0.2,[1.16961665]
watts-strogatz,0,0.30000000000000004,[1.1415371]
watts-strogatz,0,0.4,[1.10755568]
watts-strogatz,0,0.5,[1.06206768]
watts-strogatz,0,0.6000000000000001,[0.926896]
watts-strogatz,0,0.7000000000000001,[0.82539996]
watts-strogatz,0,0.8,[0.72723041]
watts-strogatz,0,0.9,[0.69621538]
watts-strogatz,0,1.0,[0.68777132]
watts-strogatz,4,0.0,[1.21227585]
watts-strogatz,4,0.1,[1.19103447]
watts-strogatz,4,0.2,[1.16959088]
watts-strogatz,4,0.30000000000000004,[1.14149072]
watts-strogatz,4,0.4,[1.10165012]
watts-strogatz,4,0.5,[1.06273775]
