value,Persuasion,Benchmark,0,4,9,24
0,Persuasion 0,-0.1174857142857143,-0.12445714285714286,-0.1241142857142857,-0.12445714285714286,-0.12388571428571428
0,Persuasion 0.3,-0.1,-0.11268571428571432,-0.1128,-0.11154285714285717,-0.11051428571428573
0,Persuasion 0.5,-0.08502857142857144,-0.09611428571428574,-0.11508571428571429,-0.10160000000000001,-0.1041142857142857
0,Persuasion 0.7,-0.03177142857142857,-0.021142857142857137,-0.026857142857142854,-0.031085714285714282,-0.030171428571428564
0,Persuasion 1,-0.3547428571428572,0.02662857142857143,-0.06994285714285714,-0.07200000000000001,0.043314285714285715
1,Persuasion 0,0.21554285714285715,0.21519999999999997,0.22502857142857144,0.21519999999999997,0.22502857142857144
1,Persuasion 0.3,0.24685714285714289,0.25725714285714285,0.25531428571428566,0.25599999999999995,0.26034285714285715
1,Persuasion 0.5,0.18662857142857145,0.35337142857142856,0.31257142857142856,0.3513142857142858,0.31028571428571433
1,Persuasion 0.7,0.20879999999999999,0.3549714285714285,0.348,0.34491428571428573,0.35611428571428566
1,Persuasion 1,0.3150857142857143,0.03257142857142858,0.0014857142857142896,0.07177142857142858,0.3750857142857143
2,Persuasion 0,-0.3558857142857142,-0.3460571428571427,-0.34548571428571406,-0.3453714285714284,-0.3453714285714284
2,Persuasion 0.3,-0.33154285714285714,-0.3332571428571429,-0.3325714285714285,-0.33405714285714283,-0.33542857142857146
2,Persuasion 0.5,-0.31977142857142843,-0.3293714285714284,-0.33074285714285706,-0.32834285714285727,-0.32011428571428563
2,Persuasion 0.7,-0.28605714285714284,-0.38948571428571427,-0.3589714285714286,-0.36594285714285724,-0.3156571428571429
2,Persuasion 1,0.12822857142857144,0.059885714285714285,-0.01817142857142857,-0.02937142857142857,0.08422857142857144
3,Persuasion 0,0.07485714285714286,0.08182857142857142,0.08422857142857143,0.08411428571428572,0.08194285714285714
3,Persuasion 0.3,0.052571428571428575,0.04845714285714286,0.04639999999999998,0.050514285714285734,0.04925714285714284
3,Persuasion 0.5,0.02937142857142857,0.023085714285714275,0.02148571428571429,0.02971428571428572,0.037485714285714275
3,Persuasion 0.7,-0.008457142857142873,-0.009485714285714271,0.016685714285714286,0.013485714285714292,-0.0016000000000000218
3,Persuasion 1,-0.04422857142857142,-0.01588571428571428,-0.04057142857142857,-0.05348571428571428,-0.021028571428571428
4,Persuasion 0,0.33302857142857145,0.3328,0.3328,0.3328,0.3328
4,Persuasion 0.3,0.3222857142857143,0.32171428571428573,0.31520000000000004,0.3126857142857143,0.3122285714285714
4,Persuasion 0.5,0.3048,0.3186285714285714,0.31977142857142854,0.3050285714285714,0.30994285714285713
4,Persuasion 0.7,0.30891428571428575,0.3102857142857143,0.30822857142857146,0.3106285714285714,0.31348571428571426
4,Persuasion 1,0.08262857142857143,0.10239999999999999,0.19622857142857145,0.1070857142857143,0.1533714285714286
5,Persuasion 0,0.11451428571428571,0.12045714285714287,0.12045714285714287,0.12057142857142858,0.12068571428571429
5,Persuasion 0.3,0.0598857142857143,0.060457142857142855,0.060342857142857156,0.062285714285714285,0.05771428571428573
5,Persuasion 0.5,0.02091428571428571,0.03108571428571428,0.033142857142857134,0.04205714285714286,0.02285714285714286
5,Persuasion 0.7,0.0035428571428571484,0.015314285714285716,0.008685714285714288,0.00034285714285714697,0.009714285714285719
5,Persuasion 1,0.03097142857142857,-0.03474285714285714,-0.030285714285714284,-0.06468571428571429,-0.042628571428571425
6,Persuasion 0,-0.26525714285714286,-0.2777142857142857,-0.27862857142857145,-0.2772571428571428,-0.2790857142857143
6,Persuasion 0.3,-0.2862857142857143,-0.2761142857142857,-0.27725714285714287,-0.27714285714285714,-0.2822857142857143
6,Persuasion 0.5,-0.24800000000000003,-0.25942857142857145,-0.25817142857142855,-0.24994285714285716,-0.2555428571428571
6,Persuasion 0.7,-0.1822857142857143,-0.22160000000000002,-0.22525714285714288,-0.21028571428571427,-0.21771428571428572
6,Persuasion 1,-0.18239999999999998,-0.11074285714285712,-0.09817142857142858,-0.054285714285714284,-0.08719999999999999
7,Persuasion 0,-0.5667428571428572,-0.5979428571428571,-0.5976,-0.5984,-0.5984
7,Persuasion 0.3,-0.5673142857142858,-0.5907428571428571,-0.5899428571428571,-0.5873142857142857,-0.5861714285714285
7,Persuasion 0.5,-0.5627428571428571,-0.5901714285714286,-0.5899428571428572,-0.5896,-0.5854857142857143
7,Persuasion 0.7,-0.24868571428571426,-0.3037714285714285,-0.3131428571428571,-0.31085714285714283,-0.2742857142857143
7,Persuasion 1,0.17417142857142856,-0.047085714285714286,-0.04742857142857141,-0.024114285714285724,0.014628571428571423
8,Persuasion 0,0.2048,0.20434285714285713,0.20411428571428572,0.2042285714285714,0.20297142857142855
8,Persuasion 0.3,0.20491428571428572,0.19725714285714288,0.2034285714285714,0.20114285714285715,0.20422857142857145
8,Persuasion 0.5,0.1777142857142857,0.18674285714285718,0.19188571428571427,0.1952,0.19188571428571427
8,Persuasion 0.7,0.13954285714285714,0.16457142857142856,0.1609142857142857,0.14114285714285715,0.14354285714285714
