value,Persuasion,Benchmark,0,4,9,24
0,Persuasion 0,1.0355314089114773,1.0205720074719116,1.0208760643112933,1.0204197134872202,1.0209371143968564
0,Persuasion 0.3,1.0219494489154701,0.9912672453074899,0.9940842026948087,0.9988130706882971,0.9990459681517784
0,Persuasion 0.5,1.0058841577871382,0.9736217378863063,0.9729190077606793,0.9825435266620169,0.9848470526994231
0,Persuasion 0.7,0.9566551000755128,0.9350839207769575,0.9372024851162367,0.9416026613562583,0.9469822393447493
0,Persuasion 1,0.929510676274576,0.911160014769454,0.8783628210091121,0.8844688428216194,0.9099920226343859
1,Persuasion 0,1.0192142367588881,1.0103880495482542,1.010583513644704,1.010337697084715,1.0103832791806904
1,Persuasion 0.3,1.006478368035751,0.9934292101488895,0.9918981528223262,0.9943111264654659,0.9946375715394977
1,Persuasion 0.5,0.9799496707403765,0.9798762414457478,0.9839008905277767,0.9846465047061939,0.9780672505552618
1,Persuasion 0.7,0.9653043866304744,0.9397645055820624,0.9554511196722397,0.9421126249061808,0.9479073857778417
1,Persuasion 1,0.9823702626819193,0.9215707523836543,0.9209251003560411,0.9210119420538776,0.9536019932568972
2,Persuasion 0,1.169867766952373,1.1513814980491617,1.1502576638999715,1.1506526085069548,1.150029164850344
2,Persuasion 0.3,1.1803502145559297,1.147336733759585,1.149763430190709,1.151223342863965,1.1537760784538011
2,Persuasion 0.5,1.1891403438644974,1.1532364754860192,1.1486542914455713,1.1527996429524094,1.1570206570229706
2,Persuasion 0.7,1.2098696133552949,1.1247260986217367,1.119999897791053,1.1160079088203787,1.1554115468920456
2,Persuasion 1,0.9788625232800583,0.7577876391504552,0.7644935308383782,0.7687764445879837,0.7812715699781071
3,Persuasion 0,1.1284778445018815,1.1194195032595053,1.119332668314652,1.1192957429430435,1.120187541533063
3,Persuasion 0.3,1.0864186235330646,1.0737968884099038,1.0732623653690667,1.075688599414131,1.077838166084829
3,Persuasion 0.5,1.0462579223974235,1.0196126244059895,1.0254954828491374,1.0296909120552173,1.0443296527802761
3,Persuasion 0.7,0.9437064012165317,0.9428911940921874,0.9605037569026005,0.9625885260389342,0.954691905605068
3,Persuasion 1,1.0499508587757893,0.8557362051583353,0.8560356380003127,0.8538571615423952,0.8794851301264685
4,Persuasion 0,1.0338038673274619,1.019728301542941,1.019791249770974,1.0198049814101173,1.0196552352881822
4,Persuasion 0.3,1.0087748596036108,0.9872372829030741,0.990872303012688,0.9890138070439465,0.9958752432619288
4,Persuasion 0.5,0.9785705308543154,0.9512352487620568,0.962617771041809,0.9604185015667323,0.9674655765179033
4,Persuasion 0.7,0.9446558517780587,0.9233888154281861,0.9328055346525809,0.9281665791537992,0.9378000273642766
4,Persuasion 1,0.8456569205444057,0.8370875868972842,0.8445890158866183,0.8385062176023962,0.8399999833727292
5,Persuasion 0,0.7951737786448226,0.7839906547312973,0.7840633933774154,0.7850817623770405,0.784189587188531
5,Persuasion 0.3,0.764708579797603,0.7503425940582683,0.7524184680835236,0.7541479156366715,0.7549188168059006
5,Persuasion 0.5,0.7461888493631349,0.7275316584577932,0.7250101537873087,0.7281880214446322,0.7366051916849558
5,Persuasion 0.7,0.7244941402018583,0.7045611538172044,0.7065561131102331,0.7077340855779829,0.7082584338909829
5,Persuasion 1,0.9342843797053035,0.6821981257722729,0.6976372802427001,0.6974424160143574,0.6999419901713714
6,Persuasion 0,0.8990156167668593,0.8891439843186659,0.8890239039150118,0.8888220744417581,0.8888613159249696
6,Persuasion 0.3,0.9018791754807742,0.8878272817345382,0.8916705033423199,0.8900958958911215,0.8903632802924137
6,Persuasion 0.5,0.8779512576877943,0.8601887684975221,0.8691984069314711,0.8662913768793498,0.8694341012380735
6,Persuasion 0.7,0.8445275862683813,0.8220987206124485,0.8321562889027805,0.8365825388332913,0.8298178969251394
6,Persuasion 1,0.9609103303520262,0.8112850192675335,0.8044083992605241,0.8045209104771438,0.8050459172903597
7,Persuasion 0,0.8315657339877754,0.8287458041502939,0.8280066219261926,0.8285471655436573,0.8280694653274421
7,Persuasion 0.3,0.8471498107640433,0.8391629476369954,0.8321455785365138,0.8360709317653252,0.8373133800501396
7,Persuasion 0.5,0.872697646054394,0.8510597491357068,0.8421424311824484,0.8457226120313012,0.8553587286840877
7,Persuasion 0.7,0.7326979997409184,0.726178081735681,0.7289140128328371,0.7314474799842416,0.7237809846338892
7,Persuasion 1,0.7181023109210405,0.6947278447098924,0.6876810789107309,0.6990959441680484,0.7016886730831867
