value,Persuasion,Benchmark,0,4,9,24
0,Persuasion 0,0.5729142857142857,0.5680000000000001,0.5679428571428572,0.5685714285714286,0.5685714285714286
0,Persuasion 0.3,0.5517142857142858,0.5190285714285715,0.5184,0.5309714285714285,0.5388571428571429
0,Persuasion 0.5,0.5365714285714285,0.47805714285714285,0.4797714285714286,0.4948000000000001,0.4963428571428572
0,Persuasion 0.7,0.47348571428571434,0.4216571428571428,0.42382857142857133,0.43297142857142856,0.44542857142857134
0,Persuasion 1,0.7123428571428572,0.0007428571428571429,0.0007428571428571429,0.016057142857142857,0.010457142857142858
1,Persuasion 0,0.6645714285714286,0.6477142857142855,0.6486857142857142,0.6484571428571426,0.6477714285714284
1,Persuasion 0.3,0.6644571428571429,0.6328571428571429,0.6362857142857141,0.6349714285714284,0.6378285714285713
1,Persuasion 0.5,0.6699999999999999,0.6112,0.6173714285714286,0.618742857142857,0.6289714285714285
1,Persuasion 0.7,0.670342857142857,0.5534857142857142,0.5588571428571429,0.5834285714285715,0.5834857142857143
1,Persuasion 1,0.9996,0.314,0.3859428571428572,0.3536,0.3649714285714285
2,Persuasion 0,0.8162285714285713,0.7986285714285714,0.7977714285714285,0.798457142857143,0.7982285714285716
2,Persuasion 0.3,0.8124000000000001,0.7709142857142859,0.7781714285714286,0.7741142857142859,0.788057142857143
2,Persuasion 0.5,0.8119999999999999,0.759885714285714,0.7684,0.7469714285714284,0.7656571428571429
2,Persuasion 0.7,0.8174285714285713,0.6908571428571427,0.728,0.7335428571428572,0.7483428571428572
2,Persuasion 1,0.018857142857142857,0.2698857142857143,0.2470857142857143,0.21554285714285715,0.19594285714285714
3,Persuasion 0,0.6442857142857144,0.6248571428571428,0.6251428571428572,0.6249142857142858,0.6246857142857143
3,Persuasion 0.3,0.6244571428571428,0.5908571428571429,0.5969142857142857,0.5986857142857144,0.5982285714285714
3,Persuasion 0.5,0.6045142857142857,0.557142857142857,0.5692571428571429,0.573657142857143,0.5824000000000001
3,Persuasion 0.7,0.5785142857142856,0.5015428571428571,0.5202857142857142,0.5224571428571428,0.5436571428571427
3,Persuasion 1,0.0108,0.29457142857142854,0.3116571428571429,0.3717714285714286,0.26931428571428573
4,Persuasion 0,0.6486857142857143,0.6357714285714285,0.635942857142857,0.6352571428571427,0.6356571428571427
4,Persuasion 0.3,0.6381714285714286,0.6114285714285713,0.6176571428571427,0.6172571428571427,0.6210285714285714
4,Persuasion 0.5,0.6296571428571428,0.5926285714285715,0.6016571428571428,0.6037714285714285,0.6137714285714285
4,Persuasion 0.7,0.6237142857142858,0.5498857142857142,0.5806857142857142,0.5805714285714285,0.5965142857142857
4,Persuasion 1,0.5032571428571428,0.3113714285714285,0.41177142857142857,0.3850857142857143,0.4341714285714286
5,Persuasion 0,0.5476571428571428,0.54,0.5393714285714286,0.5394285714285715,0.5393142857142857
5,Persuasion 0.3,0.5389714285714285,0.5186285714285713,0.5183428571428572,0.5215428571428571,0.5221142857142858
5,Persuasion 0.5,0.5173142857142858,0.4921142857142857,0.5044000000000001,0.49617142857142865,0.5009714285714286
