value,Persuasion,Benchmark,0,4,9,24
0,Persuasion 0,0.42708571428571424,0.432,0.43205714285714275,0.4314285714285713,0.43142857142857133
0,Persuasion 0.3,0.44828571428571423,0.4809714285714285,0.48160000000000003,0.46902857142857135,0.4611428571428571
0,Persuasion 0.5,0.46342857142857147,0.521942857142857,0.5202285714285714,0.5051999999999999,0.5036571428571429
0,Persuasion 0.7,0.5265142857142856,0.5783428571428572,0.5761714285714287,0.5670285714285714,0.5545714285714286
0,Persuasion 1,0.28765714285714283,0.9992571428571428,0.9992571428571428,0.9839428571428571,0.9895428571428573
1,Persuasion 0,0.33542857142857146,0.35228571428571426,0.35131428571428575,0.3515428571428571,0.35222857142857145
1,Persuasion 0.3,0.3355428571428572,0.36714285714285716,0.3637142857142857,0.3650285714285714,0.3621714285714286
1,Persuasion 0.5,0.33,0.3888,0.3826285714285714,0.38125714285714285,0.3710285714285714
1,Persuasion 0.7,0.32965714285714287,0.44651428571428564,0.44114285714285706,0.4165714285714286,0.4165142857142858
1,Persuasion 1,0.00039999999999999996,0.686,0.6140571428571429,0.6463999999999999,0.6350285714285715
2,Persuasion 0,0.18377142857142856,0.20137142857142853,0.20222857142857142,0.2015428571428571,0.20177142857142855
2,Persuasion 0.3,0.1876,0.2290857142857143,0.22182857142857143,0.2258857142857143,0.21194285714285713
2,Persuasion 0.5,0.188,0.2401142857142857,0.2316,0.25302857142857144,0.23434285714285713
2,Persuasion 0.7,0.18257142857142858,0.3091428571428572,0.27199999999999996,0.26645714285714284,0.2516571428571429
2,Persuasion 1,0.9811428571428571,0.7301142857142858,0.7529142857142856,0.7844571428571429,0.8040571428571427
3,Persuasion 0,0.35571428571428565,0.37514285714285717,0.37485714285714283,0.3750857142857143,0.37531428571428577
3,Persuasion 0.3,0.37554285714285723,0.4091428571428572,0.4030857142857142,0.4013142857142857,0.4017714285714285
3,Persuasion 0.5,0.3954857142857143,0.44285714285714295,0.4307428571428571,0.42634285714285713,0.41759999999999997
3,Persuasion 0.7,0.4214857142857143,0.4984571428571429,0.4797142857142858,0.4775428571428571,0.45634285714285716
3,Persuasion 1,0.9892000000000001,0.7054285714285714,0.6883428571428571,0.6282285714285715,0.7306857142857144
4,Persuasion 0,0.3513142857142857,0.36422857142857146,0.3640571428571429,0.36474285714285715,0.3643428571428572
4,Persuasion 0.3,0.36182857142857144,0.38857142857142857,0.38234285714285726,0.38274285714285716,0.3789714285714286
4,Persuasion 0.5,0.37034285714285714,0.40737142857142855,0.3983428571428571,0.3962285714285714,0.3862285714285714
4,Persuasion 0.7,0.3762857142857143,0.4501142857142858,0.4193142857142857,0.4194285714285714,0.4034857142857142
4,Persuasion 1,0.4967428571428571,0.6886285714285714,0.5882285714285714,0.6149142857142857,0.5658285714285715
5,Persuasion 0,0.4523428571428571,0.4599999999999999,0.46062857142857133,0.4605714285714285,0.46068571428571414
5,Persuasion 0.3,0.46102857142857145,0.4813714285714286,0.48165714285714284,0.47845714285714297,0.47788571428571436
5,Persuasion 0.5,0.4826857142857143,0.5078857142857143,0.49560000000000004,0.5038285714285714,0.49902857142857143
5,Persuasion 0.7,0.48691428571428574,0.5289142857142858,0.5133142857142858,0.5255428571428572,0.5152571428571429
5,Persuasion 1,0.3169714285714286,0.6083999999999999,0.5435428571428572,0.5569142857142858,0.5361142857142857
6,Persuasion 0,0.41354285714285716,0.43325714285714284,0.43302857142857143,0.43051428571428574,0.43228571428571433
6,Persuasion 0.3,0.43639999999999995,0.46794285714285705,0.4641142857142857,0.4609142857142857,0.45885714285714274
6,Persuasion 0.5,0.44662857142857143,0.48719999999999997,0.4836,0.48074285714285714,0.4748
6,Persuasion 0.7,0.47617142857142863,0.5381142857142858,0.5222857142857144,0.5208571428571429,0.5083428571428572
6,Persuasion 1,0.027428571428571427,0.7404,0.6505714285714286,0.7182285714285713,0.6446285714285714
7,Persuasion 0,0.27640000000000003,0.3023999999999999,0.3026857142857142,0.30291428571428564,0.30331428571428565
7,Persuasion 0.3,0.26799999999999996,0.3102285714285714,0.30617142857142854,0.3069142857142857,0.3011428571428571
7,Persuasion 0.5,0.2656,0.38971428571428574,0.38394285714285714,0.3181714285714286,0.29342857142857137
7,Persuasion 0.7,0.43485714285714283,0.5325714285714287,0.5258285714285713,0.5254285714285716,0.4974857142857143
7,Persuasion 1,0.9526857142857142,0.6966285714285716,0.6168571428571428,0.5962857142857143,0.5769142857142857
8,Persuasion 0,0.3859428571428572,0.3982857142857143,0.39851428571428577,0.3989142857142857,0.3994857142857143
8,Persuasion 0.3,0.4025714285714286,0.4267428571428572,0.4217142857142856,0.4194857142857142,0.4208571428571429
8,Persuasion 0.5,0.43217142857142865,0.46485714285714297,0.4532,0.45034285714285716,0.4581714285714286
8,Persuasion 0.7,0.49045714285714276,0.5109142857142857,0.4973142857142857,0.49457142857142866,0.5024000000000001
8,Persuasion 1,0.9841142857142857,0.7613714285714286,0.682,0.6733142857142858,0.6986285714285715
9,Persuasion 0,0.26257142857142857,0.31742857142857145,0.3168000000000001,0.31840000000000007,0.3158857142857144
9,Persuasion 0.3,0.2784,0.35891428571428574,0.35548571428571435,0.34811428571428576,0.3460571428571429
9,Persuasion 0.5,0.28645714285714285,0.39302857142857145,0.3841714285714285,0.37411428571428573,0.3716571428571428
