value,Persuasion,Benchmark,0,4,9,24
0,Persuasion 0,1.9404089595983331,1.9808138207395327,1.981084116396262,1.9843704222197895,1.978539566216889
0,Persuasion 0.3,1.841954959967286,1.7746899955589985,1.7667209148476677,1.804390884352415,1.824291505113854
0,Persuasion 0.5,1.718167399046742,1.613471530358358,1.6125523053140034,1.6553234774143244,1.6617605535608877
0,Persuasion 0.7,1.387853922212247,1.3060149487074901,1.283463832067115,1.3230842652342047,1.3271311206412189
0,Persuasion 1,1.9666925164843767,0.9942214036688024,1.0055596996093168,1.013884165165179,1.0155342916701808
1,Persuasion 0,1.7925541416246795,1.7826987037984265,1.7854690162260858,1.781686045894704,1.7830823413274515
1,Persuasion 0.3,1.739639528710004,1.7723304269171303,1.786916669208876,1.710707780392689,1.7978387118881298
1,Persuasion 0.5,1.720819231526222,1.6489784502570077,1.6637006930978535,1.6525601605758466,1.6887989046501881
1,Persuasion 0.7,1.6432396595252792,1.4547598839566012,1.477994658838155,1.4913658589397047,1.494830546241682
1,Persuasion 1,2.266157034510161,1.0620650822842366,1.1048514733059642,1.091798297935392,1.0987793918426918
2,Persuasion 0,3.5449099808557647,3.269187621883857,3.2673985669035788,3.2698452281556865,3.266588691598267
2,Persuasion 0.3,3.564429422118865,3.0737020285405845,3.0899359502400525,3.122776819066208,3.150993288210972
2,Persuasion 0.5,3.56840357461456,2.801507378647193,2.857615037663257,2.8841179649453306,2.9388171909832113
2,Persuasion 0.7,3.5175095911038694,2.287744716850946,2.361117759229251,2.477437371375111,2.5394902960865116
2,Persuasion 1,0.9851712648041091,0.8879252439343132,0.8849549156740811,0.8896726584116426,0.8817680267032747
3,Persuasion 0,2.410546013386069,2.3146650119905035,2.316801101985833,2.3151693461127687,2.316240472404048
3,Persuasion 0.3,2.246032807674883,2.075385568155758,2.1203272639013013,2.122531413556002,2.120879415861448
3,Persuasion 0.5,2.071056386635254,1.8052296866586013,1.900566260121853,1.8991736270891928,1.964013031152363
3,Persuasion 0.7,1.6737208575433364,1.4663724693036877,1.5403458567115376,1.5363539892988534,1.567507157448475
3,Persuasion 1,1.0603403140878143,0.9817508898297768,0.9999965147135769,1.0631728342255202,1.0491522607730357
4,Persuasion 0,2.126142389858116,2.0370420546698975,2.039050729805762,2.039213334075513,2.0373740960921065
4,Persuasion 0.3,2.0576846913745808,1.8777301418070356,1.9187558987609372,1.9030295101945882,1.9455627298180762
4,Persuasion 0.5,1.9897708565476915,1.7490336257136083,1.8074797390586856,1.803970601993737,1.8743187462731363
4,Persuasion 0.7,1.9083083824595415,1.559750627899115,1.67380578291068,1.6309988946459237,1.7347477071582773
4,Persuasion 1,1.1446104869421014,0.9941137355237177,1.0741075283088173,1.055630439497823,1.0764798037796022
5,Persuasion 0,1.2253406173077177,1.2121812158231742,1.2100274947403293,1.213671288966348,1.21143884500499
5,Persuasion 0.3,1.1316336123855177,1.1072898960002036,1.1150904970664997,1.1086496290988936,1.1204664013566332
5,Persuasion 0.5,1.026713024186109,1.0106069075169377,1.010517082943926,1.0127056885523857,1.0117508821001993
5,Persuasion 0.7,0.917303422380675,0.8878017782806641,0.8913472866826047,0.902760041768292,0.8915078989699577
5,Persuasion 1,1.3516572095928812,0.8069569394433113,0.8311815509710976,0.8291585153423319,0.8398160076538079
6,Persuasion 0,1.5973511425688744,1.5712673480650534,1.567992970214277,1.5735786998833476,1.5676351263991957
6,Persuasion 0.3,1.6236253996762458,1.5308222747643354,1.5268849010772854,1.540255729844525,1.5411339196172384
6,Persuasion 0.5,1.5360822773094718,1.4357983281603885,1.4536262601211032,1.4319734109943276,1.4356434305114885
6,Persuasion 0.7,1.3600010652191632,1.182917767102112,1.2474570585860305,1.2195624971722594,1.2566189585176746
6,Persuasion 1,1.907184715021081,0.9153481795290512,0.9638522340713394,0.9323131775402624,0.9555378554535501
7,Persuasion 0,1.9718152952806354,1.8356857716671924,1.8355277997711907,1.8366619180524164,1.835480021658669
7,Persuasion 0.3,2.0200153994622276,1.7426940298092217,1.7738614342181709,1.7789928339460295,1.8145229097613853
7,Persuasion 0.5,2.029576759283103,1.4053234530424146,1.436649264309719,1.551310741217756,1.7602425710669118
7,Persuasion 0.7,1.1492757267229174,1.0829972048344723,1.1166860078016922,1.1198605140765978,1.1642221456264075
7,Persuasion 1,0.7385959863315801,0.8206560670872831,0.9198602857907476,0.9251626400835405,0.9114555756682837
8,Persuasion 0,2.243929299546548,2.151478756347663,2.146198904974953,2.14616414311406,2.1473632041760546
8,Persuasion 0.3,2.191576700309104,1.9741100163442074,2.020597407952005,2.038746981279979,2.0558937102323855
8,Persuasion 0.5,2.0956756092635445,1.8307595927242026,1.8896336924668902,1.8966621795128467,1.9009813650069616
8,Persuasion 0.7,1.8048092086115228,1.5309840023647614,1.6361009481019615,1.6354623252766167,1.6655051814347555
8,Persuasion 1,0.8823884532622777,0.9763914882186361,1.026937963580826,1.0132080353756183,0.9945176667077714
9,Persuasion 0,2.1846080705310618,2.072840502281602,2.0759491682800904,2.0748252605923994,2.078293265583191
9,Persuasion 0.3,2.2056986899444944,2.010755190996273,2.0478902601058926,2.0705388133559173,2.06272699882561
9,Persuasion 0.5,2.2413072453292924,1.895276922243909,1.922212111106694,2.000370386059516,2.013010962391191
9,Persuasion 0.7,2.1764905201651676,1.6338761783795728,1.704062732556356,1.8483830328635358,1.8277929090195466
9,Persuasion 1,2.3683689217357307,0.9085484712597545,0.9184663837832061,0.9357736018035939,0.943536690234542
10,Persuasion 0,1.9024677185630778,1.8508203732402666,1.8514932935627162,1.851438185814912,1.8486212986622403
10,Persuasion 0.3,1.836291590032864,1.7542551015198147,1.7706838868771977,1.763762903806928,1.7665364458271007
10,Persuasion 0.5,1.696487019002929,1.6303341372384426,1.6690452197974612,1.6393666251541117,1.6569964676694047
10,Persuasion 0.7,1.4780732294369954,1.4354409938494888,1.5082575494357922,1.4785951262224166,1.4672743143838263
10,Persuasion 1,1.074750564792289,1.042337615525193,1.1681934500243591,1.1590865670941612,1.1453015916391767
11,Persuasion 0,2.853329879060255,2.723481223914663,2.7270919653437793,2.7258660027293153,2.725441850437539
11,Persuasion 0.3,2.7526857740598825,2.5597349921046177,2.577239006891892,2.6010494236405335,2.616881327764783
11,Persuasion 0.5,2.639848750013687,2.3514368570703557,2.3697435850744566,2.4317579350252303,2.469113526120115
11,Persuasion 0.7,2.5198213354091696,2.124647620649433,2.1559304049636046,2.21357536485285,2.2304062023809794
11,Persuasion 1,3.0259731879029657,1.0503195231494835,1.0916941407805012,1.1067471776169528,1.3121167608287456
12,Persuasion 0,2.290220043329686,2.2263787640462884,2.225171237297293,2.2245073691992285,2.22527637977331
12,Persuasion 0.3,2.170159133825057,2.0402957489355087,2.039795028558137,2.033718430641144,2.0334714718844826
12,Persuasion 0.5,1.9346473460550977,1.7604988103061496,1.7865740990855266,1.8003800670225343,1.844009138011419
12,Persuasion 0.7,1.6111791923139884,1.741383410641671,1.5499860058418933,1.5372353234818126,1.64177043678022
12,Persuasion 1,2.45423101762346,1.1085701912854244,1.1137989965102786,1.0980053162935925,1.1656029422522352
13,Persuasion 0,1.9107375730800518,1.8377967172338687,1.8355530473539885,1.8351649700046007,1.8347928699317568
13,Persuasion 0.3,1.862143937782279,1.7400222383513912,1.7135741625768037,1.7295055021525534,1.7410271344662964
13,Persuasion 0.5,1.7947468163547236,1.6489502581840338,1.6451940650600354,1.6500928676636166,1.6710800520589058
13,Persuasion 0.7,1.6871853173127345,1.4850584432830127,1.477679843693072,1.52177853579566,1.5500878536077465
13,Persuasion 1,3.377669201984438,0.87254288385016,1.0342192060216233,0.9122622063931012,1.1614418127191528
14,Persuasion 0,2.262663439144214,2.282920435737779,2.276557037633202,2.2794104068409315,2.28288196238523
14,Persuasion 0.3,2.2112922472227434,2.0320161669664536,2.077508305624002,2.109703155730001,2.119882077745243
14,Persuasion 0.5,2.0536041876774838,1.717552994198819,1.8555355895331505,1.8988650384356023,1.9478417019511651
14,Persuasion 0.7,2.053478825820096,1.554940472272546,1.6019154500844162,1.7647077987972866,1.8176792976486833
14,Persuasion 1,0.8400031326777824,0.9533468878434219,0.9956807442232293,0.9584760327223045,1.0095428272984228
15,Persuasion 0,1.4578658839247731,1.4142439647247684,1.4104662501303937,1.4138781249666814,1.4145535739701594
15,Persuasion 0.3,1.38598902853271,1.2967489741624159,1.3028381381565965,1.3140961031919138,1.3291431249630945
15,Persuasion 0.5,1.3307201082258115,1.252118898469805,1.2610230253559407,1.2737392351094532,1.2933717501287338
15,Persuasion 0.7,1.2716077849366911,1.1522368975044976,1.1641582493825549,1.2242535769826042,1.25119436258151
15,Persuasion 1,1.8813568453934344,0.9542132927142138,0.9683253790041272,0.9910530700997404,1.0505523564643375
16,Persuasion 0,2.1642043287324695,2.0276293018581404,2.023752472122603,2.0261068362977475,2.020103070589938
16,Persuasion 0.3,2.028227253198242,1.7902136683627208,1.7888385646852325,1.8404841581048512,1.8651438158388216
16,Persuasion 0.5,1.9186665138538366,1.6112602854966365,1.6380999062528114,1.7247497302723658,1.73568915848051
16,Persuasion 0.7,1.5269252876281856,1.2786560975089947,1.3209428271535704,1.435464477396633,1.4000104652185164
16,Persuasion 1,2.1493540653934797,0.8734307541840248,0.8807055149127088,0.90518889424897,0.9434442583438635
