value,Persuasion,Benchmark,0,4,9,24
0,Persuasion 0,0.5751999999999999,0.5963428571428572,0.5966285714285714,0.5965142857142857,0.5957714285714285
0,Persuasion 0.3,0.5476571428571428,0.5551428571428572,0.5559428571428572,0.5614857142857143,0.5655428571428571
0,Persuasion 0.5,0.5410285714285714,0.5294285714285714,0.5265714285714285,0.536,0.535942857142857
0,Persuasion 0.7,0.4846857142857142,0.4782285714285714,0.47542857142857137,0.48028571428571426,0.48079999999999995
0,Persuasion 1,0.026914285714285714,0.44194285714285714,0.5346857142857144,0.44462857142857143,0.5181142857142857
1,Persuasion 0,0.6328571428571429,0.6256,0.6260571428571429,0.6260571428571429,0.6254857142857142
1,Persuasion 0.3,0.6240571428571429,0.6132,0.6136571428571429,0.6113142857142857,0.6130285714285715
1,Persuasion 0.5,0.6226285714285714,0.6132571428571428,0.6183428571428572,0.6106285714285714,0.6175428571428571
1,Persuasion 0.7,0.5951428571428572,0.5837142857142857,0.5882285714285714,0.5814857142857143,0.5841714285714286
1,Persuasion 1,0.7157142857142857,0.4217714285714286,0.4924,0.5061714285714285,0.5743428571428572
2,Persuasion 0,0.8702857142857143,0.8593714285714285,0.8593714285714285,0.8596,0.8595428571428573
2,Persuasion 0.3,0.8642857142857143,0.8375428571428571,0.8429142857142856,0.8417714285714286,0.8431428571428572
2,Persuasion 0.5,0.8618285714285714,0.7938857142857143,0.8045142857142856,0.8145714285714286,0.8182285714285714
2,Persuasion 0.7,0.8513714285714287,0.7204000000000002,0.7333714285714286,0.7421714285714286,0.7496571428571428
2,Persuasion 1,0.7455428571428572,0.5539428571428572,0.5376000000000001,0.5989142857142857,0.5078857142857143
3,Persuasion 0,0.5193714285714285,0.5101714285714286,0.5107999999999999,0.5102857142857143,0.5098857142857143
3,Persuasion 0.3,0.4976,0.49051428571428574,0.4938857142857143,0.4934857142857143,0.49440000000000006
3,Persuasion 0.5,0.48531428571428575,0.4776000000000001,0.47805714285714285,0.4816000000000002,0.4797714285714286
3,Persuasion 0.7,0.45942857142857146,0.4495428571428571,0.45548571428571427,0.45914285714285713,0.4614285714285716
3,Persuasion 1,0.8029142857142857,0.41194285714285717,0.4703428571428572,0.4676,0.5295428571428572
4,Persuasion 0,0.6329142857142858,0.6301714285714286,0.6303428571428572,0.6305714285714286,0.6303428571428572
4,Persuasion 0.3,0.618,0.6118285714285714,0.6135428571428572,0.6131428571428572,0.6138285714285715
4,Persuasion 0.5,0.5982285714285714,0.5883428571428571,0.5904571428571429,0.5918285714285714,0.5942857142857143
4,Persuasion 0.7,0.5689142857142857,0.5448000000000001,0.5637714285714286,0.5683428571428571,0.5645714285714285
4,Persuasion 1,0.028171428571428576,0.36239999999999994,0.40971428571428564,0.41531428571428575,0.36702857142857137
5,Persuasion 0,0.5988,0.5965714285714285,0.5966857142857143,0.5969142857142857,0.5963428571428572
5,Persuasion 0.3,0.578857142857143,0.5773714285714286,0.5794857142857143,0.5791428571428571,0.5781142857142858
5,Persuasion 0.5,0.5685714285714285,0.5719428571428572,0.5642285714285714,0.5670285714285713,0.5674285714285715
5,Persuasion 0.7,0.5560571428571429,0.5277714285714286,0.5312,0.5418857142857143,0.5353714285714286
5,Persuasion 1,1.0,0.5381714285714286,0.5341714285714286,0.5379428571428572,0.5571428571428572
6,Persuasion 0,0.6322285714285714,0.6245714285714284,0.6248571428571428,0.6272,0.6260571428571428
6,Persuasion 0.3,0.6113142857142857,0.6037142857142858,0.6034857142857143,0.6024571428571429,0.6030285714285715
6,Persuasion 0.5,0.5796571428571429,0.5765142857142856,0.5774857142857143,0.5776571428571429,0.5812571428571428
6,Persuasion 0.7,0.5480571428571429,0.5235428571428572,0.5327999999999999,0.5285714285714286,0.5200571428571429
6,Persuasion 1,0.9678857142857142,0.44114285714285706,0.4285142857142858,0.46240000000000003,0.37062857142857136
7,Persuasion 0,0.7226285714285715,0.6853142857142858,0.6844571428571429,0.6845142857142859,0.6856571428571429
7,Persuasion 0.3,0.6985142857142856,0.6297142857142857,0.6371428571428571,0.6434285714285713,0.6453714285714287
7,Persuasion 0.5,0.6118285714285714,0.5003428571428572,0.5038857142857143,0.5244000000000001,0.5468571428571429
7,Persuasion 0.7,0.46548571428571434,0.46954285714285715,0.4781142857142857,0.4790285714285715,0.46702857142857135
7,Persuasion 1,0.3675428571428571,0.3810285714285715,0.4236,0.4477142857142858,0.4058857142857143
8,Persuasion 0,0.5657142857142857,0.5631428571428572,0.5617142857142857,0.5618857142857143,0.5619428571428572
8,Persuasion 0.3,0.5356000000000001,0.5379428571428572,0.5378857142857143,0.5388571428571428,0.5384571428571429
8,Persuasion 0.5,0.5263428571428572,0.5218285714285714,0.5206285714285716,0.5269142857142858,0.5254857142857143
8,Persuasion 0.7,0.5018857142857143,0.5008000000000001,0.49942857142857144,0.5097714285714287,0.5073142857142857
8,Persuasion 1,0.7171428571428571,0.43965714285714286,0.42371428571428577,0.4157142857142857,0.434
9,Persuasion 0,0.5559999999999999,0.5336571428571429,0.5337142857142857,0.5336,0.5335428571428572
9,Persuasion 0.3,0.5619428571428572,0.5210285714285714,0.5241142857142858,0.5297142857142857,0.5256571428571428
9,Persuasion 0.5,0.5641714285714285,0.5111428571428571,0.5165142857142857,0.5205714285714286,0.5164000000000001
9,Persuasion 0.7,0.5526285714285714,0.4846285714285715,0.4904571428571429,0.49994285714285713,0.49771428571428566
9,Persuasion 1,0.10445714285714286,0.40674285714285713,0.43639999999999995,0.4513142857142857,0.45960000000000006
10,Persuasion 0,0.6806285714285714,0.6687428571428572,0.6691428571428573,0.6681714285714286,0.6670285714285714
10,Persuasion 0.3,0.6597142857142857,0.6425142857142857,0.6448,0.6400000000000001,0.6426285714285714
10,Persuasion 0.5,0.6075428571428572,0.6212571428571428,0.6231428571428572,0.6118285714285714,0.6110857142857142
10,Persuasion 0.7,0.5696,0.5918857142857142,0.5914857142857143,0.5941714285714286,0.5933142857142858
10,Persuasion 1,0.003828571428571429,0.5649142857142856,0.5419428571428571,0.5558857142857143,0.5497714285714286
11,Persuasion 0,0.7050857142857143,0.6987428571428571,0.6988,0.6991999999999999,0.6986857142857142
11,Persuasion 0.3,0.6926857142857142,0.6829142857142857,0.6836571428571429,0.6800571428571428,0.6819999999999999
11,Persuasion 0.5,0.6712571428571429,0.6671999999999999,0.6673714285714285,0.6638285714285714,0.6642285714285714
11,Persuasion 0.7,0.6409714285714285,0.6342285714285714,0.6416000000000001,0.6447428571428572,0.6404000000000001
11,Persuasion 1,0.40640000000000004,0.47594285714285717,0.47954285714285705,0.4871428571428572,0.5170285714285715
12,Persuasion 0,0.5054285714285713,0.48788571428571426,0.48805714285714286,0.48782857142857144,0.48782857142857144
12,Persuasion 0.3,0.4744,0.4556571428571428,0.4565714285714285,0.4582857142857143,0.4568
12,Persuasion 0.5,0.4382857142857142,0.4290285714285714,0.43217142857142854,0.4342857142857143,0.43382857142857145
12,Persuasion 0.7,0.41131428571428563,0.43,0.4076,0.4070857142857143,0.41811428571428566
12,Persuasion 1,0.004,0.40622857142857144,0.3961714285714286,0.40531428571428574,0.4159428571428571
13,Persuasion 0,0.7841714285714285,0.7511428571428571,0.7510285714285713,0.7510285714285713,0.7510857142857142
13,Persuasion 0.3,0.758,0.7116,0.7127999999999999,0.7138857142857142,0.7154857142857142
13,Persuasion 0.5,0.7174285714285713,0.6769142857142857,0.681542857142857,0.6849142857142858,0.6892
13,Persuasion 0.7,0.6913142857142857,0.6393714285714285,0.6354857142857142,0.6495999999999998,0.6675428571428571
13,Persuasion 1,0.37525714285714284,0.5084571428571428,0.5310857142857143,0.4743428571428572,0.5215428571428571
14,Persuasion 0,0.7630857142857143,0.7645714285714285,0.7629142857142857,0.7645142857142857,0.7643999999999999
14,Persuasion 0.3,0.7711999999999999,0.7506857142857143,0.7527428571428573,0.7559428571428569,0.7556
14,Persuasion 0.5,0.7764,0.7009142857142857,0.7442857142857144,0.7485142857142858,0.7497714285714284
14,Persuasion 0.7,0.7796000000000001,0.7064,0.7017714285714286,0.7337714285714285,0.7497714285714284
14,Persuasion 1,0.11125714285714287,0.6014285714285716,0.6069714285714286,0.5798285714285715,0.5829714285714286
15,Persuasion 0,0.4985142857142857,0.4953714285714286,0.49502857142857143,0.4952,0.4949142857142857
15,Persuasion 0.3,0.4818285714285715,0.4784,0.47954285714285716,0.4773714285714285,0.4776571428571429
15,Persuasion 0.5,0.4651428571428572,0.46760000000000007,0.46851428571428566,0.46542857142857147,0.46965714285714283
15,Persuasion 0.7,0.4556,0.4561142857142857,0.45439999999999997,0.45388571428571434,0.46045714285714284
15,Persuasion 1,0.07051428571428572,0.35462857142857146,0.3644,0.3529714285714286,0.3622857142857143
16,Persuasion 0,0.6364000000000001,0.6325714285714285,0.6341714285714287,0.6344,0.6350857142857143
16,Persuasion 0.3,0.626,0.6053142857142858,0.6093142857142858,0.6102857142857142,0.6173714285714286
16,Persuasion 0.5,0.5870285714285715,0.5619999999999999,0.5686285714285714,0.5782285714285714,0.5875428571428571
16,Persuasion 0.7,0.48805714285714286,0.48262857142857146,0.48982857142857145,0.5168,0.5164571428571428
16,Persuasion 1,0.8898857142857143,0.42222857142857145,0.4283428571428572,0.42782857142857145,0.40382857142857137
17,Persuasion 0,0.6670857142857142,0.6465714285714286,0.6439999999999999,0.6457142857142856,0.6454285714285715
17,Persuasion 0.3,0.6056571428571428,0.5800571428571428,0.5814857142857143,0.5845714285714286,0.5851428571428572
17,Persuasion 0.5,0.5544571428571429,0.5459428571428571,0.5498857142857142,0.5542285714285715,0.5519428571428571
17,Persuasion 0.7,0.5060571428571429,0.5108,0.5213714285714286,0.5181714285714286,0.5221714285714286
17,Persuasion 1,0.09908571428571429,0.3972571428571429,0.4008571428571429,0.45131428571428567,0.4342857142857143
18,Persuasion 0,0.5681142857142857,0.5426857142857143,0.541657142857143,0.5412,0.541142857142857
18,Persuasion 0.3,0.5037714285714285,0.4900571428571429,0.502742857142857,0.49308571428571424,0.5030285714285714
18,Persuasion 0.5,0.46188571428571434,0.47622857142857145,0.4693142857142857,0.4665714285714286,0.4670857142857143
18,Persuasion 0.7,0.4625142857142857,0.49062857142857136,0.48160000000000003,0.49639999999999995,0.4622857142857143
18,Persuasion 1,0.7449714285714286,0.49382857142857134,0.46205714285714294,0.48011428571428577,0.5095428571428571
19,Persuasion 0,0.47222857142857144,0.4658285714285714,0.46668571428571437,0.4664571428571429,0.4660571428571429
19,Persuasion 0.3,0.4355428571428571,0.43234285714285714,0.4348,0.43714285714285717,0.4334285714285715
