value,Persuasion,Benchmark,0,4,9,24
0,Persuasion 0,0.2935902218923589,0.30220130525832567,0.302068642358361,0.3022822548155196,0.3023896289305059
0,Persuasion 0.3,0.2699738112945277,0.2736447423061327,0.27141201055691766,0.2756456758011069,0.27854221732238416
0,Persuasion 0.5,0.2535406160885631,0.2458546301760084,0.24503040929205588,0.24936010059773991,0.24965745991385957
0,Persuasion 0.7,0.20612681224377372,0.20484015154439103,0.20437095606942074,0.2066020344934057,0.20675222552277556
0,Persuasion 1,0.067676279579584,0.21146912804999826,0.2265680699304006,0.2400065954211439,0.27071507813636414
1,Persuasion 0,0.36088629269640843,0.36437564297768643,0.3642389280622377,0.3642026358146228,0.36423225597000375
1,Persuasion 0.3,0.3485290883865505,0.35012647961006604,0.35029428866304807,0.34878605333591284,0.3499531566119387
1,Persuasion 0.5,0.32191944856266447,0.3238404906471618,0.3249687821308471,0.32627143746138715,0.322729410773169
1,Persuasion 0.7,0.2746447175058328,0.28080636878242,0.2836051859149131,0.28527475880830433,0.2814520523991106
1,Persuasion 1,0.23523876002910926,0.18187324841583147,0.22123727315821531,0.22317889913265193,0.20270157313255002
2,Persuasion 0,0.2609408894428984,0.2710731213344771,0.27125751069789045,0.2708062886585375,0.2712991671480729
2,Persuasion 0.3,0.2498285126127238,0.2701983459261268,0.26522180821600283,0.2680554803735456,0.2657517144392896
2,Persuasion 0.5,0.23756928641061476,0.2716928382529877,0.2665567343190519,0.27055012981368265,0.26364979010547357
2,Persuasion 0.7,0.23089867978922524,0.2636794466292597,0.2635970328564154,0.2630389907850824,0.2592227488040678
2,Persuasion 1,0.2812321353567322,0.14724636147898967,0.13145498770721267,0.17393838442492981,0.1691173454110589
3,Persuasion 0,0.35120998448502355,0.34513944256078,0.3457283499425856,0.3447094871654562,0.3454382333653986
3,Persuasion 0.3,0.31006109891031386,0.30883032683296674,0.3084197553406732,0.3096695839625311,0.30826462732491733
3,Persuasion 0.5,0.2788292201153741,0.2872480605258495,0.2834875114175594,0.28811268548994834,0.2850326746458439
3,Persuasion 0.7,0.21762224543395722,0.2173397603490246,0.2224876816205932,0.22820604005137055,0.22111970619177806
3,Persuasion 1,0.2879836133816557,0.09120960540549773,0.10262025266075715,0.13095563871153013,0.17549541416825878
4,Persuasion 0,0.352400745904837,0.3531703282952535,0.3529935969313729,0.35290374169611755,0.3529935969313729
4,Persuasion 0.3,0.3427642868238158,0.3439895652749692,0.3453550848720231,0.34403430920669786,0.3444430358217574
4,Persuasion 0.5,0.3311313839427719,0.33323233609506725,0.33604839748399296,0.33437379160501685,0.332989642190624
4,Persuasion 0.7,0.3014514096516259,0.29100073073337174,0.31445364822200983,0.30483290531732915,0.30655054201740667
4,Persuasion 1,0.06460378165610173,0.12506072088408082,0.15195064448025178,0.14746045084991574,0.12849828607343183
5,Persuasion 0,0.32724246696281334,0.3273732347201981,0.32767447501499825,0.32784154528938825,0.32746377731217835
5,Persuasion 0.3,0.29367246033175654,0.2952924797624709,0.2972445654529234,0.2979582959764925,0.29889526203723715
5,Persuasion 0.5,0.2662807141330589,0.26811967036282136,0.27100145116826174,0.26787643893277324,0.268958643758748
5,Persuasion 0.7,0.2245503735894157,0.21015635746101236,0.21598541883521968,0.21526350751650558,0.21559261893650597
5,Persuasion 1,0.0,0.18460605550930895,0.172913752621498,0.16881363301860208,0.18164591406150074
6,Persuasion 0,0.36755350581752316,0.37185572886137996,0.37116136024189994,0.37103403196144036,0.37073226256832753
6,Persuasion 0.3,0.35168067505698813,0.35633902972462944,0.358766835195402,0.3584837435882932,0.3572459700080995
6,Persuasion 0.5,0.3242779727525128,0.32688510507697094,0.33336230087596924,0.3305962866728917,0.3303248438477709
6,Persuasion 0.7,0.27189141075926504,0.2847988141338017,0.29432103826131506,0.28897304150943187,0.2834283082391913
6,Persuasion 1,0.07775283985225416,0.19452523147768006,0.1763945048647197,0.16102387914583471,0.16398820495050848
7,Persuasion 0,0.3349729004062391,0.34270859672031834,0.3427653215852575,0.34277379118185536,0.3428489448937801
7,Persuasion 0.3,0.3180527473267631,0.32176315372272823,0.3220120957656343,0.3226946784513513,0.321204189516404
7,Persuasion 0.5,0.3046310643809632,0.2691299244903058,0.2685032771722102,0.278818442965904,0.2832079312945024
7,Persuasion 0.7,0.2385556841702118,0.24672758755975013,0.24889731200071688,0.24579375123159497,0.2521340509307541
7,Persuasion 1,0.2478069723928335,0.15576682501958844,0.1892943945712391,0.16720635118082466,0.17785176758055316
8,Persuasion 0,0.3201821115628736,0.3199386743371571,0.319612604176945,0.31951181974328446,0.31955554109163004
8,Persuasion 0.3,0.29711168997843057,0.2972310861182057,0.2990282894613715,0.301080157240134,0.30066481345388774
8,Persuasion 0.5,0.2839323562449766,0.28745429278991436,0.2853534897657828,0.28887548240543953,0.28975151576255714
8,Persuasion 0.7,0.2517647793180974,0.26310358084388275,0.26212814775534615,0.2659248754984516,0.26722109441526615
8,Persuasion 1,0.21984544503908543,0.15062664943669643,0.13655207659472515,0.13785478187824865,0.13910634317903578
9,Persuasion 0,0.3614752658427572,0.34870746087179116,0.3486944922603116,0.34825205563337813,0.3487119437364219
