value,Persuasion,Benchmark,0,4,9,24
0,Persuasion 0,0.4248,0.4036571428571429,0.4033714285714286,0.4034857142857143,0.4042285714285715
0,Persuasion 0.3,0.4523428571428571,0.44485714285714284,0.4440571428571428,0.43851428571428575,0.4344571428571429
0,Persuasion 0.5,0.45897142857142864,0.47057142857142864,0.4734285714285715,0.464,0.4640571428571429
0,Persuasion 0.7,0.5153142857142857,0.5217714285714286,0.5245714285714287,0.5197142857142857,0.5192000000000001
0,Persuasion 1,0.9730857142857142,0.5580571428571428,0.46531428571428574,0.5553714285714285,0.48188571428571425
1,Persuasion 0,0.36714285714285716,0.37440000000000007,0.37394285714285713,0.37394285714285713,0.3745142857142857
1,Persuasion 0.3,0.3759428571428571,0.3868,0.38634285714285715,0.38868571428571436,0.3869714285714286
1,Persuasion 0.5,0.3773714285714285,0.3867428571428571,0.3816571428571428,0.3893714285714286,0.3824571428571429
1,Persuasion 0.7,0.4048571428571428,0.41628571428571426,0.41177142857142857,0.41851428571428567,0.4158285714285715
1,Persuasion 1,0.2842857142857143,0.5782285714285714,0.5076,0.4938285714285715,0.42565714285714285
2,Persuasion 0,0.1297142857142857,0.14062857142857144,0.14062857142857144,0.1404,0.14045714285714284
2,Persuasion 0.3,0.1357142857142857,0.16245714285714286,0.15708571428571427,0.1582285714285714,0.15685714285714286
2,Persuasion 0.5,0.13817142857142856,0.20611428571428572,0.1954857142857143,0.18542857142857141,0.18177142857142858
2,Persuasion 0.7,0.14862857142857142,0.2796,0.26662857142857144,0.25782857142857146,0.25034285714285714
2,Persuasion 1,0.2544571428571429,0.4460571428571429,0.4623999999999999,0.40108571428571427,0.4921142857142857
3,Persuasion 0,0.4806285714285714,0.48982857142857145,0.4892,0.48971428571428566,0.49011428571428567
3,Persuasion 0.3,0.5024,0.5094857142857143,0.5061142857142857,0.5065142857142858,0.5056
3,Persuasion 0.5,0.5146857142857143,0.5224,0.5219428571428572,0.5183999999999999,0.5202285714285713
3,Persuasion 0.7,0.5405714285714286,0.550457142857143,0.5445142857142857,0.5408571428571428,0.5385714285714285
3,Persuasion 1,0.1970857142857143,0.5880571428571428,0.5296571428571428,0.5323999999999999,0.4704571428571429
4,Persuasion 0,0.36708571428571424,0.3698285714285714,0.36965714285714285,0.36942857142857144,0.36965714285714285
4,Persuasion 0.3,0.38200000000000006,0.3881714285714286,0.3864571428571429,0.3868571428571429,0.38617142857142855
4,Persuasion 0.5,0.40177142857142856,0.4116571428571429,0.40954285714285715,0.40817142857142863,0.4057142857142857
4,Persuasion 0.7,0.4310857142857143,0.4552,0.43622857142857147,0.4316571428571428,0.43542857142857144
