value,Persuasion,Benchmark,0,4,9,24
0,Persuasion 0,0.29359022189235884,0.3022013052583257,0.30206864235836095,0.3022822548155197,0.3023896289305058
0,Persuasion 0.3,0.2699738112945277,0.2736447423061328,0.2714120105569177,0.27564567580110694,0.2785422173223842
0,Persuasion 0.5,0.2535406160885631,0.24585463017600842,0.24503040929205588,0.24936010059773991,0.24965745991385957
0,Persuasion 0.7,0.2061268122437737,0.20484015154439109,0.2043709560694207,0.20660203449340572,0.20675222552277556
0,Persuasion 1,0.06767627957958396,0.2114691280499983,0.2265680699304005,0.24000659542114366,0.2707150781363642
1,Persuasion 0,0.36088629269640804,0.3643756429776865,0.3642389280622377,0.3642026358146228,0.3642322559700037
1,Persuasion 0.3,0.34852908838655056,0.3501264796100658,0.35029428866304807,0.3487860533359128,0.3499531566119387
1,Persuasion 0.5,0.32191944856266447,0.3238404906471618,0.3249687821308469,0.32627143746138726,0.322729410773169
1,Persuasion 0.7,0.2746447175058328,0.28080636878242,0.2836051859149132,0.2852747588083044,0.2814520523991106
1,Persuasion 1,0.23523876002910932,0.18187324841583144,0.22123727315821531,0.22317889913265193,0.20270157313255016
2,Persuasion 0,0.2609408894428984,0.2710731213344771,0.27125751069789045,0.2708062886585375,0.2712991671480729
2,Persuasion 0.3,0.2498285126127238,0.27019834592612685,0.26522180821600283,0.26805548037354565,0.2657517144392896
2,Persuasion 0.5,0.2375692864106148,0.2716928382529868,0.26655673431905186,0.27055012981368265,0.26364979010547357
2,Persuasion 0.7,0.2308986797892253,0.26367944662925974,0.26359703285641545,0.2630389907850824,0.2592227488040678
2,Persuasion 1,0.28123213535673214,0.14724636147898967,0.13145498770721267,0.1739383844249298,0.16911734541105888
3,Persuasion 0,0.3512099844850235,0.34513944256078005,0.3457283499425857,0.34470948716545624,0.34543823336539853
3,Persuasion 0.3,0.31006109891031386,0.30883032683296674,0.30841975534067323,0.309669583962531,0.30826462732491733
3,Persuasion 0.5,0.27882922011537414,0.28724806052584956,0.2834875114175594,0.28811268548994834,0.2850326746458439
3,Persuasion 0.7,0.21762224543395728,0.21733976034902455,0.22248768162059324,0.22820604005137055,0.2211197061917781
3,Persuasion 1,0.2879836133816557,0.0912096054054977,0.10262025266075715,0.1309556387115301,0.1754954141682588
4,Persuasion 0,0.352400745904837,0.35317032829525347,0.3529935969313729,0.3529037416961175,0.3529935969313729
4,Persuasion 0.3,0.34276428682381616,0.3439895652749692,0.3453550848720231,0.34403430920669786,0.3444430358217574
4,Persuasion 0.5,0.331131383942772,0.3332323360950672,0.3360483974839935,0.33437379160501685,0.33298964219062405
4,Persuasion 0.7,0.301451409651626,0.29100073073337174,0.31445364822200983,0.30483290531732915,0.3065505420174067
4,Persuasion 1,0.06460378165610171,0.12506072088408082,0.1519506444802518,0.14746045084991574,0.12849828607343186
5,Persuasion 0,0.3272424669628133,0.32737323472019797,0.32767447501499825,0.3278415452893883,0.3274637773121783
5,Persuasion 0.3,0.29367246033175654,0.295292479762471,0.2972445654529234,0.2979582959764925,0.29889526203723715
5,Persuasion 0.5,0.2662807141330589,0.26811967036282136,0.27100145116826174,0.26787643893277324,0.2689586437587481
5,Persuasion 0.7,0.2245503735894157,0.2101563574610123,0.21598541883521968,0.21526350751650555,0.21559261893650597
5,Persuasion 1,0.0,0.18460605550930898,0.172913752621498,0.16881363301860208,0.1816459140615007
6,Persuasion 0,0.36755350581752316,0.37185572886137996,0.37116136024189994,0.37103403196144036,0.3707322625683275
6,Persuasion 0.3,0.35168067505698813,0.3563390297246295,0.358766835195402,0.35848374358829316,0.3572459700080994
6,Persuasion 0.5,0.3242779727525128,0.32688510507697094,0.3333623008759692,0.33059628667289165,0.33032484384777056
6,Persuasion 0.7,0.27189141075926504,0.2847988141338017,0.294321038261315,0.28897304150943187,0.28342830823919135
6,Persuasion 1,0.07775283985225417,0.19452523147768006,0.1763945048647197,0.16102387914583474,0.1639882049505086
7,Persuasion 0,0.3349729004062391,0.34270859672031845,0.34276532158525747,0.3427737911818554,0.3428489448937801
7,Persuasion 0.3,0.3180527473267631,0.32176315372272835,0.32201209576563444,0.32269467845135136,0.32120418951640406
7,Persuasion 0.5,0.30463106438096327,0.26912992449030576,0.2685032771722102,0.278818442965904,0.2832079312945024
7,Persuasion 0.7,0.23855568417021178,0.24672758755975022,0.24889731200071685,0.24579375123159497,0.25213405093075414
7,Persuasion 1,0.2478069723928335,0.15576682501958838,0.18929439457123912,0.16720635118082466,0.17785176758055316
8,Persuasion 0,0.3201821115628736,0.31993867433715706,0.31961260417694487,0.31951181974328446,0.31955554109163004
8,Persuasion 0.3,0.29711168997843057,0.2972310861182057,0.29902828946137144,0.301080157240134,0.30066481345388774
8,Persuasion 0.5,0.28393235624497665,0.2874542927899143,0.2853534897657828,0.28887548240543953,0.28975151576255714
8,Persuasion 0.7,0.2517647793180974,0.26310358084388275,0.2621281477553461,0.2659248754984516,0.2672210944152661
8,Persuasion 1,0.21984544503908543,0.15062664943669643,0.13655207659472515,0.13785478187824862,0.13910634317903584
9,Persuasion 0,0.3614752658427572,0.34870746087179116,0.3486944922603116,0.34825205563337813,0.3487119437364219
9,Persuasion 0.3,0.3429615727659423,0.3248449219503253,0.32733368782566524,0.32840336245676055,0.3270531911163319
9,Persuasion 0.5,0.3165479649618849,0.29517159852871466,0.2993688160332274,0.303604238543767,0.3030480406511957
9,Persuasion 0.7,0.2689078684377192,0.2277570652870671,0.24205494090614468,0.2528606384217484,0.24462363437716916
9,Persuasion 1,0.1344534151810906,0.14327538447475024,0.151407799796049,0.16306330683548884,0.13958213500943842
10,Persuasion 0,0.30771526300628643,0.30731805596242706,0.3071875707324102,0.30724222778665,0.3070030781337211
10,Persuasion 0.3,0.2867022737270544,0.29386733376171076,0.2925332086463339,0.2924293804130078,0.29151793439775475
10,Persuasion 0.5,0.2669048156627634,0.2788061930224146,0.27983750856289147,0.2742368183018381,0.27474223775848255
10,Persuasion 0.7,0.22213530100824355,0.2387404413960146,0.24054552122883358,0.23991922559721177,0.24132390731757472
10,Persuasion 1,0.019048464677452186,0.16952560099420586,0.2030845391684485,0.171085743682217,0.15643644475616106
11,Persuasion 0,0.3330542542724809,0.3337588384345334,0.33382361644519937,0.3337929704568936,0.3338731064813802
11,Persuasion 0.3,0.31153344974815594,0.31415105190884696,0.3156116068383736,0.31668813685749664,0.3162023213798042
11,Persuasion 0.5,0.2897137254134488,0.2952840829695572,0.2970834363348103,0.300527647638406,0.2996134565017283
11,Persuasion 0.7,0.2564740453936639,0.2675030438879654,0.27272309227029395,0.2756263861859108,0.27452228098757414
11,Persuasion 1,0.14446954099692458,0.13558344397140135,0.1369571505389326,0.1291967097854122,0.1568192248862507
12,Persuasion 0,0.3265998892907484,0.31204845735442155,0.3118939127457952,0.31206555877264863,0.31199925266215073
12,Persuasion 0.3,0.2898583879370602,0.2770710874857308,0.27817284440234274,0.27859753151250355,0.278386236282838
12,Persuasion 0.5,0.24706885952395874,0.23002916927905434,0.23517631997680494,0.24005130814447131,0.24011652890803672
12,Persuasion 0.7,0.17899139057003205,0.18777585072352226,0.19666752386331793,0.1941532413239206,0.2058076006198663
12,Persuasion 1,0.020482681218167226,0.14424019831921273,0.1358484377148175,0.14322953434047447,0.13832369642179831
13,Persuasion 0,0.29582783569904997,0.3076325191374776,0.30764413365459364,0.3077431274818584,0.30764860640774994
13,Persuasion 0.3,0.28866916194403486,0.3063818517478796,0.306535404191732,0.3048096986333481,0.30345835854274633
13,Persuasion 0.5,0.2890764411607325,0.3085350416422456,0.3088789837476564,0.3077987635091049,0.3029537349451913
13,Persuasion 0.7,0.28528064136035447,0.2903271129473019,0.2934763272902992,0.3001232696934614,0.2951138824462167
13,Persuasion 1,0.23189825638333053,0.20533241101876323,0.21402671594820363,0.20657440601796456,0.19269240911883292
14,Persuasion 0,0.3394767247306149,0.3377183657743247,0.3385331246996128,0.33759063248196525,0.3378695252489547
14,Persuasion 0.3,0.3201225340109775,0.3310547209193992,0.3313390060735572,0.32996011103896644,0.33018726835525947
14,Persuasion 0.5,0.3012791885034332,0.3185352045204478,0.32034541087084395,0.3171443497649749,0.31625857725084566
14,Persuasion 0.7,0.26540223214507086,0.2870062677035981,0.2973247659048287,0.297069120571918,0.29053647225041745
14,Persuasion 1,0.18360257286297624,0.2410077365232066,0.25250804991313847,0.24267776820092513,0.24745898135821215
15,Persuasion 0,0.3397549295463824,0.3379736000805325,0.33835279535051965,0.33827799218985555,0.3385344828213417
15,Persuasion 0.3,0.311688162549101,0.31183690107741147,0.31451443535911205,0.3140392286164524,0.31489771581986953
15,Persuasion 0.5,0.2945556894497067,0.2967040400067412,0.2982093466843686,0.2995661888094725,0.29949362847569383
15,Persuasion 0.7,0.27962528292444283,0.27581600682761626,0.2788452378411124,0.2851472468409126,0.2822443246283142
15,Persuasion 1,0.1230795863043923,0.14324143386040308,0.14385720889730946,0.14287794922374916,0.15210563695913923
16,Persuasion 0,0.31754293763423425,0.31297187690063466,0.31331793973995503,0.31327810714091253,0.31360687846415736
16,Persuasion 0.3,0.3007289993241134,0.2870996234066892,0.2892232732790357,0.2903217172506894,0.29283975117568484
16,Persuasion 0.5,0.2747460149705548,0.25623265290316355,0.2640736449999881,0.2737033260178526,0.2764329794330382
16,Persuasion 0.7,0.20056442523526138,0.20345564707917851,0.20799666853464424,0.22602522491715515,0.22795950725032904
16,Persuasion 1,0.12395303416941003,0.12525906159761563,0.13735639164277413,0.1301099194258644,0.11858686270649099
17,Persuasion 0,0.36210125682886585,0.3631767789137958,0.362923949476262,0.3633361202646912,0.3634109074927843
17,Persuasion 0.3,0.33558748819520823,0.3386136325049932,0.338957272883652,0.34037794120233905,0.34015185443012025
17,Persuasion 0.5,0.3154646584625862,0.3208503377661667,0.32093969170902764,0.3230767217620285,0.32340980931614427
17,Persuasion 0.7,0.27135229072452094,0.28638941417539193,0.29281894740708153,0.3006622466078902,0.30029654746660217
17,Persuasion 1,0.1579548479475951,0.19373941837728612,0.18431874298285114,0.24334117899041788,0.2254686780791192
18,Persuasion 0,0.32106931355252616,0.3006012912297589,0.30092596015886874,0.300614772390364,0.3009083129590836
18,Persuasion 0.3,0.2635795901211004,0.270422184066818,0.2701434636795815,0.27201392072945013,0.27162870678813705
18,Persuasion 0.5,0.2270586246933136,0.24168601813694143,0.24217545784193825,0.24104827170905926,0.23984446246277155
18,Persuasion 0.7,0.20225018242018558,0.24342893953733044,0.23382811252477015,0.24719148889860276,0.21522089313243378
18,Persuasion 1,0.17017190188299658,0.1831169285560718,0.1920676878496946,0.22064948166778622,0.20738053517893174
19,Persuasion 0,0.32686802547134153,0.3240215586089137,0.3242132627411687,0.32455454378015036,0.32438960742536566
19,Persuasion 0.3,0.2850803821769129,0.2826835628683205,0.2845925500434435,0.28707974210160353,0.2843599675288434
19,Persuasion 0.5,0.255521977756483,0.2564474742725209,0.25818659002925765,0.2629637197375215,0.2610623490319923
19,Persuasion 0.7,0.18984596642752594,0.21341675811350472,0.22607238331095392,0.2349950214334809,0.22605333808297656
19,Persuasion 1,0.0,0.14172565371004722,0.15268289256313228,0.17910105760199846,0.15984214298249005
20,Persuasion 0,0.33761991240819245,0.33173363600110783,0.3300164000502623,0.33149982106011755,0.3318073411762562
20,Persuasion 0.3,0.29873198910332477,0.2978171819953066,0.2973647254923813,0.29809231441721884,0.29756115404079325
20,Persuasion 0.5,0.2647398574416528,0.27058080205984625,0.27335966071293377,0.27876655369934933,0.27561737834299094
20,Persuasion 0.7,0.22165561536460138,0.24106724937081728,0.2510458517969049,0.2494680712135486,0.24609125625251463
20,Persuasion 1,0.1461504274877224,0.21433194027949665,0.2001594110187578,0.19934951689195912,0.17496046937993906
21,Persuasion 0,0.3360804403671428,0.3469820625394601,0.34676560417154006,0.34732049621868855,0.34702843634518454
21,Persuasion 0.3,0.32750961579786586,0.34311269075189904,0.34322251467711246,0.34207795422270176,0.3424989111005909
21,Persuasion 0.5,0.3058533728999662,0.3165038073997249,0.3276465615475378,0.33169131197060553,0.33788973240447523
21,Persuasion 0.7,0.2522801502695623,0.2686250950818213,0.2674059170368867,0.28314063185205846,0.30239935969211384
21,Persuasion 1,0.03734629144106098,0.17450915446414214,0.17610543192278136,0.1817423788840407,0.17444459365700515
22,Persuasion 0,0.3541100178784905,0.34756717700141904,0.3482079385552637,0.3473659077854726,0.3479222871536023
22,Persuasion 0.3,0.32323826408619716,0.32272851528998925,0.32293244831397133,0.32372650582662,0.32256120967988056
22,Persuasion 0.5,0.29455275718483587,0.30535013685199774,0.30425355643112095,0.3078755319695772,0.30884543724181884
22,Persuasion 0.7,0.2547597857591847,0.2605130973514107,0.2744408616356242,0.2823481994756235,0.2896989207715889
22,Persuasion 1,0.17230019246024922,0.15890598887547508,0.20338535499700522,0.20696453453432112,0.1999733151327667
23,Persuasion 0,0.3218343157048189,0.3138243680630101,0.313915020975564,0.31377096224598017,0.31353141906181625
23,Persuasion 0.3,0.3025910222812121,0.3009337084477766,0.30111478698750194,0.3040903093756159,0.3009667728470436
23,Persuasion 0.5,0.2863158543862118,0.2908941314820671,0.2916515679882697,0.2921372464643236,0.29228443981892477
23,Persuasion 0.7,0.2778296722187695,0.2795687859463815,0.2830841171906026,0.2856081921249232,0.2835910698694303
23,Persuasion 1,0.18450007008689503,0.11232868729824888,0.12326430411903821,0.126526878184518,0.15020277481863772
24,Persuasion 0,0.2512316720434881,0.2568506750894852,0.2562169518919105,0.25643236272016523,0.25675091275141804
24,Persuasion 0.3,0.2497621594417342,0.2768261712050351,0.26726797558210547,0.2617244191755427,0.2631026571705058
24,Persuasion 0.5,0.2590120423749401,0.293706711165932,0.2881185784897185,0.28234997905655096,0.26841654514526075
24,Persuasion 0.7,0.27308866457473463,0.3230212161384044,0.3000320179958464,0.29610517148134513,0.28124001752034467
24,Persuasion 1,0.07790988858236342,0.2392887380638789,0.27034353866855365,0.26824030350961314,0.2635639654338302
25,Persuasion 0,0.3528251728934004,0.3527739662508673,0.3528737104132595,0.35292840135931597,0.3527313085427381
25,Persuasion 0.3,0.3298851668640358,0.33088876684812457,0.3320850188884087,0.33189630802029707,0.3343057605598713
25,Persuasion 0.5,0.3133700184652425,0.3192789803972084,0.32009233068632525,0.3251168793244589,0.3228101365144118
25,Persuasion 0.7,0.28696432783807807,0.29785183828505485,0.30710505896415835,0.31412931770693003,0.3119309321050747
25,Persuasion 1,0.0806570717196629,0.186309205002429,0.22534493902352015,0.24843930580717444,0.22429627954574366
26,Persuasion 0,0.3213637504425821,0.32624423945363873,0.32623001546225894,0.3259445992395012,0.32643175092679977
26,Persuasion 0.3,0.2988981187392763,0.30753580698513255,0.3059175329166553,0.3079704739222281,0.30698758820243016
