value,Persuasion,Benchmark,0,4,9,24
0,Persuasion 0,-0.2649837037507633,-0.28226500756085965,-0.2824435371540745,-0.2823434404417863,-0.28335473566313124
0,Persuasion 0.3,-0.24499204554162532,-0.2598796167941496,-0.2606942904801757,-0.2617922632074779,-0.2646253297517495
0,Persuasion 0.5,-0.24786898598306084,-0.24233782511886398,-0.24401245631711777,-0.24740245494724922,-0.24757089167694296
0,Persuasion 0.7,-0.24773541383465897,-0.24161324658704927,-0.2458979348693904,-0.2445285939078464,-0.2433959459712935
0,Persuasion 1,-0.5666562632989406,-0.2737190420305983,-0.2685982199789172,-0.2747440008195201,-0.2772449223915396
1,Persuasion 0,0.2392783757086371,0.23081550062643486,0.2311327798959714,0.23060713652029327,0.23156940839626405
1,Persuasion 0.3,0.2502482243862758,0.24294335329805095,0.2413695147699958,0.23682496853308738,0.24525252249646218
1,Persuasion 0.5,0.22288018623723263,0.20260539885541526,0.2066557899876791,0.20413699959144993,0.20424229318101134
1,Persuasion 0.7,0.20226714411763916,0.1648262213442962,0.17699112363921712,0.1776327229704767,0.17621993032891012
1,Persuasion 1,0.2870544518110843,0.10316434714099806,0.1153654430608349,0.11406228883973532,0.12268682170622232
2,Persuasion 0,-0.22704803603105334,-0.22823717427416998,-0.22784915710603115,-0.22827121540339143,-0.22844967339684233
2,Persuasion 0.3,-0.2124829541655637,-0.2255611612906434,-0.21875788320211897,-0.2221259431380075,-0.21870266126930735
2,Persuasion 0.5,-0.1919640110037922,-0.25974641784652575,-0.24238945451257893,-0.20968055649228037,-0.20068603110275826
2,Persuasion 0.7,-0.1550865480086565,-0.23201372562587425,-0.24322385662394042,-0.23896573856526074,-0.23461021466813947
2,Persuasion 1,-0.10372253085899188,-0.2621021061426698,-0.2761129171972962,-0.26353993679662546,-0.2667913762344698
3,Persuasion 0,0.2623690166300203,0.2653772635584844,0.2655175957595111,0.2655644280292295,0.26553368062979454
3,Persuasion 0.3,0.2639978111769965,0.25595706360702325,0.25800672462897367,0.25782981582633324,0.2595585735589106
3,Persuasion 0.5,0.25247799002128907,0.22547298974720914,0.23823628847327205,0.2385294096743688,0.24670504661701276
3,Persuasion 0.7,0.17426096706430602,0.14956041723734512,0.15989920057218715,0.15694957817355495,0.15655005245718723
3,Persuasion 1,0.17005557691684134,0.10250406446406661,0.11871180790518959,0.12633642393286157,0.14606700014525176
4,Persuasion 0,0.3631602206532383,0.3553295754622472,0.3553271642903986,0.3549801018891726,0.3550091623703156
4,Persuasion 0.3,0.35993779056115366,0.3449310050482313,0.34643349370839993,0.34717442748153293,0.35011502287772606
4,Persuasion 0.5,0.3542721790012541,0.3362702812556968,0.33655878594554667,0.3396605525290238,0.3458115644942542
4,Persuasion 0.7,0.3852480660891734,0.36361250713470983,0.3437999359230372,0.34537183072526473,0.3595586468887737
4,Persuasion 1,0.2269434175534511,0.2096525389124387,0.24117609836782755,0.2236340283315081,0.21347455426819742
5,Persuasion 0,0.0005706876604371708,-0.007778600560175357,-0.008743104156912013,-0.00850378518043986,-0.008133747910368173
5,Persuasion 0.3,-0.02535980055354844,-0.03674475707735138,-0.03872519236669747,-0.03454387061570008,-0.032761501995819835
5,Persuasion 0.5,-0.04215852213811953,-0.045200799569777066,-0.05522762477196527,-0.049560312844106696,-0.05523177532386266
5,Persuasion 0.7,-0.060937918608923385,-0.0871593356423637,-0.08600644144716905,-0.07858867120257448,-0.07700069041590196
5,Persuasion 1,-0.0746075884448781,-0.061415219809345924,-0.04157147477961056,-0.06376246548359672,-0.07011039405336864
6,Persuasion 0,0.12405410564970544,0.1261823494482133,0.12705950332554408,0.12711827773412873,0.1274690585891737
6,Persuasion 0.3,0.08523636532331588,0.09798416272790227,0.10302850974525066,0.1009733631197165,0.09738856321315544
6,Persuasion 0.5,0.034589805715517244,0.049070039698396226,0.05309431095843087,0.05617433623518683,0.056266155039723785
6,Persuasion 0.7,-0.024755245879030413,0.0017083341230035285,0.013550059141733541,0.008764157085541667,-0.012209951208280622
6,Persuasion 1,0.2849158570341727,-0.02916935356996344,-0.0539079001270883,-0.03986055406896306,-0.07732545261404938
7,Persuasion 0,-0.29063701360969413,-0.29403529910965753,-0.2946232767172512,-0.29440927387699384,-0.2938796593920166
7,Persuasion 0.3,-0.34095838663885,-0.34553455270355354,-0.3475406300281113,-0.34086197170991983,-0.3487499287542739
7,Persuasion 0.5,-0.37602290575363173,-0.3307801489173286,-0.33651886733534325,-0.38163162532617956,-0.40554501937479287
7,Persuasion 0.7,-0.27223434645893196,-0.22858348852299218,-0.2332806270952858,-0.23583598600101766,-0.2441391210792003
7,Persuasion 1,-0.19148393780748307,-0.2236337349760786,-0.21768638274744936,-0.21541337839539917,-0.22606171954272647
8,Persuasion 0,0.14340639196045413,0.13822254395879693,0.13898234503318688,0.1397130993547849,0.1388010412028575
8,Persuasion 0.3,0.16793789004127213,0.14837139299669652,0.15531766561481739,0.15052901238390198,0.15612099038041324
8,Persuasion 0.5,0.16993980874561973,0.14415418479210879,0.15689800619031327,0.14840789529481965,0.14959727935113756
8,Persuasion 0.7,0.18131585798973943,0.15131818943571354,0.16155533725081356,0.15387916219546677,0.15151867582108192
8,Persuasion 1,0.05234735068768757,0.1600850038817732,0.17146969915650176,0.17127972532272803,0.16246683193903874
9,Persuasion 0,0.17050472412012352,0.1650382136798403,0.16298214232879138,0.16434557751296755,0.16237708899548828
9,Persuasion 0.3,0.22366556071056237,0.19474047426989646,0.20113818075499407,0.20485204197278842,0.19991164840543832
9,Persuasion 0.5,0.26898517270786326,0.21140393381474004,0.2150477430455261,0.22257667414559296,0.22768145003963025
9,Persuasion 0.7,0.31643481561204195,0.23957624613198633,0.2445738965201574,0.2636005210287509,0.2545045840783823
9,Persuasion 1,0.7331751244566552,0.15689141606017556,0.15991517494474086,0.16369810624197034,0.16836894837227562
10,Persuasion 0,0.007352891371577012,0.007634309424496451,0.0070542578850882115,0.007631000315189961,0.006286990681039656
10,Persuasion 0.3,-0.004955999572515262,0.008964216273946316,0.006558061194515637,0.0037367463942330355,0.0010069261974799965
10,Persuasion 0.5,-0.013763710850928267,0.01175327970462011,0.007437240523083984,0.004216913948943995,0.0007457535051739533
10,Persuasion 0.7,-0.047443362912653796,0.007402707126462259,-0.003677565844337047,0.010959843782821353,0.001858965232880284
10,Persuasion 1,-0.03273585585092599,-0.012416023627746995,-0.018279072439343052,-0.022297865351505415,-0.016951479438275782
11,Persuasion 0,-0.034737785862044235,-0.027046467621968995,-0.02662739093934844,-0.026486807813676957,-0.025785329288554034
11,Persuasion 0.3,-0.019657861925828968,-0.016297819153409054,-0.014850619032031257,-0.012907671138609212,-0.013252354019759107
11,Persuasion 0.5,-0.01714891292195286,-0.012632114907655177,-0.009714719884758754,-0.003612550572721846,-0.006414214204553263
11,Persuasion 0.7,-0.042535676919667975,-0.021617797356766704,-0.013314469285852917,-0.017772795659504938,-0.016417546156013773
11,Persuasion 1,-0.8987128168462337,-0.11587343626383755,-0.12211402679731165,-0.11325701276433782,-0.13834246484451146
12,Persuasion 0,-0.2636649466055055,-0.2397008722979241,-0.2395103451876455,-0.23982522383124272,-0.23947163219540513
12,Persuasion 0.3,-0.26646069621384616,-0.23634131046619442,-0.23550051331685995,-0.23592708981182398,-0.23507943169984855
12,Persuasion 0.5,-0.24254934245287416,-0.20157062206600931,-0.20673926829263609,-0.21295709457466924,-0.21364055216786956
12,Persuasion 0.7,-0.18364952697577647,-0.07649462557942653,-0.1445797676701016,-0.15846874607524183,-0.1738437900453574
12,Persuasion 1,0.1842064843945286,-0.003576209028636015,-0.005766698566233361,0.0007131481680805304,-0.002361031530572697
13,Persuasion 0,-0.07015607612385058,-0.09873621488279602,-0.09802491928461754,-0.09828555702406683,-0.09807383449962229
13,Persuasion 0.3,-0.07689353182832061,-0.09387700255433576,-0.09711013026868569,-0.10021986082821853,-0.09900950446155299
13,Persuasion 0.5,-0.08293226894974012,-0.06495590050297638,-0.07173851603949581,-0.08262253376456048,-0.08301662293099435
13,Persuasion 0.7,-0.04589737491384323,-0.06562019176481457,-0.06477291116121114,-0.06892831535988724,-0.06974547563755384
13,Persuasion 1,-0.7529864656849217,0.007600197268952503,-0.02099745173973861,-0.02234189837451674,-0.06538857183765825
14,Persuasion 0,-0.24897152827022476,-0.21317322052302343,-0.21407936935786698,-0.21327288430169816,-0.21321865163274198
14,Persuasion 0.3,-0.25414942176064353,-0.22961171182740275,-0.22990105689085338,-0.22854176728135533,-0.2325134406581036
14,Persuasion 0.5,-0.26474944500446673,-0.24290218345743275,-0.24074849648900007,-0.2498676078890166,-0.24376282645372166
14,Persuasion 0.7,-0.28587623187384265,-0.2591523041670964,-0.2970394456901738,-0.2917179568347383,-0.27612885631709155
14,Persuasion 1,-0.24415814478580847,-0.23330138329112896,-0.2447536768614717,-0.258297327587503,-0.26691820427516627
15,Persuasion 0,-0.08872873126813974,-0.08567690673973481,-0.08547039669875965,-0.08596449609762248,-0.08503820035184136
15,Persuasion 0.3,-0.09542330748200648,-0.08833023092594193,-0.0846270679379819,-0.09034052173890691,-0.08449829604921195
15,Persuasion 0.5,-0.1036654076446415,-0.09370003208398547,-0.0969969259193255,-0.09515287053060659,-0.09210330773510943
15,Persuasion 0.7,-0.10851831873506829,-0.09903575878306602,-0.09964643631964908,-0.09942834344906394,-0.10194579142846791
15,Persuasion 1,-0.028372702207067165,-0.12080525814086696,-0.12933649092010438,-0.13371323262801746,-0.13383275554864185
16,Persuasion 0,-0.2986653789494977,-0.27970031643284343,-0.28020527322988187,-0.279724828834514,-0.2803890219961199
16,Persuasion 0.3,-0.3118508308715926,-0.273534073587152,-0.2808600143499355,-0.28267423895624966,-0.2809661973065043
16,Persuasion 0.5,-0.33116045778926523,-0.2798022458636873,-0.28008408330263707,-0.2764421293200863,-0.277957271737522
16,Persuasion 0.7,-0.34718804760989797,-0.277138118628492,-0.28983102359954055,-0.2952515320939333,-0.2914529662091653
16,Persuasion 1,-0.2826478695566573,-0.1529965213948607,-0.15774503635584175,-0.16744072388066927,-0.17726493673226523
17,Persuasion 0,-0.0019960074550415437,-0.01580406107248288,-0.01871475672574385,-0.016320070612379587,-0.017453320372520367
17,Persuasion 0.3,-0.0022398560694345195,-0.03487077179245375,-0.04612839853312565,-0.03863387533780304,-0.0385427510397844
17,Persuasion 0.5,-0.03797031496444045,-0.07288420563004028,-0.07771516693278532,-0.06323932394348401,-0.06900942712739684
17,Persuasion 0.7,-0.005206294686152221,-0.0375404679288446,-0.05556807017689144,-0.03626223970317491,-0.04955103909576378
17,Persuasion 1,0.11706503660752532,0.06509473780729905,0.06604871424827366,0.030177134575755268,0.052295990512105685
18,Persuasion 0,-0.21600150977928573,-0.1588662779032851,-0.1585160955146014,-0.15854359084896436,-0.15828695643249585
18,Persuasion 0.3,-0.17192969256085208,-0.18443931651862053,-0.1787116128327343,-0.1792952055276417,-0.1721683716224537
18,Persuasion 0.5,-0.19229355724620079,-0.18162450547666834,-0.18276799269421942,-0.19361439303500685,-0.18627441791492508
18,Persuasion 0.7,-0.16683006303496006,-0.16745978140949933,-0.1690674384603809,-0.1715309362334308,-0.16520199673326694
18,Persuasion 1,-0.1846685052024632,-0.13384229101920112,-0.13077103406370447,-0.15452972060731576,-0.16348528381716818
19,Persuasion 0,-0.09507915156773754,-0.08851751311850782,-0.08978324068925037,-0.08949082206305779,-0.08893553866661504
19,Persuasion 0.3,-0.10936503594073015,-0.10424059399987237,-0.10351219772346014,-0.10480728312645347,-0.10744033011026273
19,Persuasion 0.5,-0.11790858920352536,-0.10988744864953838,-0.112743257464863,-0.10802789235117075,-0.11534342717901905
19,Persuasion 0.7,-0.12146235885158027,-0.10771173775191843,-0.1065443127364674,-0.10314257938783802,-0.10710516903074734
19,Persuasion 1,-0.04024162179017987,-0.13700780172697127,-0.11989535769547213,-0.11568238395791931,-0.12472301764022616
20,Persuasion 0,0.04244369559128243,0.04699923764079853,0.04332072298078198,0.04562562446556486,0.04708989286665383
20,Persuasion 0.3,-0.0041954970930019285,0.012014232525490423,0.004387715297907359,0.01387478676627954,0.004441832091828794
20,Persuasion 0.5,-0.014942697253168059,0.014916795995088461,0.01832599642544289,0.010347853099224409,0.008192612783393746
20,Persuasion 0.7,-0.01636729458401957,0.02643691554067933,0.025649786520673477,0.024709595576878757,0.013037021386944606
20,Persuasion 1,0.060816766073816586,-0.01074322372569762,-0.00840774677349856,-0.03421861357657836,-0.03341965040641805
21,Persuasion 0,0.2589535264866025,0.2404910837820668,0.2408231498789235,0.2406427117260082,0.2409010786532279
21,Persuasion 0.3,0.2390157660904114,0.2046271041518745,0.2100171516290873,0.21367066852237035,0.21844106889609954
21,Persuasion 0.5,0.27477965782061525,0.19344540833231677,0.17188109186983508,0.19826934930268758,0.20735076012792225
21,Persuasion 0.7,0.2342034776066554,0.19178639580303541,0.20019748743991633,0.21941503677154814,0.20032596995539995
21,Persuasion 1,0.10158687851121048,0.07787381398663569,0.09425008188754246,0.10191677203676264,0.11581245232687191
22,Persuasion 0,0.20182427403394448,0.2029460067599925,0.2025141060236785,0.20143857081261846,0.20212168084614235
22,Persuasion 0.3,0.20696019822462453,0.20011911659866224,0.20674599525806275,0.20253813750655808,0.21256707720027584
22,Persuasion 0.5,0.23045359261167542,0.19203387172132713,0.19883497881068324,0.19885860608746567,0.2059614774504083
22,Persuasion 0.7,0.24722034779952143,0.18080604680876491,0.18641581585104194,0.18858971967185345,0.19811023807706055
22,Persuasion 1,0.10130410833605737,0.13055560327428103,0.1669265423990866,0.16537291784238994,0.1516721446884889
23,Persuasion 0,-0.3823200630165692,-0.36407230393546064,-0.3644338031852748,-0.3645893107942293,-0.3646635194908756
23,Persuasion 0.3,-0.4045893001321177,-0.3288614846560382,-0.33996653183862063,-0.326244540503144,-0.3589809147859894
23,Persuasion 0.5,-0.31008108101876464,-0.26974865182633057,-0.2765128894028587,-0.2799469826752926,-0.2867330437989947
23,Persuasion 0.7,-0.2948021096810125,-0.25473281251851415,-0.2558251454511088,-0.2657489156938749,-0.278142101458527
23,Persuasion 1,-0.250355055474419,-0.22768995164386402,-0.25035224724249855,-0.24792426360285139,-0.3227387715474446
24,Persuasion 0,-0.16120123719156063,-0.17578649132281818,-0.17647250795953032,-0.1758980553951682,-0.1759608897787479
24,Persuasion 0.3,-0.18409634144069684,-0.2211110325074981,-0.21762715022162463,-0.20772658808925432,-0.1994698867401886
24,Persuasion 0.5,-0.17569766575895526,-0.21576710447828687,-0.2257867020459973,-0.2262557945869448,-0.21895989927675438
24,Persuasion 0.7,-0.1290614191807008,-0.15862358909711546,-0.1959962491543312,-0.20046856042416802,-0.20895206882107548
24,Persuasion 1,0.05351277534140457,0.024096804236295667,-0.022200307301202253,-0.057104070017231084,-0.04679917331027522
25,Persuasion 0,0.05203389552453635,0.047859909496289,0.048146100560276496,0.04738780049365791,0.048084521150737324
25,Persuasion 0.3,0.05543128164827794,0.04413371255338963,0.05021604152485456,0.04902714874078249,0.04756591203584563
25,Persuasion 0.5,0.04090693931249632,0.049930850192026345,0.051296885041919225,0.05032775174592332,0.05150154874770625
25,Persuasion 0.7,0.06383638117117653,0.06835203389954818,0.06607453306731953,0.05871626510342923,0.0552430547360064
25,Persuasion 1,0.04541435991079395,0.06176894706378028,0.07011502810904618,0.10175972270919226,0.08617898361582775
26,Persuasion 0,-0.08031410996550162,-0.06514953953148242,-0.06581385811564112,-0.06582563209428388,-0.06577870189599296
26,Persuasion 0.3,-0.07267416998025092,-0.02473032017842842,-0.05521654284167111,-0.05481283210596528,-0.04295715304232451
26,Persuasion 0.5,-0.020691470536311738,0.0340856994114225,0.020036196741212087,0.02485876575328224,0.017119456876613717
26,Persuasion 0.7,-0.00501492489379895,0.010417955554069677,0.01986413714941443,0.03622476841457439,0.0271553621705685
26,Persuasion 1,-0.39510546602251695,-0.019027707066097677,-0.010176440621301311,-0.008759881412001859,-0.0058063994420704795
27,Persuasion 0,-0.17363282509872752,-0.16026284463212245,-0.16022580701612169,-0.16039488331117802,-0.16086238222108679
27,Persuasion 0.3,-0.17002104638305124,-0.13719324156095397,-0.1384748467698481,-0.13917078088593896,-0.14166725262276064
27,Persuasion 0.5,-0.1631158515916379,-0.1070873903342427,-0.12524809958855507,-0.1167932000860745,-0.13563496497532615
27,Persuasion 0.7,-0.15240065555281052,-0.06738568875696647,-0.09322707754678711,-0.060211487570509724,-0.10758006340996923
