inflation,output,market_inflation,market_output,fe_inflation,fe_output,target
0.256,0.169,0.0,0.0,-0.256,-0.169,0
0.212,0.111,0.156,0.088,-0.055999999999999994,-0.023000000000000007,0
0.099,-0.035,0.127,0.062,0.027999999999999997,0.097,0
0.028,0.202,0.056,-0.021,0.028,-0.223,0
0.026,-0.083,0.016,0.119,-0.009999999999999998,0.202,0
-0.513,0.541,0.015,-0.05,0.528,-0.5910000000000001,0
-0.657,0.398,-0.323,0.27,0.334,-0.128,0
-1.093,-0.857,-0.447,0.211,0.6459999999999999,1.068,0
-0.799,-0.429,-0.71,-0.514,0.08900000000000008,-0.08500000000000002,0
-0.786,0.834,-0.559,-0.227,0.22699999999999998,-1.061,0
0.256,0.169,0.0,0.0,-0.256,-0.169,4
0.212,0.108,0.156,0.083,-0.055999999999999994,-0.024999999999999994,4
0.1,-0.039,0.129,0.055,0.028999999999999998,0.094,4
0.031,0.201,0.06,-0.021,0.028999999999999998,-0.222,4
0.03,-0.086,0.02,0.113,-0.009999999999999998,0.199,4
-0.509,0.538,0.02,-0.053,0.529,-0.5910000000000001,4
-0.682,0.394,-0.377,0.28,0.30500000000000005,-0.11399999999999999,4
-1.134,-0.854,-0.505,0.229,0.6289999999999999,1.083,4
-0.869,-0.463,-0.805,-0.581,0.06399999999999995,-0.11799999999999994,4
-0.856,0.789,-0.625,-0.296,0.23099999999999998,-1.085,4
0.256,0.169,0.0,0.0,-0.256,-0.169,9
0.212,0.108,0.156,0.083,-0.055999999999999994,-0.024999999999999994,9
0.1,-0.039,0.129,0.055,0.028999999999999998,0.094,9
0.031,0.201,0.061,-0.021,0.03,-0.222,9
0.03,-0.086,0.02,0.113,-0.009999999999999998,0.199,9
-0.509,0.538,0.021,-0.053,0.53,-0.5910000000000001,9
-0.682,0.394,-0.377,0.28,0.30500000000000005,-0.11399999999999999,9
-1.134,-0.854,-0.504,0.229,0.6299999999999999,1.083,9
-0.857,-0.456,-0.783,-0.572,0.07399999999999995,-0.11599999999999994,9
-0.85,0.795,-0.625,-0.288,0.22499999999999998,-1.083,9
0.256,0.169,0.0,0.0,-0.256,-0.169,24
0.21,0.108,0.154,0.083,-0.055999999999999994,-0.024999999999999994,24
0.097,-0.04,0.124,0.055,0.026999999999999996,0.095,24
0.026,0.2,0.053,-0.021,0.027,-0.221,24
0.025,-0.087,0.015,0.11,-0.010000000000000002,0.197,24
-0.515,0.539,0.014,-0.051,0.529,-0.5900000000000001,24
-0.658,0.394,-0.324,0.264,0.334,-0.13,24
-1.094,-0.859,-0.448,0.209,0.6460000000000001,1.068,24
-0.806,-0.439,-0.722,-0.533,0.08400000000000007,-0.09400000000000003,24
-0.792,0.82,-0.564,-0.246,0.2280000000000001,-1.0659999999999998,24
